subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8265433196940046,48,78,48,0.55,0.5278344505974935,0.5615595075239398,0.55,0.09999999999999998
VP002,0.7566639629329215,40,70,40,0.6333333333333333,0.6122209165687427,0.6704545454545454,0.6333333333333333,0.2666666666666667
VP003,0.7566423308997566,55,85,55,0.55,0.48717948717948717,0.5980392156862745,0.55,0.09999999999999998
VP004,0.7599573257467995,44,74,44,0.8166666666666667,0.8166157265907197,0.8170189098998888,0.8166666666666667,0.6333333333333333
VP005,0.7599573257467995,62,92,62,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP006,0.7733232588115027,54,84,54,0.8833333333333333,0.8825174825174825,0.8942857142857144,0.8833333333333333,0.7666666666666666
VP007,0.753234627184207,32,62,32,0.5,0.40476190476190477,0.5,0.5,0.0
VP008,0.7766443310997766,70,100,70,0.5,0.45054945054945056,0.5,0.5,0.0
VP009,0.7999644381223329,45,75,45,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
VP010,0.7695672985940265,65,95,65,0.45,0.3552588733311625,0.37870619946091644,0.45,-0.10000000000000009
VP011,0.7665006226650062,81,100,81,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.7222191233726392,77,100,77,0.7166666666666667,0.7165879410947485,0.7169076751946608,0.7166666666666666,0.43333333333333335
VP013,0.7495296723848115,77,100,77,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP014,0.7898856043846094,47,77,47,0.6833333333333333,0.6760443307757886,0.7014652014652014,0.6833333333333333,0.3666666666666667
VP015,0.783138157675241,32,62,32,0.6166666666666667,0.613986013986014,0.62,0.6166666666666667,0.23333333333333328
VP016,0.8265433196940046,50,80,50,0.55,0.45546218487394957,0.6636363636363636,0.55,0.09999999999999998
VP017,0.8065893023876217,41,71,41,0.6,0.569377990430622,0.639751552795031,0.6,0.19999999999999996
VP018,0.8066666666666666,56,86,56,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.76,89,100,89,0.5833333333333334,0.511559752523608,0.7021563342318059,0.5833333333333334,0.16666666666666663
VP020,0.7699769976997699,71,100,71,0.6666666666666666,0.6411483253588517,0.7329192546583851,0.6666666666666667,0.33333333333333337
VP021,0.7699360933592665,57,87,57,0.5,0.36079545454545453,0.5,0.5,0.0
VP022,0.7666562958353704,60,90,60,0.7,0.6770334928229665,0.7795031055900621,0.7,0.4
VP023,0.7833309258991767,63,93,63,0.7833333333333333,0.7818181818181819,0.7914285714285714,0.7833333333333333,0.5666666666666667
VP024,0.7796474358974359,55,85,55,0.6,0.55,0.68,0.6,0.19999999999999996
VP025,0.7931862657890055,71,100,71,0.6666666666666666,0.6527777777777778,0.6984126984126984,0.6666666666666667,0.33333333333333337
VP026,0.7566423308997566,65,95,65,0.6166666666666667,0.5739425748687866,0.6948051948051948,0.6166666666666667,0.23333333333333328
