subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.6225519345926356,57,87,57,0.6,0.5907928388746804,0.6098901098901099,0.6,0.19999999999999996
B62,0.5999960937118527,39,69,39,0.65625,0.6559139784946236,0.6568627450980392,0.65625,0.3125
B63,0.618448186553817,27,57,27,0.56875,0.5611908263444493,0.5738378922638027,0.56875,0.13749999999999996
B64,0.6171117823593044,9,39,9,0.5,0.3333333333333333,0.25,0.5,0.0
B65,0.5920191680649487,21,51,21,0.75625,0.7561642765034583,0.7566108590204976,0.7562500000000001,0.5125
B66,0.6467887667887668,49,79,49,0.56875,0.5683284457478006,0.5690196078431373,0.56875,0.13749999999999996
B67,0.6089931573802542,50,80,50,0.50625,0.49389389389389393,0.5069264069264069,0.50625,0.012499999999999956
B68,0.6307307150680646,40,70,40,0.5375,0.5372107567229518,0.5375939849624061,0.5375,0.07499999999999996
B69,0.6716152425258262,55,85,55,0.6,0.5997498436522827,0.600250626566416,0.6,0.19999999999999996
B70,0.640625,57,87,57,0.5,0.4949494949494949,0.5,0.5,0.0
B71,0.6374433505235193,78,100,78,0.525,0.5189112201297673,0.5263331138907176,0.5249999999999999,0.050000000000000044
B72,0.596812001875293,36,66,36,0.5125,0.5112781954887218,0.5126262626262625,0.5125,0.025000000000000022
B73,0.6355451059368118,53,83,53,0.54375,0.5428750342452351,0.5440875452684617,0.54375,0.08750000000000002
B74,0.6202003033122577,59,89,59,0.53125,0.5230335068961405,0.5335626783017284,0.53125,0.0625
B75,0.6259918087902683,19,49,19,0.5125,0.3971014492753623,0.5533333333333333,0.5125,0.025000000000000022
B76,0.6311203157360009,31,61,31,0.5,0.4987468671679198,0.5,0.5,0.0
B77,0.6374681368479651,40,70,40,0.525,0.5231372549019608,0.5253968253968254,0.525,0.050000000000000044
B78,0.5843587640142194,19,49,19,0.725,0.7135416666666667,0.7678571428571428,0.7250000000000001,0.44999999999999996
B79,0.6371456500488759,42,72,42,0.63125,0.6079571410772873,0.6721664275466284,0.63125,0.26249999999999996
B80,0.6296142547720618,29,59,29,0.5125,0.4444444444444444,0.5245098039215685,0.5125000000000001,0.025000000000000022
B81,0.6308137545341663,37,67,37,0.4875,0.4809305269821174,0.4868334430546412,0.4875,-0.02499999999999991
