subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.5999215846305876,13,43,13,0.52,0.5089514066496164,0.5219780219780219,0.52,0.040000000000000036
sub-002,0.5859483797288938,27,57,27,0.49,0.4867149758454106,0.4897372742200328,0.49,-0.020000000000000018
sub-003,0.5712426383936958,31,61,31,0.55,0.5483741469289443,0.5507305194805194,0.55,0.09999999999999998
sub-004,0.5845746043949003,19,49,19,0.5,0.46068385287455504,0.5,0.5,0.0
sub-005,0.604364593782222,36,66,36,0.57,0.5647332725984411,0.5735603194619587,0.5700000000000001,0.14
sub-006,0.5767761145646046,14,44,14,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
sub-007,0.5939086294416244,30,60,30,0.51,0.5015766453056658,0.5107250107250108,0.51,0.020000000000000018
sub-008,0.583973374295955,68,98,68,0.56,0.548440065681445,0.5668449197860963,0.56,0.12
sub-009,0.589666827522621,11,41,11,0.55,0.54226426609704,0.5536250536250535,0.55,0.09999999999999998
sub-010,0.5908952691889124,65,95,65,0.525,0.5174603174603174,0.5266666666666666,0.525,0.050000000000000044
sub-011,0.5880096284602748,27,57,27,0.59,0.5858585858585859,0.59375,0.59,0.18000000000000005
sub-012,0.5894769080760793,54,84,54,0.53,0.5288220551378446,0.5303030303030303,0.53,0.06000000000000005
sub-013,0.591985311471213,16,46,16,0.58,0.5779318661441061,0.5815993472052223,0.5800000000000001,0.16000000000000003
sub-014,0.5959208004768934,17,47,17,0.475,0.4443121378105898,0.4679116929790784,0.475,-0.050000000000000044
sub-015,0.5994638516126081,36,66,36,0.525,0.5247029393370857,0.525062656641604,0.525,0.050000000000000044
sub-016,0.5884628587730043,35,65,35,0.48,0.46960424316605465,0.4782986111111111,0.48,-0.040000000000000036
sub-017,0.5874825711386307,42,72,42,0.49,0.48748869460355737,0.4898000815993472,0.49,-0.020000000000000018
sub-018,0.5814873399920348,20,50,20,0.515,0.5140158821613768,0.5151224921867124,0.515,0.030000000000000027
sub-019,0.5847192702266732,38,68,38,0.515,0.37368845843422116,0.6538461538461539,0.515,0.030000000000000027
sub-020,0.5743525902898309,21,51,21,0.5,0.34201868666929863,0.5,0.5,0.0
sub-021,0.5884959074866711,19,49,19,0.625,0.6249906247656192,0.6250125012501251,0.625,0.25
sub-022,0.5882915726086331,27,57,27,0.555,0.5536497906166152,0.5556736511792693,0.5549999999999999,0.10999999999999999
sub-023,0.5744913834505149,47,77,47,0.48743718592964824,0.39154676258992804,0.4614767255216693,0.48545454545454547,-0.029205962884088832
sub-024,0.5874627685148585,22,52,22,0.54,0.5332792207792207,0.5424448217317488,0.54,0.07999999999999996
sub-025,0.5749166836699993,9,39,9,0.5,0.3333333333333333,0.25,0.5,0.0
sub-026,0.5774872189883744,16,46,16,0.5477386934673367,0.5463525835866261,0.5480081716036772,0.5474747474747474,0.09499747347145027
sub-027,0.5699789289675194,44,74,44,0.53,0.4106583072100314,0.6578947368421053,0.53,0.06000000000000005
sub-028,0.573963086980367,25,55,25,0.655,0.6545768566493955,0.6557632398753894,0.655,0.31000000000000005
sub-029,0.5846972442910883,9,39,9,0.62,0.6041666666666667,0.6428571428571428,0.62,0.24
sub-030,0.5958690615759505,33,63,33,0.575,0.5544022437157611,0.5920132499079866,0.575,0.15000000000000002
sub-031,0.5759045785301693,23,53,23,0.515,0.4450642180840413,0.530248033877798,0.515,0.030000000000000027
sub-032,0.5773571602407261,14,44,14,0.575,0.5719070282793182,0.5772320049428483,0.575,0.15000000000000002
sub-033,0.5758914282056207,20,50,20,0.62,0.6072757337742869,0.6378676470588236,0.62,0.24
sub-034,0.5722432390042123,27,57,27,0.535,0.45890909090909093,0.5800000000000001,0.535,0.06999999999999995
sub-035,0.6004999001249751,71,100,71,0.5,0.4812739910779127,0.5,0.5,0.0
sub-036,0.5809932958927343,20,50,20,0.55,0.48717948717948717,0.5980392156862745,0.55,0.09999999999999998
sub-037,0.5609960489644408,36,66,36,0.485,0.48395500889300835,0.48487750781328764,0.485,-0.030000000000000027
sub-038,0.5789578957895789,25,55,25,0.5,0.47456914670029426,0.5,0.5,0.0
sub-039,0.5770253166616235,20,50,20,0.535,0.5078193220608082,0.5449236298292902,0.535,0.06999999999999995
sub-040,0.5689155074394582,14,44,14,0.57,0.5656565656565657,0.5729166666666667,0.5700000000000001,0.14
sub-041,0.5719482057328937,52,82,52,0.585,0.5812205151492217,0.5881834215167548,0.585,0.17000000000000004
sub-042,0.5848501308972539,26,56,26,0.59,0.5896306676008407,0.5903251706142112,0.5900000000000001,0.18000000000000005
sub-043,0.5762872281186827,17,47,17,0.56,0.5555555555555556,0.5625,0.56,0.12
sub-044,0.5903278352727734,28,58,28,0.56,0.5452666391070691,0.5689338235294117,0.56,0.12
sub-045,0.6089500860585197,34,64,34,0.57,0.5538956323270048,0.5818139317438056,0.5700000000000001,0.14
sub-046,0.5782257412882728,48,78,48,0.57,0.5388245388245388,0.5959429824561404,0.57,0.14
sub-047,0.592959295929593,21,51,21,0.555,0.5549888747218681,0.555005500550055,0.555,0.10999999999999999
sub-048,0.59492060443847,22,52,22,0.52,0.5104039167686658,0.5217013888888888,0.52,0.040000000000000036
sub-049,0.5799995799995801,12,42,12,0.695,0.6816200840314204,0.7344031734583484,0.6950000000000001,0.39
sub-050,0.5739893497337434,20,50,20,0.55,0.5483741469289443,0.5507305194805194,0.55,0.09999999999999998
sub-051,0.5805969536724793,13,43,13,0.49,0.40910670837678137,0.47789566755084,0.49,-0.020000000000000018
