subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.5833333333333334,14,44,14,0.42592592592592593,0.3448140900195695,0.3532608695652174,0.42592592592592593,-0.14814814814814814
VP002,0.5697717919940142,61,91,61,0.5092592592592593,0.5092171825430849,0.5092624356775299,0.5092592592592593,0.01851851851851849
VP003,0.573868440335945,58,88,58,0.5833333333333334,0.5459217041950855,0.6242966751918159,0.5833333333333333,0.16666666666666663
VP004,0.5856715719500825,15,45,15,0.5555555555555556,0.5531034482758621,0.5568022440392706,0.5555555555555556,0.11111111111111116
VP005,0.6044645971398674,80,100,80,0.5740740740740741,0.5727554179566563,0.575,0.5740740740740741,0.14814814814814814
VP006,0.609257919265841,17,47,17,0.6111111111111112,0.6105769230769231,0.6117241379310345,0.6111111111111112,0.2222222222222222
VP007,0.5880042157708154,40,70,40,0.48148148148148145,0.4495813614852566,0.4758928571428571,0.48148148148148145,-0.03703703703703698
VP008,0.5776850886339937,15,45,15,0.6574074074074074,0.6559621179509255,0.6600976630624347,0.6574074074074074,0.31481481481481477
VP009,0.6038674551769454,60,90,60,0.7314814814814815,0.7261998426435878,0.7508361204013378,0.7314814814814814,0.4629629629629629
VP010,0.5935980998674326,62,92,62,0.5925925925925926,0.5874999999999999,0.5974025974025974,0.5925925925925926,0.18518518518518523
VP011,0.5809065934065933,14,44,14,0.5648148148148148,0.5617715617715617,0.5666666666666667,0.5648148148148148,0.12962962962962965
VP012,0.5854890176275598,16,46,16,0.6296296296296297,0.6068438296323262,0.66875,0.6296296296296297,0.2592592592592593
VP013,0.5770447927898816,29,59,29,0.5185185185185185,0.5077138849929874,0.5203007518796992,0.5185185185185185,0.03703703703703709
VP014,0.6015172413793104,19,49,19,0.5925925925925926,0.5585284280936456,0.6339285714285714,0.5925925925925926,0.18518518518518523
VP015,0.6107693997473778,15,45,15,0.5740740740740741,0.5727554179566563,0.575,0.5740740740740741,0.14814814814814814
VP016,0.5448750637429882,34,64,34,0.5740740740740741,0.5556350626118068,0.5888157894736843,0.5740740740740741,0.14814814814814814
VP017,0.5959415673568016,15,45,15,0.5555555555555556,0.5235294117647059,0.575984990619137,0.5555555555555556,0.11111111111111116
VP018,0.6050180101850702,72,100,72,0.5370370370370371,0.5344827586206897,0.5378681626928471,0.5370370370370371,0.07407407407407407
VP019,0.5827022348613644,14,44,14,0.5555555555555556,0.49275929549902153,0.6100543478260869,0.5555555555555556,0.11111111111111116
VP020,0.582264719000892,15,45,15,0.5092592592592593,0.5082051722656586,0.5093393289519197,0.5092592592592593,0.01851851851851849
VP021,0.5731876421321205,65,95,65,0.6203703703703703,0.6054530874097834,0.6418181818181818,0.6203703703703703,0.2407407407407407
VP022,0.542515717661747,12,42,12,0.49074074074074076,0.32919254658385094,0.24766355140186916,0.49074074074074076,-0.0185185185185186
VP023,0.5924528301886792,15,45,15,0.5833333333333334,0.5404255319148936,0.6330049261083743,0.5833333333333333,0.16666666666666663
VP024,0.5445405724738515,38,68,38,0.5648148148148148,0.525740446603756,0.5966751918158568,0.5648148148148149,0.12962962962962965
VP025,0.5810208161496414,44,74,44,0.6203703703703703,0.5988767098469063,0.6532082060235704,0.6203703703703703,0.2407407407407407
VP026,0.5552566196757766,14,44,14,0.5740740740740741,0.5384615384615384,0.6071428571428572,0.5740740740740741,0.14814814814814814
