subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.4602374955019791,57,87,57,0.6,0.569377990430622,0.639751552795031,0.6,0.19999999999999996
VP002,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP003,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP004,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP005,0.4568400873315938,57,87,57,0.48333333333333334,0.41120607787274455,0.4673202614379085,0.48333333333333334,-0.03333333333333344
VP006,0.4700227829286419,76,100,76,0.43333333333333335,0.4097222222222222,0.42063492063492064,0.43333333333333335,-0.1333333333333333
VP007,0.487524782104515,53,83,53,0.6,0.5604395604395604,0.65625,0.6,0.19999999999999996
VP008,0.4311983793049712,57,87,57,0.5166666666666667,0.4334093129273852,0.5404312668463611,0.5166666666666667,0.033333333333333326
VP009,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP010,0.4454428754813864,87,100,87,0.5166666666666667,0.4744790093627303,0.5245499181669394,0.5166666666666667,0.033333333333333326
VP011,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.4321468005678532,57,87,57,0.5333333333333333,0.49760765550239233,0.5465838509316769,0.5333333333333333,0.06666666666666665
VP013,0.4924748430431459,57,87,57,0.43333333333333335,0.3625,0.38,0.43333333333333335,-0.1333333333333333
VP014,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP015,0.4740381382391085,88,100,88,0.5166666666666667,0.5055413469735721,0.5183150183150182,0.5166666666666666,0.033333333333333326
VP016,0.43675467105177973,79,100,79,0.5166666666666667,0.48444444444444446,0.5222222222222221,0.5166666666666667,0.033333333333333326
VP017,0.47324932865110514,84,100,84,0.5,0.45054945054945056,0.5,0.5,0.0
VP018,0.4264007597340931,89,100,89,0.45,0.40199335548172754,0.42635024549918166,0.44999999999999996,-0.10000000000000009
VP019,0.4770229044598324,58,88,58,0.5666666666666667,0.4993581514762516,0.6442307692307692,0.5666666666666667,0.1333333333333333
VP020,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP021,0.4089142126843815,57,87,57,0.5833333333333334,0.546964663243733,0.6227495908346972,0.5833333333333334,0.16666666666666663
VP022,0.4525,83,100,83,0.55,0.52,0.5666666666666667,0.55,0.09999999999999998
VP023,0.47503028671422803,89,100,89,0.5,0.4791666666666667,0.5,0.5,0.0
VP024,0.4695898161244696,84,100,84,0.45,0.3732193732193732,0.4019607843137255,0.45,-0.10000000000000009
VP025,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
VP026,0.4311983793049712,57,87,57,0.55,0.48717948717948717,0.5980392156862745,0.55,0.09999999999999998
