subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B62,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B63,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B64,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B65,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B66,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B67,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B68,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B69,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B70,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B71,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B72,0.3833172738873408,42,72,42,0.5,0.3333333333333333,0.25,0.5,0.0
B73,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B74,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B75,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B76,0.4387249294593152,70,100,70,0.45625,0.3999741368162421,0.429982495623906,0.45625,-0.08749999999999991
B77,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B78,0.40529172983811806,86,100,86,0.5125,0.41964285714285715,0.5347222222222222,0.5125,0.025000000000000022
B79,0.3333333333333333,1,31,1,0.5,0.3333333333333333,0.25,0.5,0.0
B80,0.4206646838225786,86,100,86,0.45,0.40929686188957876,0.4309749784296808,0.45,-0.10000000000000009
B81,0.43833509700176365,86,100,86,0.475,0.41818181818181815,0.458974358974359,0.475,-0.050000000000000044
