subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.3395968724374048,77,100,77,0.34,0.31432612954154,0.31860898306062035,0.34,0.010000000000000009
sub-002,0.36929819911595824,64,94,64,0.4,0.35412198427179703,0.42341584579320063,0.4000000000000001,0.09999999999999998
sub-003,0.29320634986654803,71,100,71,0.4,0.38195065260146616,0.4307610993657505,0.39999999999999997,0.09999999999999998
sub-004,0.35373648717405537,64,94,64,0.38666666666666666,0.3657360046387421,0.381736698143805,0.38666666666666666,0.07999999999999996
sub-005,0.39764560922405884,40,70,40,0.32666666666666666,0.3128287900526064,0.33708817829457366,0.32666666666666666,-0.010000000000000009
sub-006,0.3526190713661812,31,61,31,0.35,0.2837569576551821,0.3858585858585859,0.35000000000000003,0.025000000000000022
sub-007,0.3606546145929086,64,94,64,0.31333333333333335,0.28282421967055915,0.28906541098442506,0.3133333333333333,-0.030000000000000027
sub-008,0.3592891602294534,27,57,27,0.33666666666666667,0.31234085050906557,0.34321427178570035,0.33666666666666667,0.004999999999999893
sub-009,0.39443961844850195,36,66,36,0.34,0.33606069375429076,0.35434969046606657,0.34,0.010000000000000009
sub-010,0.3258073867641422,46,76,46,0.34448160535117056,0.3070966070966071,0.3390819964349376,0.3454882154882155,0.018161104409596396
sub-011,0.3676740828121023,48,78,48,0.36,0.3545440539728797,0.36598367482925204,0.36000000000000004,0.040000000000000036
