subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6343477418104284,62,92,62,0.5138888888888888,0.4032678190859579,0.5537313432835821,0.5138888888888888,0.02777777777777779
VP002,0.6109189723320159,35,65,35,0.5555555555555556,0.55,0.5584415584415584,0.5555555555555556,0.11111111111111116
VP003,0.6364803406626953,72,100,72,0.5694444444444444,0.5372174994816504,0.5962566844919786,0.5694444444444444,0.13888888888888884
VP004,0.6120178329133553,66,96,66,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.2222222222222222
VP005,0.6408658196131807,24,54,24,0.5694444444444444,0.498989898989899,0.6587301587301587,0.5694444444444444,0.13888888888888884
VP006,0.642580124724644,51,81,51,0.6388888888888888,0.6363636363636364,0.6428571428571428,0.6388888888888888,0.2777777777777778
VP007,0.6272473408427723,67,97,67,0.5138888888888888,0.41975592908128023,0.5395604395604395,0.5138888888888888,0.02777777777777779
VP008,0.6001126443255421,64,94,64,0.6944444444444444,0.6824378508420208,0.7290909090909091,0.6944444444444444,0.38888888888888884
VP009,0.6396396396396395,90,100,90,0.5138888888888888,0.4851889683350358,0.5178748758689176,0.5138888888888888,0.02777777777777779
VP010,0.6249276480802624,70,100,70,0.6527777777777778,0.6521739130434783,0.6538461538461539,0.6527777777777778,0.3055555555555556
VP011,0.6656346749226006,68,98,68,0.5277777777777778,0.4962962962962963,0.537037037037037,0.5277777777777778,0.05555555555555558
VP012,0.643455950589171,49,79,49,0.5694444444444444,0.48606953718627677,0.6978021978021978,0.5694444444444444,0.13888888888888884
VP013,0.6518078908069546,60,90,60,0.6527777777777778,0.6521739130434783,0.6538461538461539,0.6527777777777778,0.3055555555555556
VP014,0.6248133399701343,28,58,28,0.7638888888888888,0.7627447179685987,0.7690794649881982,0.7638888888888888,0.5277777777777778
VP015,0.6464646464646464,67,97,67,0.625,0.6249276480802624,0.625096525096525,0.625,0.25
VP016,0.6308443769520395,49,79,49,0.4166666666666667,0.3565957446808511,0.3669950738916256,0.41666666666666663,-0.16666666666666674
VP017,0.6316964285714286,56,86,56,0.6111111111111112,0.609907120743034,0.6125,0.6111111111111112,0.2222222222222222
VP018,0.6120178329133553,32,62,32,0.4444444444444444,0.3076923076923077,0.23529411764705882,0.4444444444444444,-0.11111111111111116
VP019,0.5979026403152246,40,70,40,0.625,0.6160379221805253,0.637872340425532,0.625,0.25
VP020,0.6445867893873554,60,90,60,0.6111111111111112,0.5851851851851851,0.6481481481481481,0.6111111111111112,0.2222222222222222
VP021,0.592317954764047,62,92,62,0.5277777777777778,0.4115384615384616,0.6323529411764706,0.5277777777777778,0.05555555555555558
VP022,0.6372767857142858,11,41,11,0.5694444444444444,0.48606953718627677,0.6978021978021978,0.5694444444444444,0.13888888888888884
VP023,0.6755244755244755,37,67,37,0.5277777777777778,0.45696539485359355,0.5580645161290323,0.5277777777777778,0.05555555555555558
VP024,0.6362603012219381,60,90,60,0.5694444444444444,0.562610229276896,0.5740740740740741,0.5694444444444444,0.13888888888888884
VP025,0.5955714296782391,79,100,79,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP026,0.6304158207964431,36,66,36,0.8194444444444444,0.8165784832451499,0.8407407407407408,0.8194444444444444,0.6388888888888888
