subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6481481481481481,76,100,76,0.5833333333333334,0.5555555555555556,0.6111111111111112,0.5833333333333334,0.16666666666666663
VP002,0.6223008569036388,36,66,36,0.6111111111111112,0.5785953177257526,0.6607142857142857,0.611111111111111,0.2222222222222222
VP003,0.696229625157785,75,100,75,0.6296296296296297,0.6164772727272727,0.6502384737678856,0.6296296296296295,0.2592592592592593
VP004,0.6467477379460412,46,76,46,0.48148148148148145,0.325,0.24528301886792453,0.48148148148148145,-0.03703703703703698
VP005,0.7036996392268755,49,79,49,0.75,0.7420153941431479,0.7853228962818004,0.75,0.5
VP006,0.642493285171807,18,48,18,0.5185185185185185,0.5102895012207882,0.5198529411764705,0.5185185185185185,0.03703703703703709
VP007,0.6525586724424458,75,100,75,0.5277777777777778,0.4053762280038864,0.6572815533980583,0.5277777777777778,0.05555555555555558
VP008,0.6627964426877471,87,100,87,0.6203703703703703,0.6177156177156178,0.6238095238095238,0.6203703703703705,0.2407407407407407
VP009,0.6664424647568324,52,82,52,0.5740740740740741,0.5330827067669173,0.6141649048625792,0.5740740740740741,0.14814814814814814
VP010,0.636318654131618,6,36,6,0.5092592592592593,0.42662526294700986,0.5218623481781377,0.5092592592592592,0.01851851851851849
VP011,0.6240624710639218,65,95,65,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.6455762667366762,30,60,30,0.5277777777777778,0.5228276877761413,0.5289803220035778,0.5277777777777778,0.05555555555555558
VP013,0.6425325243267901,57,87,57,0.6759259259259259,0.6736596736596736,0.680952380952381,0.6759259259259259,0.35185185185185186
VP014,0.6666666666666666,73,100,73,0.5185185185185185,0.4583333333333333,0.5333333333333333,0.5185185185185185,0.03703703703703709
VP015,0.6796285309620402,74,100,74,0.5833333333333334,0.5832976078196004,0.5833619210977701,0.5833333333333333,0.16666666666666663
VP016,0.6406618736622578,41,71,41,0.5,0.38919145370758274,0.5,0.5,0.0
VP017,0.6277765012911567,60,90,60,0.6481481481481481,0.6356534090909092,0.6717011128775835,0.6481481481481481,0.2962962962962963
VP018,0.6739130434782609,78,100,78,0.4444444444444444,0.41558441558441556,0.4307692307692308,0.4444444444444444,-0.11111111111111116
VP019,0.6442052957406212,82,100,82,0.7685185185185185,0.7684986710108892,0.7686106346483705,0.7685185185185186,0.537037037037037
VP020,0.6646756713176591,82,100,82,0.5092592592592593,0.3684210526315789,0.5857142857142856,0.5092592592592593,0.01851851851851849
VP021,0.6495661638722836,52,82,52,0.5833333333333334,0.5815755488592338,0.5847575863271712,0.5833333333333333,0.16666666666666663
VP022,0.6591423670668953,58,88,58,0.7129629629629629,0.7129383520535025,0.7130360205831904,0.712962962962963,0.42592592592592593
VP023,0.6183876500857632,49,79,49,0.6666666666666666,0.6665523156089194,0.6668956043956045,0.6666666666666667,0.33333333333333337
VP024,0.6555555555555556,61,91,61,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.6469082099003358,35,65,35,0.5925925925925926,0.5856295779560516,0.5992647058823529,0.5925925925925926,0.18518518518518523
VP026,0.6583406690140845,62,92,62,0.5740740740740741,0.5556350626118068,0.5888157894736843,0.5740740740740741,0.14814814814814814
