subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6232956628996233,79,100,79,0.4166666666666667,0.41650458460683526,0.41657397107897665,0.4166666666666667,-0.16666666666666674
VP002,0.6066666666666667,7,37,7,0.4,0.36545240893066977,0.37215909090909094,0.39999999999999997,-0.19999999999999996
VP003,0.6130581747020103,63,93,63,0.5166666666666667,0.5132867132867133,0.5171428571428571,0.5166666666666666,0.033333333333333326
VP004,0.5565434843011947,24,54,24,0.5166666666666667,0.44919278252611583,0.5326797385620915,0.5166666666666667,0.033333333333333326
VP005,0.5883488213835495,83,100,83,0.6333333333333333,0.6180555555555556,0.6587301587301587,0.6333333333333333,0.2666666666666667
VP006,0.5825494539746858,30,60,30,0.48333333333333334,0.43823618242222895,0.4754500818330606,0.4833333333333334,-0.03333333333333344
VP007,0.5622389306599833,49,79,49,0.4166666666666667,0.3516517443655449,0.3608534322820037,0.41666666666666663,-0.16666666666666674
VP008,0.5619266310708833,57,87,57,0.6,0.6,0.6,0.6,0.19999999999999996
VP009,0.6456587627027991,56,86,56,0.55,0.4998456313677061,0.5834879406307978,0.55,0.09999999999999998
VP010,0.6129032258064516,91,100,91,0.38333333333333336,0.2972459639126306,0.2712418300653595,0.3833333333333333,-0.2333333333333334
VP011,0.5933333333333334,78,100,78,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.5978597578147,20,50,20,0.6833333333333333,0.6760443307757886,0.7014652014652014,0.6833333333333333,0.3666666666666667
VP013,0.6199831103604605,52,82,52,0.5666666666666667,0.548611111111111,0.5793650793650794,0.5666666666666667,0.1333333333333333
VP014,0.5892286627110908,5,35,5,0.55,0.52,0.5666666666666667,0.55,0.09999999999999998
VP015,0.6298971936649069,26,56,26,0.5166666666666667,0.5055413469735721,0.5183150183150182,0.5166666666666666,0.033333333333333326
VP016,0.6285099119802764,61,91,61,0.6333333333333333,0.6266968325791855,0.6435406698564593,0.6333333333333333,0.2666666666666667
VP017,0.6193910256410255,25,55,25,0.45,0.4373401534526854,0.44505494505494503,0.44999999999999996,-0.10000000000000009
VP018,0.6464152286070095,78,100,78,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP019,0.5963033396723718,44,74,44,0.6,0.569377990430622,0.639751552795031,0.6,0.19999999999999996
VP020,0.6233291481016456,59,89,59,0.6166666666666667,0.5911111111111111,0.6555555555555554,0.6166666666666667,0.23333333333333328
VP021,0.6164578492734933,56,86,56,0.5,0.40476190476190477,0.5,0.5,0.0
VP022,0.6266666666666667,40,70,40,0.45,0.3732193732193732,0.4019607843137255,0.45,-0.10000000000000009
VP023,0.587132867132867,41,71,41,0.7,0.6827262044653349,0.7556818181818181,0.7,0.4
VP024,0.5822890559732665,54,84,54,0.6166666666666667,0.5506349723217193,0.7830188679245282,0.6166666666666667,0.23333333333333328
VP025,0.5953673462563119,39,69,39,0.6166666666666667,0.6165601555987774,0.6167964404894327,0.6166666666666667,0.23333333333333328
VP026,0.5466465176230055,5,35,5,0.5166666666666667,0.49985628054038517,0.5192554557124518,0.5166666666666666,0.033333333333333326
