subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.5086778685347967,21,51,21,0.51875,0.47741251325556733,0.5274285714285714,0.51875,0.03749999999999998
B62,0.5210846025178273,42,72,42,0.525,0.4933333333333333,0.5333333333333334,0.525,0.050000000000000044
B63,0.5123809523809524,66,96,66,0.55625,0.543243134574404,0.5634808675718568,0.55625,0.11250000000000004
B64,0.5269423558897244,33,63,33,0.4625,0.4455190199871051,0.45726495726495725,0.46249999999999997,-0.07499999999999996
B65,0.5253757893362307,31,61,31,0.59375,0.5901477832512315,0.597165991902834,0.59375,0.1875
B66,0.5341837888876867,6,36,6,0.4375,0.4318181818181818,0.43489583333333337,0.4375,-0.125
B67,0.5679826014811324,18,48,18,0.45,0.39047619047619053,0.4179487179487179,0.44999999999999996,-0.10000000000000009
B68,0.5334212095996229,42,72,42,0.475,0.45587044534412957,0.47090909090909094,0.475,-0.050000000000000044
B69,0.5529126585059403,47,77,47,0.58125,0.5775369458128079,0.5842105263157895,0.58125,0.16249999999999998
B70,0.5296863517733197,59,89,59,0.4375,0.43028960278525086,0.43416721527320606,0.4375,-0.125
B71,0.5245453464875788,22,52,22,0.5,0.4666666666666667,0.5,0.5,0.0
B72,0.5290770786832074,42,72,42,0.5125,0.4894452626411389,0.515255530129672,0.5125,0.025000000000000022
B73,0.5234270284259175,11,41,11,0.4875,0.3277310924369748,0.2468354430379747,0.4875,-0.02499999999999991
B74,0.5468041881543991,56,86,56,0.5125,0.5105882352941176,0.5126984126984127,0.5125,0.025000000000000022
B75,0.5234363365144934,11,41,11,0.48125,0.4802551759226644,0.48110533774208786,0.48125,-0.03750000000000009
B76,0.5214736258914147,15,45,15,0.55625,0.5562326653384897,0.5562587904360057,0.55625,0.11250000000000004
B77,0.5269423558897244,33,63,33,0.425,0.382446719248196,0.39646246764452114,0.425,-0.1499999999999999
B78,0.5524750046003803,38,68,38,0.5875,0.5344736378063834,0.6607347876004592,0.5875,0.17500000000000004
B79,0.5100655218883218,11,41,11,0.49375,0.4502651113467656,0.4908571428571429,0.49375,-0.012499999999999956
B80,0.5562456664615865,12,42,12,0.41875,0.37790041389690204,0.38980716253443526,0.41875,-0.1625000000000001
B81,0.5841150719199499,59,89,59,0.525,0.5025364097529046,0.530511060259344,0.525,0.050000000000000044
