subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.3729165355784034,2,32,2,0.4,0.3997281508473596,0.41136548636548637,0.39999999999999997,0.09999999999999987
sub-002,0.39212394212394214,17,47,17,0.3566666666666667,0.26545823870962376,0.43057006850110296,0.3566666666666667,0.03500000000000014
sub-003,0.41469348145840207,52,82,52,0.33,0.3063514603407904,0.33359757986623656,0.33,-0.004999999999999893
sub-004,0.4058589690867525,19,49,19,0.3566666666666667,0.35197352820209,0.3663513985022237,0.3566666666666667,0.03500000000000003
sub-005,0.40983314146773075,60,90,60,0.33,0.3185610255377697,0.3285466681417561,0.33,-0.004999999999999893
sub-006,0.3994746690303221,29,59,29,0.37333333333333335,0.36322451647185905,0.3822807671262307,0.37333333333333335,0.06000000000000005
sub-007,0.36615606238875315,7,37,7,0.35,0.2795581465135513,0.3197254730394838,0.35000000000000003,0.02499999999999991
sub-008,0.3872771392785958,35,65,35,0.3566666666666667,0.32800999805208425,0.3659781751419004,0.3566666666666667,0.03500000000000003
sub-009,0.46146205472224827,31,61,31,0.30666666666666664,0.2675743148058988,0.30473108763390305,0.3066666666666667,-0.040000000000000036
sub-010,0.38864461172985076,21,51,21,0.38127090301003347,0.3349403189125149,0.45986395752220677,0.3818518518518519,0.07267393126571675
sub-011,0.4015347573308879,24,54,24,0.37666666666666665,0.3562431915414086,0.40601686826778866,0.37666666666666665,0.06499999999999995
