subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8444396431988641,55,85,55,0.7222222222222222,0.7202797202797203,0.7285714285714286,0.7222222222222222,0.4444444444444444
VP002,0.8360086164964213,12,42,12,0.625,0.6079854809437386,0.6512605042016807,0.625,0.25
VP003,0.8333333333333334,49,79,49,0.7361111111111112,0.7360601967972217,0.7362934362934364,0.7361111111111112,0.4722222222222222
VP004,0.8276926877470356,30,60,30,0.7777777777777778,0.775,0.7922077922077921,0.7777777777777777,0.5555555555555556
VP005,0.8360491235112041,25,55,25,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP006,0.858323494687131,30,60,30,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP007,0.8444396431988641,38,68,38,0.625,0.6079854809437386,0.6512605042016807,0.625,0.25
VP008,0.8053392658509455,42,72,42,0.9305555555555556,0.9305421570519004,0.930888030888031,0.9305555555555556,0.8611111111111112
VP009,0.8027762559896295,45,75,45,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP010,0.8277299249791609,41,71,41,0.7083333333333334,0.6950998185117967,0.7521008403361344,0.7083333333333333,0.41666666666666663
VP011,0.8273461431356168,23,53,23,0.5277777777777778,0.4115384615384616,0.6323529411764706,0.5277777777777778,0.05555555555555558
VP012,0.8249878463782208,45,75,45,0.8194444444444444,0.8133599202392822,0.8673469387755102,0.8194444444444444,0.6388888888888888
VP013,0.8111111111111111,46,76,46,0.9027777777777778,0.9023066485753053,0.9107002360346184,0.9027777777777778,0.8055555555555556
VP014,0.8219529535408487,53,83,53,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP015,0.8360491235112041,67,97,67,0.7777777777777778,0.7714285714285714,0.8125,0.7777777777777778,0.5555555555555556
VP016,0.8221728257849403,46,76,46,0.6527777777777778,0.6370235934664247,0.6848739495798319,0.6527777777777778,0.3055555555555556
VP017,0.8387096774193549,57,87,57,0.7638888888888888,0.7582460991507012,0.7910638297872341,0.7638888888888888,0.5277777777777778
VP018,0.8276447876447877,44,74,44,0.8611111111111112,0.8583792289535799,0.8913043478260869,0.8611111111111112,0.7222222222222222
VP019,0.8805546339092123,79,100,79,0.7916666666666666,0.7846460618145563,0.8354037267080745,0.7916666666666667,0.5833333333333333
VP020,0.8388092885375493,45,75,45,0.7777777777777778,0.7662337662337663,0.8461538461538461,0.7777777777777778,0.5555555555555556
VP021,0.7972081394541287,18,48,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP022,0.8302608695652174,56,86,56,0.75,0.7482517482517483,0.7571428571428571,0.75,0.5
VP023,0.8277724621130282,56,86,56,0.75,0.7492260061919505,0.753125,0.75,0.5
VP024,0.8082963534632452,28,58,28,0.7916666666666666,0.7883597883597884,0.8111111111111111,0.7916666666666666,0.5833333333333333
VP025,0.8472210433722482,48,78,48,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP026,0.847192745514181,43,73,43,0.8472222222222222,0.8435710053328067,0.8829787234042553,0.8472222222222222,0.6944444444444444
