subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8370348015747815,45,75,45,0.6944444444444444,0.6931554024967714,0.6977677014300663,0.6944444444444444,0.38888888888888884
VP002,0.8184961106309421,72,100,72,0.8703703703703703,0.8687499999999999,0.8896103896103895,0.8703703703703705,0.7407407407407407
VP003,0.8333241878841089,34,64,34,0.9074074074074074,0.9073756432246998,0.9079670329670331,0.9074074074074074,0.8148148148148149
VP004,0.8240589899682758,30,60,30,0.48148148148148145,0.3400261894369271,0.3701923076923077,0.48148148148148145,-0.03703703703703698
VP005,0.8314809035696282,46,76,46,0.8148148148148148,0.8147512864493998,0.8152472527472527,0.8148148148148149,0.6296296296296297
VP006,0.8498511899653636,53,83,53,0.8703703703703703,0.8699690402476781,0.875,0.8703703703703703,0.7407407407407407
VP007,0.8277630112321015,56,86,56,0.8055555555555556,0.7993453065557816,0.8487279843444226,0.8055555555555556,0.6111111111111112
VP008,0.836893843703663,75,100,75,0.8888888888888888,0.8882758620689655,0.8976157082748948,0.8888888888888888,0.7777777777777778
VP009,0.8314670324959272,47,77,47,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP010,0.8518518518518519,41,71,41,0.6296296296296297,0.6275862068965516,0.632538569424965,0.6296296296296297,0.2592592592592593
VP011,0.8574069184050699,64,94,64,0.5833333333333334,0.5404255319148936,0.6330049261083743,0.5833333333333333,0.16666666666666663
VP012,0.8240686440939535,63,93,63,0.6574074074074074,0.634567901234568,0.7098765432098766,0.6574074074074074,0.31481481481481477
VP013,0.8423974811065826,24,54,24,0.8888888888888888,0.8887362637362637,0.8910344827586207,0.8888888888888888,0.7777777777777778
VP014,0.8240686440939535,81,100,81,0.7870370370370371,0.7855477855477855,0.7952380952380953,0.787037037037037,0.5740740740740741
VP015,0.8407407407407408,45,75,45,0.7037037037037037,0.7027863777089783,0.70625,0.7037037037037037,0.40740740740740744
VP016,0.8425877341893269,45,75,45,0.6666666666666666,0.6387959866220736,0.7410714285714286,0.6666666666666666,0.33333333333333337
VP017,0.8388839161702522,79,100,79,0.7962962962962963,0.7874776386404294,0.8552631578947368,0.7962962962962963,0.5925925925925926
VP018,0.8537032020000068,47,77,47,0.75,0.7358456381918652,0.8182016586643388,0.75,0.5
VP019,0.8499953702274762,38,68,38,0.6944444444444444,0.6799281544678941,0.7375366568914956,0.6944444444444444,0.38888888888888884
VP020,0.8370280948200175,42,72,42,0.6018518518518519,0.5268466632705043,0.7783505154639175,0.6018518518518519,0.20370370370370372
VP021,0.8498511899653636,52,82,52,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP022,0.8388750750235789,78,100,78,0.8148148148148148,0.8147512864493998,0.8152472527472527,0.8148148148148149,0.6296296296296297
VP023,0.8444423105941097,54,84,54,0.8240740740740741,0.8196043956043956,0.8597259231062049,0.8240740740740741,0.6481481481481481
VP024,0.8425877341893269,83,100,83,0.7592592592592593,0.7488372093023257,0.8108552631578947,0.7592592592592593,0.5185185185185186
VP025,0.8370280948200175,50,80,50,0.9166666666666666,0.9163151097718467,0.9237879316358563,0.9166666666666667,0.8333333333333334
VP026,0.8369565217391304,52,82,52,0.7592592592592593,0.7488372093023257,0.8108552631578947,0.7592592592592593,0.5185185185185186
