subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7865812991863412,50,80,50,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
VP002,0.7566423308997566,25,55,25,0.7166666666666667,0.7146853146853147,0.7228571428571429,0.7166666666666667,0.43333333333333335
VP003,0.7366403306997367,46,76,46,0.6833333333333333,0.6556931440652372,0.7700490998363339,0.6833333333333333,0.3666666666666667
VP004,0.7694235588972431,31,61,31,0.5833333333333334,0.5804195804195804,0.5857142857142856,0.5833333333333333,0.16666666666666663
VP005,0.7566423308997566,47,77,47,0.6166666666666667,0.5739425748687866,0.6948051948051948,0.6166666666666667,0.23333333333333328
VP006,0.7766046123923311,89,100,89,0.85,0.8499583217560434,0.850389321468298,0.8500000000000001,0.7
VP007,0.732751325108013,82,100,82,0.7333333333333333,0.7330367074527253,0.734375,0.7333333333333334,0.4666666666666667
VP008,0.7999644381223329,47,77,47,0.5833333333333334,0.5832175604334537,0.5834260289210234,0.5833333333333333,0.16666666666666663
VP009,0.731891505429197,37,67,37,0.6833333333333333,0.6811188811188811,0.6885714285714286,0.6833333333333333,0.3666666666666667
VP010,0.7885314685314685,19,49,19,0.65,0.6194503171247357,0.720949263502455,0.65,0.30000000000000004
VP011,0.7433304814497939,35,65,35,0.6,0.569377990430622,0.639751552795031,0.6,0.19999999999999996
VP012,0.72997299729973,51,81,51,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
VP013,0.7332266239829266,83,100,83,0.7333333333333333,0.7321428571428572,0.7375565610859729,0.7333333333333334,0.4666666666666667
VP014,0.7997775305895439,82,100,82,0.8333333333333334,0.8331479421579533,0.8348214285714286,0.8333333333333334,0.6666666666666667
VP015,0.8366503316998366,80,100,80,0.7166666666666667,0.7101449275362319,0.7380952380952381,0.7166666666666667,0.43333333333333335
VP016,0.793296586059744,76,100,76,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
VP017,0.7433076640997434,96,100,96,0.6,0.5885714285714285,0.6125,0.6000000000000001,0.19999999999999996
VP018,0.7766443310997766,63,93,63,0.6333333333333333,0.5875,0.74,0.6333333333333333,0.2666666666666667
VP019,0.7785829307568438,56,86,56,0.8,0.7963800904977376,0.8229665071770335,0.8,0.6
VP020,0.7726867534319843,48,78,48,0.8166666666666667,0.8162071846282373,0.8198653198653199,0.8166666666666667,0.6333333333333333
VP021,0.7395833333333333,49,79,49,0.6333333333333333,0.6316964285714286,0.6357466063348416,0.6333333333333333,0.2666666666666667
VP022,0.7333214809547091,67,97,67,0.8,0.7963800904977376,0.8229665071770335,0.8,0.6
VP023,0.78,77,100,77,0.6833333333333333,0.6789636722050126,0.6938895417156287,0.6833333333333333,0.3666666666666667
VP024,0.7933241477398996,86,100,86,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
VP025,0.7833309258991767,78,100,78,0.7666666666666667,0.7643097643097643,0.7777777777777778,0.7666666666666666,0.5333333333333333
VP026,0.7696903614859978,43,73,43,0.7166666666666667,0.6919359710057384,0.8191489361702128,0.7166666666666667,0.43333333333333335
