subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7827992431178661,73,100,73,0.8,0.7997183539352215,0.8016970458830924,0.8,0.6
B62,0.7140450466947446,64,94,64,0.68125,0.6791317683142621,0.6861659444711924,0.6812499999999999,0.36250000000000004
B63,0.7340607553847809,61,91,61,0.65,0.6499453039537428,0.650093808630394,0.6499999999999999,0.30000000000000004
B64,0.7265297850572945,69,99,69,0.625,0.6212121212121212,0.6302083333333333,0.625,0.25
B65,0.7296551589423539,64,94,64,0.775,0.7749648382559775,0.7751719824890557,0.7749999999999999,0.55
B66,0.725,70,100,70,0.775,0.7698209718670077,0.8021978021978022,0.775,0.55
B67,0.728058608058608,63,93,63,0.84375,0.8427116511344422,0.8530733429626063,0.84375,0.6875
B68,0.7108803254549849,56,86,56,0.60625,0.6061115235825094,0.6063996244719136,0.60625,0.21250000000000002
B69,0.7246127366609294,64,94,64,0.71875,0.715538698589546,0.7290950744558993,0.71875,0.4375
B70,0.7265297850572945,80,100,80,0.7,0.6961544548188004,0.7106649111257406,0.7,0.4
B71,0.7062241798595579,72,100,72,0.64375,0.6405911330049261,0.6489878542510121,0.64375,0.2875
B72,0.7182106375484325,38,68,38,0.725,0.7214749169172336,0.7369980250164582,0.7250000000000001,0.44999999999999996
B73,0.73898539363435,81,100,81,0.65625,0.6428426478347335,0.6838573267144695,0.65625,0.3125
B74,0.7357923664122137,84,100,84,0.55625,0.528219610448939,0.5737856118056979,0.55625,0.11250000000000004
B75,0.6984367637616302,92,100,92,0.7375,0.7364705882352941,0.7412698412698413,0.7375,0.475
B76,0.732702213559794,60,90,60,0.76875,0.768668672580204,0.7691284618995462,0.76875,0.5375
B77,0.7285735648498844,54,84,54,0.73125,0.7311554843499668,0.7315756532624003,0.73125,0.4625
B78,0.7218315361775278,59,89,59,0.68125,0.6811379000429838,0.6815052417462055,0.6812499999999999,0.36250000000000004
B79,0.7168826788607852,68,98,68,0.875,0.8737373737373737,0.890625,0.875,0.75
B80,0.7230148542086925,47,77,47,0.55625,0.528219610448939,0.5737856118056979,0.55625,0.11250000000000004
B81,0.715580559462416,76,100,76,0.7125,0.7095959595959596,0.7213541666666667,0.7125,0.42500000000000004
