subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.6826159551128973,86,100,86,0.7366666666666667,0.730788484791396,0.7398533313788848,0.7366666666666667,0.605
sub-002,0.6451638727444482,51,81,51,0.6666666666666666,0.6489493524428022,0.6684798658256695,0.6666666666666666,0.5
sub-003,0.6838845534497708,88,100,88,0.55,0.5425051593410689,0.6228751031034128,0.5499999999999999,0.32499999999999996
sub-004,0.6835908240198028,56,86,56,0.66,0.641587338574504,0.6764978213507625,0.66,0.49
sub-005,0.6707936580944422,79,100,79,0.55,0.5235059631161831,0.6435821771653855,0.5499999999999999,0.32499999999999996
sub-006,0.6911153959072264,63,93,63,0.5566666666666666,0.5583443715841879,0.5894494730180214,0.5566666666666666,0.33499999999999996
sub-007,0.6482570515843679,74,100,74,0.73,0.7287462727966161,0.8086825099020221,0.73,0.595
sub-008,0.7046105325756761,59,89,59,0.5666666666666667,0.537048728906698,0.6114792996236296,0.5666666666666667,0.35
sub-009,0.6782232205231388,80,100,80,0.6833333333333333,0.6820407745467042,0.6817427938776836,0.6833333333333335,0.525
sub-010,0.701554930457884,66,96,66,0.6053511705685619,0.612767425810904,0.6417316982534373,0.6052861952861952,0.40772200772200773
sub-011,0.7012500651589244,64,94,64,0.38333333333333336,0.3788942936899997,0.3789870823500186,0.3833333333333333,0.07499999999999996
