subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8749913188415862,62,92,62,0.6666666666666666,0.6535685645549318,0.6963636363636363,0.6666666666666667,0.33333333333333337
VP002,0.8916658307548669,33,63,33,0.7083333333333334,0.6985044865403789,0.7395740905057675,0.7083333333333333,0.41666666666666663
VP003,0.8694434370635575,15,45,15,0.7222222222222222,0.7202797202797203,0.7285714285714286,0.7222222222222222,0.4444444444444444
VP004,0.855515420950264,37,67,37,0.6944444444444444,0.6857142857142857,0.71875,0.6944444444444444,0.38888888888888884
VP005,0.8638037662427906,54,84,54,0.8055555555555556,0.8054054054054054,0.8065015479876161,0.8055555555555556,0.6111111111111112
VP006,0.8749527213221048,51,81,51,0.7777777777777778,0.7734067663257278,0.8010033444816054,0.7777777777777777,0.5555555555555556
VP007,0.8386448641463943,57,87,57,0.7361111111111112,0.7163591125855276,0.8272727272727273,0.7361111111111112,0.4722222222222222
VP008,0.8194430512581116,45,75,45,0.9583333333333334,0.9582608695652174,0.9615384615384616,0.9583333333333333,0.9166666666666666
VP009,0.85553772070626,83,100,83,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
VP010,0.8749913188415862,45,75,45,0.8333333333333334,0.8332046332046332,0.8343653250773994,0.8333333333333334,0.6666666666666667
VP011,0.8749913188415862,27,57,27,0.625,0.5823845327604726,0.711212516297262,0.625,0.25
VP012,0.8805103781522334,21,51,21,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444
VP013,0.85,52,82,52,0.9444444444444444,0.9442724458204335,0.95,0.9444444444444444,0.8888888888888888
VP014,0.8861102323320396,40,70,40,0.9722222222222222,0.9722007722007722,0.9736842105263157,0.9722222222222222,0.9444444444444444
VP015,0.8638794360719495,36,66,36,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP016,0.841391304347826,56,86,56,0.8055555555555556,0.7979149959903769,0.86,0.8055555555555556,0.6111111111111112
VP017,0.8610725201444845,77,100,77,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
VP018,0.8666502037288555,59,89,59,0.875,0.873807205452775,0.8897353648757017,0.875,0.75
VP019,0.866600790513834,46,76,46,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778
VP020,0.8609007449537882,25,55,25,0.7638888888888888,0.7531760435571688,0.819327731092437,0.7638888888888888,0.5277777777777778
VP021,0.8166157265907197,71,100,71,0.875,0.8747826086956522,0.8776223776223776,0.875,0.75
VP022,0.8666502037288555,60,90,60,0.7916666666666666,0.7866877345447363,0.8217021276595745,0.7916666666666666,0.5833333333333333
VP023,0.8555510972560882,63,93,63,0.8194444444444444,0.8177215189873418,0.8319967923015237,0.8194444444444444,0.6388888888888888
VP024,0.8360997291478576,60,90,60,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP025,0.8861102323320396,24,54,24,0.9444444444444444,0.9444015444015443,0.9458204334365325,0.9444444444444444,0.8888888888888888
VP026,0.8693627961920645,48,78,48,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
