subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8814408233276159,54,84,54,0.6296296296296297,0.6213183730715287,0.6421052631578947,0.6296296296296297,0.2592592592592593
VP002,0.8740308747855918,68,98,68,0.8333333333333334,0.8332761578044596,0.8337912087912087,0.8333333333333333,0.6666666666666667
VP003,0.8646472484797709,30,60,30,0.8518518518518519,0.8493198465294733,0.8772058823529412,0.8518518518518519,0.7037037037037037
VP004,0.8795598271975185,82,100,82,0.46296296296296297,0.3439463762044407,0.365,0.4629629629629629,-0.07407407407407418
VP005,0.8814554634762088,52,82,52,0.8425925925925926,0.8425790962874047,0.8427101200686107,0.8425925925925926,0.6851851851851851
VP006,0.8722112663980108,34,64,34,0.8333333333333334,0.8318920788654445,0.8451704545454546,0.8333333333333333,0.6666666666666667
VP007,0.8870273514533139,48,78,48,0.7592592592592593,0.7507102272727273,0.800476947535771,0.7592592592592593,0.5185185185185186
VP008,0.8814668477589827,35,65,35,0.8518518518518519,0.8505707367692841,0.8643465909090908,0.8518518518518519,0.7037037037037037
VP009,0.8814749780509219,45,75,45,0.9166666666666666,0.9166023166023166,0.9179566563467492,0.9166666666666666,0.8333333333333334
VP010,0.8888339920948616,69,99,69,0.6759259259259259,0.6758981394152448,0.6759862778730703,0.6759259259259259,0.35185185185185186
VP011,0.8888873647100783,36,66,36,0.6851851851851852,0.6588628762541806,0.7678571428571428,0.6851851851851851,0.37037037037037035
VP012,0.8888888888888888,49,79,49,0.8148148148148148,0.813213420961605,0.8259943181818181,0.8148148148148149,0.6296296296296297
VP013,0.8703543647363872,69,99,69,0.8796296296296297,0.8783678419821537,0.8960644007155635,0.8796296296296297,0.7592592592592593
VP014,0.8851788849868305,68,98,68,0.8703703703703703,0.8701923076923077,0.8724137931034484,0.8703703703703705,0.7407407407407407
VP015,0.8814668477589827,35,65,35,0.5,0.3333333333333333,0.25,0.5,0.0
VP016,0.8534378210127427,30,60,30,0.8518518518518519,0.8516483516483516,0.8537931034482759,0.8518518518518519,0.7037037037037037
VP017,0.8628707910666977,17,47,17,0.8425925925925926,0.8394964594807239,0.8712374581939799,0.8425925925925926,0.6851851851851851
VP018,0.8888827919227392,36,66,36,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP019,0.8666373964107349,22,52,22,0.7777777777777778,0.7714285714285714,0.8125,0.7777777777777778,0.5555555555555556
VP020,0.8795598271975185,62,92,62,0.7962962962962963,0.7904761904761904,0.8333333333333333,0.7962962962962963,0.5925925925925926
VP021,0.8925203497549793,47,77,47,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.7407407407407407
VP022,0.85553772070626,51,81,51,0.8611111111111112,0.8608127846034883,0.8642338291248703,0.8611111111111112,0.7222222222222222
VP023,0.8814814814814815,58,88,58,0.7870370370370371,0.7786688051323176,0.8381818181818181,0.787037037037037,0.5740740740740741
VP024,0.8536429725640613,49,79,49,0.7777777777777778,0.7698863636363636,0.8219395866454691,0.7777777777777777,0.5555555555555556
VP025,0.8759255004303856,59,89,59,0.8981481481481481,0.8970804816772069,0.9153846153846155,0.8981481481481481,0.7962962962962963
VP026,0.8906053104151572,22,52,22,0.7685185185185185,0.7626373626373626,0.798058622002284,0.7685185185185186,0.537037037037037
