subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.75588277914637,46,76,46,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
VP002,0.7260701082357133,8,38,8,0.7166666666666667,0.7101449275362319,0.7380952380952381,0.7166666666666667,0.43333333333333335
VP003,0.7766443310997766,59,89,59,0.5666666666666667,0.48412698412698413,0.6851851851851852,0.5666666666666667,0.1333333333333333
VP004,0.7264721579790072,23,53,23,0.6166666666666667,0.5739425748687866,0.6948051948051948,0.6166666666666667,0.23333333333333328
VP005,0.729924979160878,34,64,34,0.6166666666666667,0.5631528964862298,0.7287581699346405,0.6166666666666667,0.23333333333333328
VP006,0.7664071190211346,20,50,20,0.6833333333333333,0.6556931440652372,0.7700490998363339,0.6833333333333333,0.3666666666666667
VP007,0.76,52,82,52,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4666666666666667
VP008,0.7864293659621802,67,97,67,0.5333333333333333,0.52,0.5375000000000001,0.5333333333333333,0.06666666666666665
VP009,0.729924979160878,27,57,27,0.6833333333333333,0.6825396825396826,0.6851851851851851,0.6833333333333333,0.3666666666666667
VP010,0.746384872080089,27,57,27,0.7,0.6827262044653349,0.7556818181818181,0.7,0.4
VP011,0.7358183500351128,32,62,32,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP012,0.7299969999666662,28,58,28,0.6333333333333333,0.6316964285714286,0.6357466063348416,0.6333333333333333,0.2666666666666667
VP013,0.7699769976997699,39,69,39,0.7666666666666667,0.765625,0.7714932126696833,0.7666666666666666,0.5333333333333333
VP014,0.7666562958353704,32,62,32,0.7666666666666667,0.7532314923619272,0.8409090909090908,0.7666666666666666,0.5333333333333333
VP015,0.7607789844899426,43,73,43,0.6833333333333333,0.6723196320781835,0.7118100128369704,0.6833333333333333,0.3666666666666667
VP016,0.7337399299076055,16,46,16,0.7833333333333333,0.7818181818181819,0.7914285714285714,0.7833333333333333,0.5666666666666667
VP017,0.732751325108013,26,56,26,0.5166666666666667,0.4334093129273852,0.5404312668463611,0.5166666666666667,0.033333333333333326
VP018,0.7457513716044427,14,44,14,0.55,0.4357366771159875,0.763157894736842,0.55,0.09999999999999998
VP019,0.7166635184835387,41,71,41,0.7333333333333333,0.7257142857142858,0.7625,0.7333333333333334,0.4666666666666667
VP020,0.7665006226650062,51,81,51,0.8166666666666667,0.8162071846282373,0.8198653198653199,0.8166666666666667,0.6333333333333333
VP021,0.7491946361092843,28,58,28,0.6,0.5995550611790879,0.6004464285714286,0.6,0.19999999999999996
VP022,0.7699974444160491,59,89,59,0.8,0.7963800904977376,0.8229665071770335,0.8,0.6
VP023,0.76,37,67,37,0.6666666666666666,0.6651785714285714,0.6696832579185521,0.6666666666666666,0.33333333333333337
VP024,0.8166646296069957,20,50,20,0.6333333333333333,0.6180555555555556,0.6587301587301587,0.6333333333333333,0.2666666666666667
VP025,0.7363121530057077,33,63,33,0.6666666666666666,0.6651785714285714,0.6696832579185521,0.6666666666666666,0.33333333333333337
VP026,0.7529380341880342,50,80,50,0.8166666666666667,0.8141368628555337,0.8349001175088131,0.8166666666666667,0.6333333333333333
