subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7215277624136227,32,62,32,0.8,0.7997183539352215,0.8016970458830924,0.8,0.6
B62,0.7140562170555506,44,74,44,0.65625,0.6513332540908912,0.6655903295247558,0.65625,0.3125
B63,0.7265564917197888,84,100,84,0.675,0.6631578947368422,0.7036363636363636,0.675,0.35
B64,0.6807230683452181,49,79,49,0.59375,0.5936071275057637,0.593882021592865,0.59375,0.1875
B65,0.6702472901135235,87,100,87,0.7375,0.7375,0.7375,0.7375,0.475
B66,0.688660403695202,85,100,85,0.66875,0.6617605998962945,0.6839550332141032,0.66875,0.3375
B67,0.6949841015351,69,99,69,0.79375,0.7845865121782056,0.8539823008849557,0.79375,0.5875
B68,0.6895304736424308,30,60,30,0.625,0.6235294117647059,0.626984126984127,0.625,0.25
B69,0.6983778530422275,81,100,81,0.6125,0.6115288220551378,0.6136363636363636,0.6125,0.22499999999999998
B70,0.6874877924918942,33,63,33,0.65,0.6472996378523067,0.6547388781431334,0.65,0.30000000000000004
B71,0.6875,46,76,46,0.60625,0.6027586206896551,0.6101214574898786,0.60625,0.21250000000000002
B72,0.6900317013032758,76,100,76,0.66875,0.6681147508903762,0.6700519603212092,0.66875,0.3375
B73,0.6918693195774994,44,74,44,0.69375,0.6902532495752834,0.7029127802323678,0.6937500000000001,0.38749999999999996
B74,0.699812382739212,74,100,74,0.6125,0.5918367346938775,0.6410658307210031,0.6125,0.22499999999999998
B75,0.6984421474217393,56,86,56,0.6125,0.6075328374742839,0.618499012508229,0.6125,0.22499999999999998
B76,0.6778103616813294,77,100,77,0.60625,0.5864615384615385,0.6314009661835749,0.60625,0.21250000000000002
B77,0.7062241798595579,67,97,67,0.59375,0.52465834818776,0.7239641657334827,0.59375,0.1875
B78,0.7171536634021161,62,92,62,0.5875,0.578005115089514,0.5961538461538461,0.5875,0.17500000000000004
B79,0.6718150033736122,26,56,26,0.81875,0.8166804946465963,0.8338242513500245,0.8187500000000001,0.6375
B80,0.7049794525250346,28,58,28,0.5625,0.5363470773306839,0.5807102502017756,0.5625,0.125
B81,0.6914636145840216,63,93,63,0.63125,0.6204414780266173,0.6481220243343325,0.6312500000000001,0.26249999999999996
