subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.7727054262323971,37,67,37,0.775,0.7748592870544091,0.7756892230576441,0.775,0.55
sub-002,0.7684832729164682,28,58,28,0.705,0.7037483367226531,0.7085240565557929,0.7050000000000001,0.41000000000000003
sub-003,0.75594508764472,73,100,73,0.93,0.9299929992999301,0.930172068827531,0.9299999999999999,0.86
sub-004,0.7879980919828278,61,91,61,0.55,0.5498199279711885,0.5500801282051282,0.55,0.09999999999999998
sub-005,0.7844825425847459,46,76,46,0.765,0.7649471131004475,0.765238714843359,0.765,0.53
sub-006,0.7792828901099673,66,96,66,0.79,0.7894736842105263,0.7929292929292929,0.79,0.5800000000000001
sub-007,0.7662053603053247,47,77,47,0.635,0.6345523266000851,0.635664757310823,0.635,0.27
sub-008,0.7598941133039671,56,86,56,0.88,0.88,0.88,0.88,0.76
sub-009,0.7845829525962262,49,79,49,0.735,0.7341959427267484,0.7378783277659682,0.7350000000000001,0.47
sub-010,0.7652670862663478,38,68,38,0.78,0.7785829307568438,0.7873563218390804,0.78,0.56
sub-011,0.7661885046353003,28,58,28,0.93,0.9297470895222801,0.9362824675324675,0.9299999999999999,0.86
sub-012,0.7614684542030683,61,91,61,0.545,0.525039797489496,0.5540930400288496,0.545,0.08999999999999997
sub-013,0.78,75,100,75,0.74,0.74,0.74,0.74,0.48
sub-014,0.782460353399407,60,90,60,0.515,0.4783684224678013,0.5208594075928243,0.515,0.030000000000000027
sub-015,0.7814710995529158,23,53,23,0.75,0.7479584635547938,0.7583712277800745,0.75,0.5
sub-016,0.7469528487973119,33,63,33,0.66,0.6532027743778049,0.6736111111111112,0.66,0.31999999999999995
sub-017,0.774999774999775,78,100,78,0.68,0.67996799679968,0.6800720288115246,0.6799999999999999,0.36
sub-018,0.7869980829827468,55,85,55,0.59,0.5777983729790959,0.601763907734057,0.59,0.18000000000000005
sub-019,0.7762918955358222,79,100,79,0.785,0.7830419536315245,0.7956738250855898,0.7849999999999999,0.5700000000000001
sub-020,0.781,59,89,59,0.91,0.9099189270343309,0.9114813327980731,0.9099999999999999,0.8200000000000001
sub-021,0.7659997659997659,94,100,94,0.84,0.8399359743897559,0.8405448717948718,0.84,0.6799999999999999
sub-022,0.7739979659816938,75,100,75,0.625,0.6208195353775374,0.6307668166126164,0.625,0.25
sub-023,0.7819823405695862,67,97,67,0.7738693467336684,0.7737779461917393,0.7745445344129555,0.773989898989899,0.5478414541782378
sub-024,0.7554412447590534,33,63,33,0.935,0.934868107918535,0.9385522734146587,0.935,0.87
sub-025,0.7774754666702004,61,91,61,0.84,0.8383838383838383,0.8541666666666667,0.84,0.6799999999999999
sub-026,0.7679812064777247,49,79,49,0.8844221105527639,0.8844104351339748,0.8844716104263488,0.8843939393939394,0.7688267084196172
sub-027,0.7764874274177922,52,82,52,0.64,0.6376811594202898,0.6436781609195402,0.64,0.28
sub-028,0.75997599759976,25,55,25,0.785,0.7843476516462298,0.7884907379289402,0.7849999999999999,0.5700000000000001
sub-029,0.7743035876971935,40,70,40,0.625,0.6199741582427605,0.6319818392989125,0.625,0.25
sub-030,0.7684693800755149,62,92,62,0.79,0.7858017135862914,0.8146701388888888,0.79,0.5800000000000001
sub-031,0.7729091636654661,34,64,34,0.865,0.864726070292342,0.867980643210001,0.865,0.73
sub-032,0.7779500387587207,62,92,62,0.555,0.554899852466805,0.5550495445901311,0.5549999999999999,0.10999999999999999
sub-033,0.7594994588737825,20,50,20,0.875,0.8749968749218731,0.875037503750375,0.875,0.75
sub-034,0.7799859190988223,77,100,77,0.505,0.4832850544116496,0.5060103377809833,0.505,0.010000000000000009
sub-035,0.7805356133578653,58,88,58,0.9,0.8998397435897436,0.9025764895330113,0.8999999999999999,0.8
sub-036,0.7872318589502421,79,100,79,0.815,0.8142150586226808,0.820415013732072,0.815,0.63
sub-037,0.7649941248531213,80,100,80,0.875,0.8749968749218731,0.875037503750375,0.875,0.75
sub-038,0.7854342892510832,54,84,54,0.525,0.5081670161269447,0.5289653574325107,0.525,0.050000000000000044
sub-039,0.7593781852062607,79,100,79,0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999,0.30000000000000004
sub-040,0.7564388350760152,16,46,16,0.65,0.6395839769333744,0.669606512890095,0.6499999999999999,0.30000000000000004
sub-041,0.7597691381417542,58,88,58,0.85,0.84998499849985,0.8501400560224089,0.85,0.7
sub-042,0.7688555347091932,74,100,74,0.69,0.6846709388668497,0.7037752037752039,0.69,0.38
sub-043,0.7709257799527047,94,100,94,0.91,0.9097744360902256,0.9141414141414141,0.9099999999999999,0.8200000000000001
sub-044,0.7749423852506241,30,60,30,0.645,0.6410424934907354,0.651689507270635,0.645,0.29000000000000004
sub-045,0.7627865078570714,35,65,35,0.755,0.7532169927727834,0.7625888168056842,0.755,0.51
sub-046,0.7664841635172095,45,75,45,0.875,0.8747463613817982,0.8780623046678093,0.875,0.75
sub-047,0.7734985843661524,27,57,27,0.74,0.7348021215830274,0.7604166666666667,0.74,0.48
sub-048,0.7618132615970921,58,88,58,0.735,0.7349403615813558,0.7352116905214694,0.735,0.47
sub-049,0.762999051996208,39,69,39,0.595,0.5822050290135397,0.6082621082621082,0.595,0.18999999999999995
sub-050,0.7884275893424524,94,100,94,0.71,0.7092731829573935,0.7121212121212122,0.71,0.42000000000000004
sub-051,0.7729990919963681,87,100,87,0.76,0.76,0.76,0.76,0.52
