subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7942157953281423,17,47,17,0.6111111111111112,0.5909090909090908,0.6384615384615384,0.6111111111111112,0.2222222222222222
VP002,0.8081542180585268,19,49,19,0.625,0.6123629112662015,0.6437444543034605,0.625,0.25
VP003,0.8249338098509467,6,36,6,0.6527777777777778,0.6370235934664247,0.6848739495798319,0.6527777777777778,0.3055555555555556
VP004,0.8082608393605607,44,74,44,0.7222222222222222,0.722007722007722,0.7229102167182663,0.7222222222222222,0.4444444444444444
VP005,0.8222222222222222,31,61,31,0.7083333333333334,0.7082770596179818,0.7084942084942085,0.7083333333333333,0.41666666666666663
VP006,0.8184230742370278,16,46,16,0.6944444444444444,0.6857142857142857,0.71875,0.6944444444444444,0.38888888888888884
VP007,0.8083318544124569,26,56,26,0.7916666666666666,0.7866877345447363,0.8217021276595745,0.7916666666666666,0.5833333333333333
VP008,0.7576582920016404,21,51,21,0.9583333333333334,0.9583252942311402,0.9586872586872587,0.9583333333333333,0.9166666666666666
VP009,0.7747897342426184,9,39,9,0.875,0.8749758826934207,0.8752895752895753,0.875,0.75
VP010,0.8055315471045807,31,61,31,0.7083333333333334,0.7069199457259159,0.7124311565696302,0.7083333333333333,0.41666666666666663
VP011,0.8249878463782208,18,48,18,0.5694444444444444,0.5294117647058824,0.6052631578947368,0.5694444444444444,0.13888888888888884
VP012,0.8388839161702522,27,57,27,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP013,0.8027762559896295,24,54,24,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP014,0.7861094607211476,58,88,58,0.9305555555555556,0.9302190346966466,0.9390243902439024,0.9305555555555556,0.8611111111111112
VP015,0.7970954068515044,11,41,11,0.7361111111111112,0.7298044637566661,0.7604255319148936,0.7361111111111112,0.4722222222222222
VP016,0.7888888888888889,29,59,29,0.7222222222222222,0.7037037037037037,0.7962962962962963,0.7222222222222222,0.4444444444444444
VP017,0.7859112288479213,38,68,38,0.7916666666666666,0.7916264711557013,0.7918918918918919,0.7916666666666667,0.5833333333333333
VP018,0.7660818713450293,16,46,16,0.8194444444444444,0.8177215189873418,0.8319967923015237,0.8194444444444444,0.6388888888888888
VP019,0.8555510972560882,14,44,14,0.8055555555555556,0.8,0.84375,0.8055555555555556,0.6111111111111112
VP020,0.7818181818181819,19,49,19,0.6388888888888888,0.6017021276595744,0.7216748768472906,0.6388888888888888,0.2777777777777778
VP021,0.7944444444444444,16,46,16,0.8055555555555556,0.8041958041958042,0.8142857142857143,0.8055555555555556,0.6111111111111112
VP022,0.8082134667500521,9,39,9,0.7361111111111112,0.7335929892891919,0.7453889334402566,0.7361111111111112,0.4722222222222222
VP023,0.7859773469529567,31,61,31,0.6805555555555556,0.6754850088183422,0.6925925925925926,0.6805555555555556,0.36111111111111116
VP024,0.7777777777777778,24,54,24,0.6388888888888888,0.6363636363636364,0.6428571428571428,0.6388888888888888,0.2777777777777778
VP025,0.7971455257003033,55,85,55,0.8888888888888888,0.8875,0.9090909090909092,0.8888888888888888,0.7777777777777778
VP026,0.786096256684492,13,43,13,0.7916666666666666,0.791304347826087,0.7937062937062938,0.7916666666666667,0.5833333333333333
