subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8258662092624357,66,96,66,0.6481481481481481,0.6356534090909092,0.6717011128775835,0.6481481481481481,0.2962962962962963
VP002,0.833186885606019,66,96,66,0.7407407407407407,0.7220588235294118,0.8292682926829269,0.7407407407407407,0.4814814814814815
VP003,0.8146902581982403,54,84,54,0.8611111111111112,0.8610992026065335,0.8612349914236707,0.8611111111111112,0.7222222222222222
VP004,0.7979478976077113,24,54,24,0.6388888888888888,0.638857926776987,0.6389365351629502,0.6388888888888888,0.2777777777777778
VP005,0.8313142998376306,40,70,40,0.7962962962962963,0.7956656346749226,0.8,0.7962962962962963,0.5925925925925926
VP006,0.8295454545454546,26,56,26,0.7962962962962963,0.7890625,0.843402225755167,0.7962962962962963,0.5925925925925926
VP007,0.8165905605549628,29,59,29,0.7870370370370371,0.7861386138613862,0.7919427973491454,0.787037037037037,0.5740740740740741
VP008,0.8111111111111111,56,86,56,0.8981481481481481,0.8981394152447912,0.8982847341337907,0.8981481481481481,0.7962962962962963
VP009,0.8277299249791609,23,53,23,0.8425925925925926,0.8414918414918415,0.8523809523809524,0.8425925925925926,0.6851851851851851
VP010,0.8017967954061314,48,78,48,0.7222222222222222,0.6989966555183946,0.8214285714285714,0.7222222222222222,0.4444444444444444
VP011,0.8407210766761328,58,88,58,0.6666666666666666,0.6426470588235295,0.7279549718574109,0.6666666666666666,0.33333333333333337
VP012,0.8110463121783877,22,52,22,0.8148148148148148,0.813213420961605,0.8259943181818181,0.8148148148148149,0.6296296296296297
VP013,0.8444423105941097,26,56,26,0.9166666666666666,0.916487670762093,0.9202698028363887,0.9166666666666666,0.8333333333333334
VP014,0.8221831952143132,87,100,87,0.8888888888888888,0.8882758620689655,0.8976157082748948,0.8888888888888888,0.7777777777777778
VP015,0.8333310470651175,29,59,29,0.7129629629629629,0.7099540847266742,0.7221824686940966,0.712962962962963,0.42592592592592593
VP016,0.8313142998376306,49,79,49,0.7129629629629629,0.6993264481365065,0.7601591956430667,0.712962962962963,0.42592592592592593
VP017,0.8055495539985802,48,78,48,0.7777777777777778,0.7739797697942099,0.7977941176470589,0.7777777777777778,0.5555555555555556
VP018,0.8480960548885077,17,47,17,0.8055555555555556,0.8051378984448836,0.8081978554133518,0.8055555555555556,0.6111111111111112
VP019,0.8255813953488372,34,64,34,0.7962962962962963,0.7928147889780258,0.8176470588235294,0.7962962962962963,0.5925925925925926
VP020,0.8333127546610692,29,59,29,0.7685185185185185,0.761125364947359,0.8064579256360078,0.7685185185185185,0.537037037037037
VP021,0.8370348015747815,64,94,64,0.7685185185185185,0.765115267507612,0.7850382235165635,0.7685185185185185,0.537037037037037
VP022,0.8184961106309421,58,88,58,0.7962962962962963,0.7960164835164836,0.7979310344827586,0.7962962962962963,0.5925925925925926
VP023,0.8350216778631772,54,84,54,0.7037037037037037,0.6883116883116883,0.7538461538461538,0.7037037037037037,0.40740740740740744
VP024,0.844025088028169,43,73,43,0.6944444444444444,0.6771446689011686,0.7474901789611523,0.6944444444444444,0.38888888888888884
VP025,0.8406336220504866,32,62,32,0.9259259259259259,0.9259005145797599,0.926510989010989,0.9259259259259259,0.8518518518518519
VP026,0.8166358544474208,53,83,53,0.6851851851851852,0.6761904761904762,0.7083333333333333,0.6851851851851851,0.37037037037037035
