subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7425064930721985,8,38,8,0.7333333333333333,0.7330367074527253,0.734375,0.7333333333333334,0.4666666666666667
VP002,0.6995192307692308,8,38,8,0.6,0.5982142857142857,0.6018099547511313,0.6,0.19999999999999996
VP003,0.7233302592251025,54,84,54,0.7166666666666667,0.7027105800058292,0.7667578659370725,0.7166666666666667,0.43333333333333335
VP004,0.7050147492625369,6,36,6,0.5,0.4791666666666667,0.5,0.5,0.0
VP005,0.7433076640997434,29,59,29,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP006,0.6932788051209103,14,44,14,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
VP007,0.7364294531745237,7,37,7,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP008,0.7429877947017658,17,47,17,0.55,0.5468531468531468,0.5514285714285714,0.55,0.09999999999999998
VP009,0.6555606335900837,10,40,10,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
VP010,0.7265572895824997,17,47,17,0.5833333333333334,0.546964663243733,0.6227495908346972,0.5833333333333334,0.16666666666666663
VP011,0.703250903028619,28,58,28,0.6,0.5833333333333333,0.6190476190476191,0.6000000000000001,0.19999999999999996
VP012,0.7133205920263123,19,49,19,0.6,0.595959595959596,0.6041666666666667,0.6,0.19999999999999996
VP013,0.7099967777419749,32,62,32,0.65,0.6327601282424948,0.6846785225718194,0.65,0.30000000000000004
VP014,0.7099967777419749,52,82,52,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
VP015,0.7498638147435825,14,44,14,0.65,0.6419437340153453,0.6648351648351649,0.65,0.30000000000000004
VP016,0.7277951406391774,23,53,23,0.7333333333333333,0.7306397306397306,0.7430555555555556,0.7333333333333334,0.4666666666666667
VP017,0.6898311302820425,12,42,12,0.6,0.5885714285714285,0.6125,0.6000000000000001,0.19999999999999996
VP018,0.7330367074527253,22,52,22,0.65,0.6419437340153453,0.6648351648351649,0.65,0.30000000000000004
VP019,0.7132823613086771,27,57,27,0.65,0.6378269617706237,0.6732991014120667,0.65,0.30000000000000004
VP020,0.7459440185416295,23,53,23,0.7833333333333333,0.783273131425396,0.7836484983314794,0.7833333333333334,0.5666666666666667
VP021,0.7166383304997166,53,83,53,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP022,0.7027752112299763,4,34,4,0.5,0.3333333333333333,0.25,0.5,0.0
VP023,0.7566639629329215,56,86,56,0.6166666666666667,0.6113770768797522,0.6233842538190364,0.6166666666666667,0.23333333333333328
VP024,0.7165123233760603,21,51,21,0.55,0.5488721804511278,0.5505050505050505,0.55,0.09999999999999998
VP025,0.7066666666666667,22,52,22,0.7,0.6986607142857143,0.7036199095022624,0.7,0.4
VP026,0.68,56,86,56,0.7333333333333333,0.717978848413631,0.7982954545454546,0.7333333333333334,0.4666666666666667
