subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.726449633760023,71,100,71,0.825,0.8248905565978737,0.8258145363408521,0.825,0.65
B62,0.7110070579458334,23,53,23,0.6125,0.6075328374742839,0.618499012508229,0.6125,0.22499999999999998
B63,0.7418541035663735,49,79,49,0.7375,0.73547472838923,0.745003223726628,0.7375,0.475
B64,0.7387812561864703,72,100,72,0.46875,0.4575405847393403,0.4659342531084994,0.46875,-0.0625
B65,0.7028899813328904,25,55,25,0.8,0.797979797979798,0.8125,0.8,0.6
B66,0.7468725280520317,60,90,60,0.80625,0.8060606060606061,0.8074509803921568,0.80625,0.6125
B67,0.7203118171675224,40,70,40,0.8875,0.8868636077938403,0.8964194373401535,0.8875,0.775
B68,0.7388782612732128,40,70,40,0.59375,0.5910502929495498,0.5962927298988927,0.59375,0.1875
B69,0.7229444005566548,66,96,66,0.66875,0.6640120448512223,0.6788375558867362,0.66875,0.3375
B70,0.7156000039065933,51,81,51,0.71875,0.716880972041996,0.7246830364307495,0.71875,0.4375
B71,0.7359213819202832,58,88,58,0.6125,0.6063492063492064,0.62,0.6125,0.22499999999999998
B72,0.6933876944436297,15,45,15,0.7375,0.7324414715719063,0.7569303583502367,0.7375,0.475
B73,0.7076918943607103,33,63,33,0.775,0.7748592870544091,0.7756892230576441,0.775,0.55
B74,0.715224534501643,20,50,20,0.475,0.4666666666666667,0.47333333333333333,0.475,-0.050000000000000044
B75,0.724674341369401,20,50,20,0.625,0.6201930685235005,0.6316655694535879,0.625,0.25
B76,0.716239090122994,57,87,57,0.625,0.6201930685235005,0.6316655694535879,0.625,0.25
B77,0.7466275659824047,46,76,46,0.7,0.6875,0.7380952380952381,0.7,0.4
B78,0.7034705419458275,12,42,12,0.59375,0.5799507249888929,0.6079330814894766,0.59375,0.1875
B79,0.7343516520006641,66,96,66,0.8125,0.8117647058823529,0.8174603174603174,0.8125,0.625
B80,0.728058608058608,60,90,60,0.65625,0.6551589012108625,0.6582528881152081,0.65625,0.3125
B81,0.7123202001250781,18,48,18,0.63125,0.5964259758026591,0.7004294917680745,0.6312500000000001,0.26249999999999996
