subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.8179954498862472,13,43,13,0.865,0.8649696181640869,0.8653287959163247,0.865,0.73
sub-002,0.8064918242795758,17,47,17,0.655,0.6524892347208582,0.6596128102152199,0.655,0.31000000000000005
sub-003,0.8088805503439649,10,40,10,0.97,0.9699729756781104,0.9716981132075472,0.97,0.94
sub-004,0.8109931957550471,22,52,22,0.515,0.5059967915255532,0.5161794844137633,0.515,0.030000000000000027
sub-005,0.8164922467974272,10,40,10,0.725,0.7103357472021066,0.7821316614420062,0.725,0.44999999999999996
sub-006,0.8224516624651061,16,46,16,0.865,0.8649696181640869,0.8653287959163247,0.865,0.73
sub-007,0.82,14,44,14,0.65,0.6448863636363636,0.6591680814940577,0.65,0.30000000000000004
sub-008,0.8094347790531309,13,43,13,0.89,0.8899889988998899,0.89015606242497,0.89,0.78
sub-009,0.8208880550343964,9,39,9,0.76,0.7593984962406015,0.7626262626262625,0.76,0.52
sub-010,0.8168004957398607,17,47,17,0.8,0.7999199679871949,0.8004807692307692,0.8,0.6
sub-011,0.8104999526249881,10,40,10,0.975,0.9749993749843746,0.975047504750475,0.975,0.95
sub-012,0.8114547019921536,10,40,10,0.54,0.5320923608991964,0.5429000429000429,0.54,0.07999999999999996
sub-013,0.8084861631252858,7,37,7,0.79,0.7898108297467721,0.7910477719791249,0.79,0.5800000000000001
sub-014,0.8249992999972,60,90,60,0.59,0.5849782366636299,0.594577553593947,0.59,0.18000000000000005
sub-015,0.8179970879534073,8,38,8,0.83,0.8293857888398234,0.8348214285714286,0.8300000000000001,0.6599999999999999
sub-016,0.8144943884552508,7,37,7,0.7,0.6875,0.7380952380952381,0.7,0.4
sub-017,0.8279984519860679,21,51,21,0.725,0.7249931248281207,0.725022502250225,0.725,0.44999999999999996
sub-018,0.8194165252888148,14,44,14,0.625,0.6222709073052807,0.6287200082380805,0.625,0.25
sub-019,0.815422431276744,18,48,18,0.885,0.8846510694851927,0.8897155582548841,0.885,0.77
sub-020,0.805999223996896,10,40,10,0.945,0.9449986249656241,0.945044504450445,0.945,0.89
sub-021,0.8087789484644249,7,37,7,0.845,0.8445297023496076,0.8492256301245065,0.845,0.69
sub-022,0.8168664956753473,14,44,14,0.755,0.7545028683083244,0.7570823671741103,0.755,0.51
sub-023,0.8142101213418236,6,36,6,0.8341708542713567,0.8335656537496515,0.8384009009009009,0.8338888888888889,0.6681489716509172
sub-024,0.8129970079521273,16,46,16,0.98,0.9799919967987194,0.9807692307692308,0.98,0.96
sub-025,0.8142915887354584,7,37,7,0.94,0.9399459513562206,0.9415897230028101,0.94,0.88
sub-026,0.8054824447906423,2,32,2,0.964824120603015,0.9648099027409373,0.9653114886731391,0.9647474747474747,0.9296358034045562
sub-027,0.8209971359541752,8,38,8,0.735,0.7341959427267484,0.7378783277659682,0.7350000000000001,0.47
sub-028,0.8174232721301127,21,51,21,0.815,0.8136536476039384,0.8243744207599629,0.815,0.63
sub-029,0.8074267740308252,10,40,10,0.73,0.7293233082706767,0.7323232323232323,0.73,0.45999999999999996
sub-030,0.81032355348563,6,36,6,0.955,0.9549988749718743,0.955045504550455,0.955,0.91
sub-031,0.8039803980398039,4,34,4,0.855,0.8543847756772364,0.8611026345234463,0.855,0.71
sub-032,0.8244946909644016,6,36,6,0.615,0.613831841319993,0.6164085433748355,0.615,0.22999999999999998
sub-033,0.810999243996976,34,64,34,0.92,0.9197109594540345,0.9261363636363636,0.9199999999999999,0.84
sub-034,0.8249992999972,24,54,24,0.55,0.5498199279711885,0.5500801282051282,0.55,0.09999999999999998
sub-035,0.820487030187931,21,51,21,0.97,0.96999699969997,0.970188075230092,0.97,0.94
sub-036,0.8248991419057377,14,44,14,0.86,0.8593106220480353,0.8671970624235006,0.8600000000000001,0.72
sub-037,0.8104999526249881,50,80,50,0.9,0.8999899989999001,0.9001600640256102,0.9,0.8
sub-038,0.8219743643084605,20,50,20,0.605,0.5876719121062659,0.6262170934006491,0.605,0.20999999999999996
sub-039,0.813,31,61,31,0.7,0.6999699969997,0.7000800320128051,0.7,0.4
sub-040,0.8218795906032478,9,39,9,0.77,0.7631551848419318,0.805291723202171,0.77,0.54
sub-041,0.8203832041785171,16,46,16,0.915,0.9148275257396228,0.9183889504990423,0.915,0.83
sub-042,0.808993123752455,8,38,8,0.795,0.7949538646195394,0.7952657391652487,0.795,0.5900000000000001
sub-043,0.814497727597163,7,37,7,0.985,0.9849966242404541,0.9854368932038835,0.985,0.97
sub-044,0.8314979358497141,10,40,10,0.625,0.6247654784240151,0.62531328320802,0.625,0.25
sub-045,0.8089310240997,8,38,8,0.78,0.779205138498595,0.7840909090909092,0.78,0.56
sub-046,0.8104942674515905,5,35,5,0.915,0.9148275257396228,0.9183889504990423,0.915,0.83
sub-047,0.804433067217255,18,48,18,0.81,0.8098288459613652,0.8111200321156162,0.81,0.62
sub-048,0.8119390682581156,30,60,30,0.785,0.7830419536315245,0.7956738250855898,0.7849999999999999,0.5700000000000001
sub-049,0.8134995803740559,10,40,10,0.695,0.685364281108962,0.7222222222222223,0.6950000000000001,0.39
sub-050,0.822439229826408,10,40,10,0.795,0.7922525398393758,0.8114771407454334,0.795,0.5900000000000001
sub-051,0.8219214673671089,4,34,4,0.775,0.7749493636068115,0.7752477229506556,0.775,0.55
