subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6006944444444444,9,39,9,0.5,0.44851063829787235,0.5,0.5,0.0
VP002,0.6406657433127771,85,100,85,0.5833333333333334,0.578125,0.5876623376623377,0.5833333333333333,0.16666666666666663
VP003,0.6138859096135001,38,68,38,0.5694444444444444,0.5653359298928919,0.5721732157177225,0.5694444444444444,0.13888888888888884
VP004,0.6214216163583253,76,100,76,0.5972222222222222,0.5933787731256086,0.6010425020048116,0.5972222222222222,0.19444444444444442
VP005,0.6053606719367588,38,68,38,0.5833333333333334,0.5804195804195804,0.5857142857142856,0.5833333333333333,0.16666666666666663
VP006,0.6399302190346967,75,100,75,0.7361111111111112,0.7348323318472572,0.7407553107789142,0.7361111111111112,0.4722222222222222
VP007,0.6384872080088988,38,68,38,0.4722222222222222,0.36134453781512604,0.40909090909090906,0.4722222222222222,-0.05555555555555558
VP008,0.6350946695656884,81,100,81,0.7361111111111112,0.7241379310344828,0.7857142857142857,0.7361111111111112,0.4722222222222222
VP009,0.6326387536514119,6,36,6,0.5555555555555556,0.46218487394957986,0.6818181818181819,0.5555555555555556,0.11111111111111116
VP010,0.6577391304347826,57,87,57,0.5833333333333334,0.583011583011583,0.5835913312693499,0.5833333333333334,0.16666666666666663
VP011,0.6387104743083004,64,94,64,0.6388888888888888,0.6386100386100386,0.6393188854489165,0.6388888888888888,0.2777777777777778
VP012,0.5993941454669098,47,77,47,0.5555555555555556,0.46218487394957986,0.6818181818181819,0.5555555555555556,0.11111111111111116
VP013,0.6715734784760019,77,100,77,0.7777777777777778,0.7770897832817337,0.78125,0.7777777777777778,0.5555555555555556
VP014,0.6573789645540433,66,96,66,0.5972222222222222,0.5420048256196535,0.687779433681073,0.5972222222222222,0.19444444444444442
VP015,0.6164772727272727,8,38,8,0.6527777777777778,0.6521739130434783,0.6538461538461539,0.6527777777777778,0.3055555555555556
VP016,0.6685211120482207,56,86,56,0.5,0.3333333333333333,0.25,0.5,0.0
VP017,0.6192064484747412,42,72,42,0.75,0.7333333333333334,0.8333333333333333,0.75,0.5
VP018,0.5735488816110376,45,75,45,0.5972222222222222,0.5952704012405505,0.5991345397324941,0.5972222222222222,0.19444444444444442
VP019,0.6625113309728754,82,100,82,0.7222222222222222,0.722007722007722,0.7229102167182663,0.7222222222222222,0.4444444444444444
VP020,0.6666666666666666,48,78,48,0.6111111111111112,0.609907120743034,0.6125,0.6111111111111112,0.2222222222222222
VP021,0.5885714285714285,56,86,56,0.6111111111111112,0.571063829787234,0.6773399014778325,0.6111111111111112,0.2222222222222222
VP022,0.6467615949811096,73,100,73,0.4722222222222222,0.3781818181818182,0.4296875,0.47222222222222227,-0.05555555555555558
VP023,0.6885428253615128,46,76,46,0.5138888888888888,0.4851889683350358,0.5178748758689176,0.5138888888888888,0.02777777777777779
VP024,0.6199229909328035,81,100,81,0.4861111111111111,0.32710280373831774,0.24647887323943662,0.4861111111111111,-0.02777777777777768
VP025,0.6249276480802624,84,100,84,0.7222222222222222,0.7213622291021672,0.725,0.7222222222222222,0.4444444444444444
VP026,0.6251748251748253,30,60,30,0.6388888888888888,0.5847382431233363,0.7903225806451613,0.6388888888888888,0.2777777777777778
