subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6276743539872187,78,100,78,0.5462962962962963,0.460825267447784,0.626522961574508,0.5462962962962963,0.09259259259259256
VP002,0.6383419368798492,84,100,84,0.6574074074074074,0.6307862884597616,0.7212048192771084,0.6574074074074074,0.31481481481481477
VP003,0.6620543573943662,75,100,75,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
VP004,0.6255098257322951,69,99,69,0.5,0.34910714285714284,0.5,0.5,0.0
VP005,0.6545631208959921,31,61,31,0.6574074074074074,0.6571428571428571,0.6578947368421053,0.6574074074074074,0.31481481481481477
VP006,0.6306531621782205,75,100,75,0.6574074074074074,0.6266467345604037,0.7347826086956522,0.6574074074074074,0.31481481481481477
VP007,0.6268448900027848,32,62,32,0.5370370370370371,0.41073766914011345,0.7596153846153846,0.537037037037037,0.07407407407407407
VP008,0.6339789223056782,68,98,68,0.6203703703703703,0.6023349797934441,0.6470465018852116,0.6203703703703703,0.2407407407407407
VP009,0.6529598762780308,49,79,49,0.7592592592592593,0.7591766723842196,0.7596153846153846,0.7592592592592593,0.5185185185185186
VP010,0.6310246910612933,55,85,55,0.6388888888888888,0.6381132399690694,0.6400899342787962,0.6388888888888888,0.2777777777777778
VP011,0.62071862389996,75,100,75,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.6313790867833657,85,100,85,0.5092592592592593,0.3820576487099212,0.5524271844660193,0.5092592592592592,0.01851851851851849
VP013,0.6129297779302066,55,85,55,0.5648148148148148,0.49153561053791445,0.6530364372469636,0.5648148148148148,0.12962962962962965
VP014,0.6451267723877387,63,93,63,0.6296296296296297,0.6232996163236832,0.6389705882352941,0.6296296296296297,0.2592592592592593
VP015,0.6699175824175825,68,98,68,0.6203703703703703,0.6107252747252747,0.6336124857251617,0.6203703703703703,0.2407407407407407
VP016,0.6295491917718967,28,58,28,0.5,0.3333333333333333,0.25,0.5,0.0
VP017,0.6428571428571428,83,100,83,0.6851851851851852,0.6688311688311688,0.7307692307692308,0.6851851851851852,0.37037037037037035
VP018,0.6441320226261739,39,69,39,0.5555555555555556,0.4461538461538461,0.7647058823529411,0.5555555555555556,0.11111111111111116
VP019,0.6449704142011834,73,100,73,0.6851851851851852,0.6761904761904762,0.7083333333333333,0.6851851851851851,0.37037037037037035
VP020,0.6511627906976745,75,100,75,0.5555555555555556,0.4848966613672496,0.6231003039513678,0.5555555555555556,0.11111111111111116
VP021,0.6119929453262787,56,86,56,0.5925925925925926,0.5632352941176471,0.626641651031895,0.5925925925925926,0.18518518518518523
VP022,0.6115121286285201,74,100,74,0.6851851851851852,0.6715563506261181,0.7220394736842105,0.6851851851851851,0.37037037037037035
VP023,0.6518327480245829,78,100,78,0.5185185185185185,0.5047619047619047,0.5208333333333333,0.5185185185185186,0.03703703703703709
VP024,0.6036167059985731,77,100,77,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.655791421316124,75,100,75,0.5185185185185185,0.46555005709935293,0.5306818181818183,0.5185185185185185,0.03703703703703709
VP026,0.6262074903142488,70,100,70,0.6018518518518519,0.5793097200833408,0.629637712789175,0.6018518518518519,0.20370370370370372
