subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6466509622649895,13,43,13,0.7,0.7,0.7,0.7,0.4
VP002,0.6023391812865497,71,100,71,0.7,0.6827262044653349,0.7556818181818181,0.7,0.4
VP003,0.6365657126979717,15,45,15,0.6,0.5769682726204466,0.6278409090909092,0.6,0.19999999999999996
VP004,0.5819910601821404,14,44,14,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP005,0.64996499649965,36,66,36,0.4,0.34065934065934067,0.34375,0.39999999999999997,-0.19999999999999996
VP006,0.6633295925510283,30,60,30,0.7333333333333333,0.7306397306397306,0.7430555555555556,0.7333333333333334,0.4666666666666667
VP007,0.6432976630996432,80,100,80,0.6833333333333333,0.6832453459294248,0.6835372636262513,0.6833333333333333,0.3666666666666667
VP008,0.64,35,65,35,0.45,0.42290877295249196,0.4384404924760602,0.44999999999999996,-0.10000000000000009
VP009,0.6199324324324325,17,47,17,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP010,0.6666666666666666,68,98,68,0.4166666666666667,0.33523266856600187,0.3366013071895425,0.4166666666666667,-0.16666666666666674
VP011,0.6899689968996899,52,82,52,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.6065092703748166,83,100,83,0.7666666666666667,0.7569444444444444,0.8174603174603174,0.7666666666666666,0.5333333333333333
VP013,0.6352034270797309,14,44,14,0.55,0.45546218487394957,0.6636363636363636,0.55,0.09999999999999998
VP014,0.6366303296996366,19,49,19,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
VP015,0.6331866079765239,71,100,71,0.6166666666666667,0.6033342914630642,0.634788189987163,0.6166666666666667,0.23333333333333328
VP016,0.5999288762446657,37,67,37,0.6333333333333333,0.6122209165687427,0.6704545454545454,0.6333333333333333,0.2666666666666667
VP017,0.6260683760683761,17,47,17,0.48333333333333334,0.35214211076280044,0.4122807017543859,0.48333333333333334,-0.03333333333333344
VP018,0.6632397888302306,52,82,52,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.5998399359743898,48,78,48,0.8166666666666667,0.8162071846282373,0.8198653198653199,0.8166666666666667,0.6333333333333333
VP020,0.6654623310584772,19,49,19,0.7166666666666667,0.7027105800058292,0.7667578659370725,0.7166666666666667,0.43333333333333335
VP021,0.6366626295847732,43,73,43,0.5166666666666667,0.5099971838918614,0.517626321974148,0.5166666666666666,0.033333333333333326
VP022,0.6560207500751412,44,74,44,0.6666666666666666,0.6474735605170387,0.7130681818181819,0.6666666666666667,0.33333333333333337
VP023,0.6297984458205023,84,100,84,0.8,0.7997775305895439,0.8013392857142857,0.8,0.6
VP024,0.6465252767773777,48,78,48,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.6032936626996033,37,67,37,0.7333333333333333,0.7129186602870814,0.8260869565217391,0.7333333333333334,0.4666666666666667
VP026,0.5933152584559314,28,58,28,0.5,0.4791666666666667,0.5,0.5,0.0
