subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.55702409806516,9,39,9,0.60625,0.6050001959324425,0.6076119639183415,0.60625,0.21250000000000002
B62,0.5576299791662087,73,100,73,0.6,0.5936507936507937,0.6066666666666667,0.6,0.19999999999999996
B63,0.5935555099608212,39,69,39,0.56875,0.5470769230769231,0.585024154589372,0.56875,0.13749999999999996
B64,0.5508771929824561,7,37,7,0.4875,0.4368131868131868,0.48046875,0.4875,-0.02499999999999991
B65,0.5803526040093419,14,44,14,0.6,0.5527603074772885,0.6731601731601731,0.6000000000000001,0.19999999999999996
B66,0.5948763194748252,41,71,41,0.63125,0.6104164087326153,0.6669648181276089,0.6312500000000001,0.26249999999999996
B67,0.5435895431987808,9,39,9,0.64375,0.6212467295153453,0.6885632301701168,0.64375,0.2875
B68,0.5705160860535288,7,37,7,0.5,0.49614233978900957,0.5,0.5,0.0
B69,0.5671864433262777,89,100,89,0.58125,0.5792613524863612,0.582815734989648,0.58125,0.16249999999999998
B70,0.5802005012531328,18,48,18,0.55,0.4819212088505127,0.6054018445322793,0.55,0.09999999999999998
B71,0.573411463101996,51,81,51,0.58125,0.581102731429018,0.5813644187138163,0.58125,0.16249999999999998
B72,0.5445018110846698,5,35,5,0.575,0.5523370638578011,0.5940438871473355,0.575,0.15000000000000002
B73,0.5537712931091425,26,56,26,0.5,0.49359075803133406,0.5,0.5,0.0
B74,0.5512458741641442,12,42,12,0.48125,0.38606629374508805,0.4506375976964212,0.48125,-0.03750000000000009
B75,0.5600341521532248,13,43,13,0.44375,0.4248556080617149,0.4352401511063141,0.44375,-0.11250000000000004
B76,0.5578114204380382,37,67,37,0.50625,0.48143589743589743,0.5077294685990338,0.50625,0.012499999999999956
B77,0.5887723515859579,53,83,53,0.4875,0.48549019607843136,0.4873015873015873,0.48750000000000004,-0.02499999999999991
B78,0.5606961832061068,84,100,84,0.4875,0.48549019607843136,0.4873015873015873,0.48750000000000004,-0.02499999999999991
B79,0.5393248523665424,7,37,7,0.59375,0.5918207150987087,0.5955566172957478,0.59375,0.1875
B80,0.5623461373138994,81,100,81,0.50625,0.4678118816049851,0.50878927708196,0.50625,0.012499999999999956
B81,0.5921785390792278,45,75,45,0.55,0.4921530594251454,0.5918484500574053,0.5499999999999999,0.09999999999999998
