subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.5270953549781239,52,82,52,0.49,0.3869455463397043,0.4694749694749695,0.49,-0.020000000000000018
sub-002,0.527952795279528,50,80,50,0.495,0.4705250190034337,0.4938657833394675,0.495,-0.010000000000000009
sub-003,0.5426666039542827,7,37,7,0.54,0.5166036149642708,0.5496031746031746,0.54,0.07999999999999996
sub-004,0.5416887008637405,39,69,39,0.5,0.4851199670476779,0.5,0.5,0.0
sub-005,0.5484468473880504,46,76,46,0.505,0.5049876246906173,0.5050005000500051,0.505,0.010000000000000009
sub-006,0.5390712210033384,80,100,80,0.48,0.4025735294117647,0.4584717607973422,0.48,-0.040000000000000036
sub-007,0.5433560818948213,23,53,23,0.43,0.42301852414211966,0.42643968053804115,0.43000000000000005,-0.1399999999999999
sub-008,0.5400436082703062,34,64,34,0.525,0.4762810441302131,0.5398152572065615,0.525,0.050000000000000044
sub-009,0.5271959349062153,45,75,45,0.5,0.4981934965877158,0.5,0.5,0.0
sub-010,0.5477963389652099,60,90,60,0.56,0.5280995280995281,0.5822368421052632,0.5599999999999999,0.12
sub-011,0.536198413018065,61,91,61,0.55,0.48717948717948717,0.5980392156862745,0.55,0.09999999999999998
sub-012,0.5319700460829493,72,100,72,0.505,0.4994817866983493,0.5052306726645046,0.505,0.010000000000000009
sub-013,0.5299616853629667,58,88,58,0.54,0.5388471177944862,0.5404040404040404,0.54,0.07999999999999996
sub-014,0.5424587068982976,66,96,66,0.56,0.5578333835795397,0.5611995104039168,0.56,0.12
sub-015,0.521827379684066,79,100,79,0.52,0.5020230314347961,0.5233754090696587,0.52,0.040000000000000036
sub-016,0.5378960266059863,47,77,47,0.525,0.5117062013312431,0.528055212658512,0.5249999999999999,0.050000000000000044
sub-017,0.5562114264800687,51,81,51,0.545,0.544897601960441,0.5450405364828346,0.545,0.08999999999999997
sub-018,0.5228926508464404,51,81,51,0.48,0.42471512335435335,0.46751137102014295,0.48000000000000004,-0.040000000000000036
sub-019,0.5254733078735678,78,100,78,0.52,0.512987012987013,0.5212224108658743,0.52,0.040000000000000036
sub-020,0.5259198804597978,11,41,11,0.5,0.4574652777777778,0.5,0.5,0.0
sub-021,0.5264198643338089,71,100,71,0.55,0.5492788461538461,0.5503220611916264,0.55,0.09999999999999998
sub-022,0.515224358974359,61,91,61,0.495,0.39591494960973717,0.4854608897935446,0.495,-0.010000000000000009
sub-023,0.535999535999536,30,60,30,0.5829145728643216,0.5767584881486227,0.5889247311827956,0.5835353535353536,0.166860025220681
sub-024,0.5539723522996984,35,65,35,0.5,0.4975379358858406,0.5,0.5,0.0
sub-025,0.517951795179518,72,100,72,0.55,0.5224957555178268,0.564968814968815,0.55,0.09999999999999998
sub-026,0.513,73,100,73,0.5175879396984925,0.4377207440546268,0.5357471264367817,0.5157070707070707,0.0315319882388726
sub-027,0.5367957269155698,43,73,43,0.5,0.49919871794871795,0.5,0.5,0.0
sub-028,0.5433263498445284,48,78,48,0.545,0.5159445729939626,0.5592183181997632,0.545,0.08999999999999997
sub-029,0.5209624000534601,51,81,51,0.47,0.4052294916395466,0.4468462083628632,0.47000000000000003,-0.06000000000000005
sub-030,0.529811924769908,70,100,70,0.555,0.5289883834775476,0.5705942754460275,0.555,0.10999999999999999
sub-031,0.5394740954178672,66,96,66,0.53,0.53,0.53,0.53,0.06000000000000005
sub-032,0.5556760878680558,62,92,62,0.52,0.5057151683657708,0.5226142017186793,0.52,0.040000000000000036
sub-033,0.5140592186473012,15,45,15,0.51,0.49712643678160917,0.5111408199643493,0.51,0.020000000000000018
sub-034,0.544344051751712,20,50,20,0.485,0.43217839521486257,0.4761108456760631,0.485,-0.030000000000000027
sub-035,0.5308306298573786,49,79,49,0.53,0.4456893501592169,0.576608784473953,0.53,0.06000000000000005
sub-036,0.5327528262450836,19,49,19,0.52,0.5073891625615763,0.5222816399286987,0.52,0.040000000000000036
sub-037,0.5434040006911454,82,100,82,0.525,0.44727272727272727,0.5571428571428572,0.525,0.050000000000000044
sub-038,0.5303721438161539,21,51,21,0.495,0.33967506783040763,0.41539763113367173,0.495,-0.010000000000000009
sub-039,0.5384491140148201,91,100,91,0.54,0.47150735294117646,0.5830564784053156,0.54,0.07999999999999996
sub-040,0.5393423399158362,41,71,41,0.495,0.4432040574437002,0.4920369485586877,0.495,-0.010000000000000009
sub-041,0.5227531572438016,1,31,1,0.44,0.38857953925100996,0.4095840867992767,0.44,-0.1200000000000001
sub-042,0.5312833357219374,83,100,83,0.48,0.47953157842057853,0.4799277398635087,0.48,-0.040000000000000036
sub-043,0.527998111992448,33,63,33,0.515,0.38837920489296635,0.587260034904014,0.515,0.030000000000000027
sub-044,0.5347748310182128,70,100,70,0.485,0.482814892922598,0.48474214220323464,0.485,-0.030000000000000027
