subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6689113355780023,58,88,58,0.7083333333333334,0.7082770596179818,0.7084942084942085,0.7083333333333333,0.41666666666666663
VP002,0.6637617617772151,52,82,52,0.5972222222222222,0.5734422880490296,0.625124131082423,0.5972222222222222,0.19444444444444442
VP003,0.6832453459294248,78,100,78,0.5277777777777778,0.4791489361702128,0.5443349753694582,0.5277777777777778,0.05555555555555558
VP004,0.671400724032303,45,75,45,0.5416666666666666,0.5372930866601753,0.5433039294306334,0.5416666666666666,0.08333333333333337
VP005,0.6930803571428572,58,88,58,0.5972222222222222,0.5875962867864902,0.6072340425531915,0.5972222222222222,0.19444444444444442
VP006,0.693981638898334,87,100,87,0.625,0.6190476190476191,0.6333333333333333,0.625,0.25
VP007,0.6634500235646792,57,87,57,0.5277777777777778,0.42857142857142855,0.5909090909090908,0.5277777777777778,0.05555555555555558
VP008,0.660734149054505,39,69,39,0.8055555555555556,0.8017309205350118,0.8311036789297659,0.8055555555555556,0.6111111111111112
VP009,0.660061919504644,66,96,66,0.6111111111111112,0.5785953177257526,0.6607142857142857,0.611111111111111,0.2222222222222222
VP010,0.6722121053118923,46,76,46,0.5694444444444444,0.5693613737217827,0.5694980694980695,0.5694444444444444,0.13888888888888884
VP011,0.6527536634488507,85,100,85,0.5972222222222222,0.5875962867864902,0.6072340425531915,0.5972222222222222,0.19444444444444442
VP012,0.6827694728560189,58,88,58,0.7361111111111112,0.7205311542390194,0.8038728897715988,0.7361111111111112,0.4722222222222222
VP013,0.6883748859480157,58,88,58,0.75,0.7450826121164438,0.7709030100334449,0.75,0.5
VP014,0.6742736503468383,64,94,64,0.7777777777777778,0.7690457097032879,0.8272727272727273,0.7777777777777778,0.5555555555555556
VP015,0.6859148078660273,66,96,66,0.6944444444444444,0.6934984520123839,0.696875,0.6944444444444444,0.38888888888888884
VP016,0.6622601279317697,66,96,66,0.5277777777777778,0.4115384615384616,0.6323529411764706,0.5277777777777778,0.05555555555555558
VP017,0.6744347826086956,76,100,76,0.6666666666666666,0.6643356643356644,0.6714285714285715,0.6666666666666667,0.33333333333333337
VP018,0.6440489432703003,66,96,66,0.6388888888888888,0.6363636363636364,0.6428571428571428,0.6388888888888888,0.2777777777777778
VP019,0.6823529411764706,84,100,84,0.8472222222222222,0.8464818763326225,0.8540519276160503,0.8472222222222222,0.6944444444444444
VP020,0.6666563782832804,76,100,76,0.7777777777777778,0.7776061776061776,0.7786377708978328,0.7777777777777778,0.5555555555555556
VP021,0.5944444444444444,59,89,59,0.6527777777777778,0.6521739130434783,0.6538461538461539,0.6527777777777778,0.3055555555555556
VP022,0.6787485159578183,66,96,66,0.4861111111111111,0.4738297452103496,0.48468085106382974,0.48611111111111105,-0.02777777777777768
VP023,0.6972198859559102,57,87,57,0.5416666666666666,0.4529127331337785,0.6186813186813187,0.5416666666666666,0.08333333333333337
VP024,0.6631377067689523,55,85,55,0.5277777777777778,0.45696539485359355,0.5580645161290323,0.5277777777777778,0.05555555555555558
VP025,0.6598407633445894,58,88,58,0.7638888888888888,0.7627447179685987,0.7690794649881982,0.7638888888888888,0.5277777777777778
VP026,0.6938396833250866,63,93,63,0.7083333333333334,0.7037037037037037,0.7222222222222222,0.7083333333333334,0.41666666666666663
