subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.679144385026738,70,100,70,0.6851851851851852,0.6842105263157894,0.6875,0.6851851851851851,0.37037037037037035
VP002,0.6685082872928176,74,100,74,0.6851851851851852,0.6625,0.7532833020637899,0.6851851851851851,0.37037037037037035
VP003,0.6444249341527656,87,100,87,0.7592592592592593,0.7585139318885449,0.7625,0.7592592592592593,0.5185185185185186
VP004,0.6851463143597976,62,92,62,0.5740740740740741,0.5478704040771751,0.5964285714285715,0.5740740740740741,0.14814814814814814
VP005,0.6625000000000001,81,100,81,0.8240740740740741,0.8236961938310852,0.8268765133171913,0.8240740740740741,0.6481481481481481
VP006,0.6961921097770154,51,81,51,0.6851851851851852,0.6761904761904762,0.7083333333333333,0.6851851851851851,0.37037037037037035
VP007,0.6849734389370083,76,100,76,0.5185185185185185,0.3732142857142857,0.7547169811320755,0.5185185185185185,0.03703703703703709
VP008,0.6254120879120879,68,98,68,0.7777777777777778,0.776551724137931,0.7840112201963534,0.7777777777777778,0.5555555555555556
VP009,0.6793118007902208,87,100,87,0.7685185185185185,0.7626373626373626,0.798058622002284,0.7685185185185186,0.537037037037037
VP010,0.6922506488691138,84,100,84,0.5370370370370371,0.53125,0.538961038961039,0.537037037037037,0.07407407407407407
VP011,0.6628889742604687,80,100,80,0.5555555555555556,0.46710526315789475,0.6653061224489796,0.5555555555555556,0.11111111111111116
VP012,0.671969111969112,82,100,82,0.49074074074074076,0.37176097303014277,0.4618104667609618,0.49074074074074076,-0.0185185185185186
VP013,0.6796021606790705,71,100,71,0.5925925925925926,0.52,0.734375,0.5925925925925926,0.18518518518518523
VP014,0.6366332962550982,80,100,80,0.7685185185185185,0.7626373626373626,0.798058622002284,0.7685185185185186,0.537037037037037
VP015,0.7166656950126715,69,99,69,0.5277777777777778,0.4791489361702128,0.5443349753694582,0.5277777777777778,0.05555555555555558
VP016,0.7054333245276676,87,100,87,0.49074074074074076,0.35873906941595596,0.4475728155339806,0.4907407407407407,-0.0185185185185186
VP017,0.6833061819428964,53,83,53,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
VP018,0.696092023445114,83,100,83,0.5185185185185185,0.39999999999999997,0.588235294117647,0.5185185185185185,0.03703703703703709
VP019,0.6573122163563954,62,92,62,0.7222222222222222,0.7218406593406593,0.723448275862069,0.7222222222222223,0.4444444444444444
VP020,0.662944468832309,53,83,53,0.5555555555555556,0.46710526315789475,0.6653061224489796,0.5555555555555556,0.11111111111111116
VP021,0.6370320580529225,70,100,70,0.6296296296296297,0.6029411764705883,0.6772983114446529,0.6296296296296295,0.2592592592592593
VP022,0.6796285309620402,81,100,81,0.7037037037037037,0.7027863777089783,0.70625,0.7037037037037037,0.40740740740740744
VP023,0.6814814814814815,62,92,62,0.5277777777777778,0.4053762280038864,0.6572815533980583,0.5277777777777778,0.05555555555555558
VP024,0.6358908571606403,29,59,29,0.5,0.46397058823529413,0.5,0.5,0.0
VP025,0.6977739931808583,65,95,65,0.6851851851851852,0.6625,0.7532833020637899,0.6851851851851851,0.37037037037037035
VP026,0.6573122163563954,87,100,87,0.6481481481481481,0.6451054998270495,0.6534090909090908,0.6481481481481481,0.2962962962962963
