subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6179453952366057,24,54,24,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP002,0.622994027958496,41,71,41,0.5,0.4994438264738599,0.5,0.5,0.0
VP003,0.6065092703748166,31,61,31,0.5333333333333333,0.5248868778280543,0.5358851674641147,0.5333333333333333,0.06666666666666665
VP004,0.6096486838154338,6,36,6,0.5166666666666667,0.4334093129273852,0.5404312668463611,0.5166666666666667,0.033333333333333326
VP005,0.6330724070450098,64,94,64,0.5333333333333333,0.475,0.56,0.5333333333333333,0.06666666666666665
VP006,0.62640099626401,46,76,46,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP007,0.6320085641643249,79,100,79,0.6833333333333333,0.6789636722050126,0.6938895417156287,0.6833333333333333,0.3666666666666667
VP008,0.5982142857142857,61,91,61,0.55,0.47248453272549656,0.6212938005390836,0.55,0.09999999999999998
VP009,0.6443907675791734,54,84,54,0.5833333333333334,0.511559752523608,0.7021563342318059,0.5833333333333334,0.16666666666666663
VP010,0.6529477196885428,63,93,63,0.48333333333333334,0.4653636102328256,0.4807445442875481,0.4833333333333333,-0.03333333333333344
VP011,0.6372020479435798,41,71,41,0.5,0.38440492476060195,0.5,0.5,0.0
VP012,0.6299958888432093,70,100,70,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
VP013,0.6626999588115461,48,78,48,0.6666666666666666,0.6336996336996337,0.7604166666666666,0.6666666666666666,0.33333333333333337
VP014,0.6596218020022246,59,89,59,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
VP015,0.6361775275648371,57,87,57,0.48333333333333334,0.48203842940685043,0.48316498316498313,0.48333333333333334,-0.03333333333333344
VP016,0.6309715512614064,58,88,58,0.6166666666666667,0.6165601555987774,0.6167964404894327,0.6166666666666667,0.23333333333333328
VP017,0.6633295925510283,53,83,53,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP018,0.6332394934891599,43,73,43,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP019,0.6161506024766631,55,85,55,0.65,0.6327601282424948,0.6846785225718194,0.65,0.30000000000000004
VP020,0.6260683760683761,36,66,36,0.7833333333333333,0.783273131425396,0.7836484983314794,0.7833333333333334,0.5666666666666667
VP021,0.5999288762446657,49,79,49,0.5166666666666667,0.48444444444444446,0.5222222222222221,0.5166666666666667,0.033333333333333326
VP022,0.6065092703748166,73,100,73,0.65,0.6451703745423825,0.6586368977673325,0.65,0.30000000000000004
VP023,0.6397438178260095,55,85,55,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP024,0.6729699666295884,39,69,39,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP025,0.6253178107854944,81,100,81,0.6666666666666666,0.6411483253588517,0.7329192546583851,0.6666666666666667,0.33333333333333337
VP026,0.6389730789802104,27,57,27,0.7166666666666667,0.7165879410947485,0.7169076751946608,0.7166666666666666,0.43333333333333335
