subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.5951929158760279,69,99,69,0.7875,0.7872007510561727,0.7891263356379636,0.7875,0.575
B62,0.5999843743896246,50,80,50,0.5375,0.5268542199488491,0.5412087912087913,0.5375,0.07499999999999996
B63,0.6342464147551874,76,100,76,0.5375,0.5375,0.5375,0.5375,0.07499999999999996
B64,0.6142651339193838,53,83,53,0.48125,0.46101708673241615,0.47793712079426365,0.48125,-0.03750000000000009
B65,0.5726769567907726,11,41,11,0.55625,0.5411769457570984,0.5647598488936859,0.55625,0.11250000000000004
B66,0.6108225330236716,71,100,71,0.625,0.6212121212121212,0.6302083333333333,0.625,0.25
B67,0.6045706861646141,71,100,71,0.6375,0.6354494028912634,0.6406649616368286,0.6375,0.275
B68,0.5629575042986981,31,61,31,0.525,0.5238095238095238,0.5252525252525253,0.5249999999999999,0.050000000000000044
B69,0.5929263087581256,53,83,53,0.6625,0.6624472573839661,0.6626016260162602,0.6625000000000001,0.32499999999999996
B70,0.6124848626899488,64,94,64,0.5625,0.5442708333333333,0.5744047619047619,0.5625,0.125
B71,0.5968395659774786,43,73,43,0.5375,0.5339316643048339,0.5386847195357833,0.5375,0.07499999999999996
B72,0.577195987276731,69,99,69,0.6,0.5567099567099567,0.6641025641025642,0.6,0.19999999999999996
B73,0.5857665882651777,53,83,53,0.6625,0.64,0.7166666666666666,0.6625,0.32499999999999996
B74,0.5873992673992674,55,85,55,0.5875,0.5858823529411765,0.5888888888888888,0.5875,0.17500000000000004
B75,0.5840459738660464,86,100,86,0.50625,0.4917775722729283,0.5070534297302063,0.5062500000000001,0.012499999999999956
B76,0.565281130581808,69,99,69,0.48125,0.4682682682682683,0.4792207792207792,0.48124999999999996,-0.03750000000000009
B77,0.6086258854839341,83,100,83,0.5375,0.5206477732793522,0.5436363636363637,0.5375,0.07499999999999996
B78,0.5970908627713232,29,59,29,0.51875,0.5172224616952075,0.518990346573825,0.51875,0.03749999999999998
B79,0.5765614662145171,38,68,38,0.6375,0.6372732958098812,0.6378446115288221,0.6375,0.275
B80,0.5864363303103939,49,79,49,0.58125,0.5670261319116281,0.5935420039575463,0.58125,0.16249999999999998
B81,0.6013435114503817,39,69,39,0.45625,0.3637734814205402,0.39548338932437477,0.45625,-0.08749999999999991
