subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.6044287951802403,92,100,92,0.535,0.5276190476190477,0.5373333333333333,0.535,0.06999999999999995
sub-002,0.5960992294604321,77,100,77,0.695,0.6948092557848655,0.6954887218045113,0.6950000000000001,0.39
sub-003,0.6064975406096288,82,100,82,0.715,0.714935860568628,0.7151936743068762,0.715,0.43000000000000005
sub-004,0.5954757365545748,65,95,65,0.545,0.5389019786678828,0.5475134621476085,0.545,0.08999999999999997
sub-005,0.617961796179618,74,100,74,0.615,0.6067315304272325,0.6255595589038105,0.615,0.22999999999999998
sub-006,0.6012270169448422,67,97,67,0.545,0.536553691018818,0.54853845324129,0.545,0.08999999999999997
sub-007,0.6195844738271107,49,79,49,0.535,0.5335891070488227,0.5354286871140803,0.5349999999999999,0.06999999999999995
sub-008,0.607872950836071,89,100,89,0.785,0.7847363019699132,0.7864033765450709,0.7849999999999999,0.5700000000000001
sub-009,0.6068106020712656,60,90,60,0.595,0.5949898747468687,0.595009500950095,0.595,0.18999999999999995
sub-010,0.6139965259687337,91,100,91,0.65,0.64996499649965,0.6500600240096038,0.65,0.30000000000000004
sub-011,0.6044777518735429,68,98,68,0.73,0.7297567811029927,0.7308309915696507,0.73,0.45999999999999996
sub-012,0.6004530201846328,78,100,78,0.51,0.5059985885673959,0.510334849111203,0.51,0.020000000000000018
sub-013,0.5906790924084482,83,100,83,0.55,0.5434253246753247,0.5530560271646858,0.55,0.09999999999999998
sub-014,0.607872950836071,86,100,86,0.55,0.5349317899958661,0.5574448529411764,0.55,0.09999999999999998
sub-015,0.6094061598298992,61,91,61,0.55,0.5483741469289443,0.5507305194805194,0.55,0.09999999999999998
sub-016,0.617457824725176,80,100,80,0.615,0.5882242840717666,0.6554264089741857,0.615,0.22999999999999998
sub-017,0.6045318834848288,51,81,51,0.625,0.6215848028456823,0.6296815022305218,0.625,0.25
