subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7166832570664097,29,59,29,0.93125,0.9312473143482167,0.9313173933427098,0.93125,0.8625
B62,0.7452621245900679,10,40,10,0.93125,0.9312473143482167,0.9313173933427098,0.93125,0.8625
B63,0.7453118782028276,27,57,27,0.79375,0.7935483870967742,0.7949019607843137,0.79375,0.5875
B64,0.7342478334359215,20,50,20,0.51875,0.5187312004375171,0.5187529301453352,0.51875,0.03749999999999998
B65,0.6951450381679389,77,100,77,0.86875,0.8687038411941699,0.8692692849319354,0.8687499999999999,0.7375
B66,0.7389190839694657,13,43,13,0.59375,0.5866290393099884,0.6006880349051854,0.59375,0.1875
B67,0.7296076233457638,55,85,55,0.55,0.548235294117647,0.5507936507936508,0.55,0.09999999999999998
B68,0.7405844663228629,14,44,14,0.55,0.5474544311753614,0.551150895140665,0.55,0.09999999999999998
B69,0.7511828351366221,12,42,12,0.91875,0.9187468260478925,0.9188154399124864,0.91875,0.8375
B70,0.7499389499389499,39,69,39,0.59375,0.5799507249888929,0.6079330814894766,0.59375,0.1875
B71,0.770298480131844,16,46,16,0.5375,0.5356862745098039,0.5380952380952381,0.5375,0.07499999999999996
B72,0.721603128054741,56,86,56,0.54375,0.53722413724791,0.5463652922669315,0.54375,0.08750000000000002
B73,0.7340607553847809,61,91,61,0.93125,0.9311827956989247,0.9329411764705882,0.93125,0.8625
B74,0.7421365064868786,45,75,45,0.85625,0.8561994451174242,0.8567516820528869,0.85625,0.7125
B75,0.7452820283676513,18,48,18,0.74375,0.7436598804267125,0.7440932561414489,0.7437499999999999,0.48750000000000004
B76,0.7296076233457638,11,41,11,0.95,0.9499295884838053,0.9525455688246386,0.95,0.9
B77,0.7385256349095677,65,95,65,0.46875,0.4575405847393403,0.4659342531084994,0.46875,-0.0625
B78,0.6951867347611685,56,86,56,0.81875,0.8166804946465963,0.8338242513500245,0.8187500000000001,0.6375
B79,0.7171039296276487,63,93,63,0.96875,0.9687487792491895,0.9688232536333802,0.96875,0.9375
B80,0.7388323204777648,58,88,58,0.58125,0.5799208432932325,0.5822915018199082,0.58125,0.16249999999999998
B81,0.7483877426932573,45,75,45,0.6875,0.6862745098039216,0.6904761904761905,0.6875,0.375
