subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.49930324571129175,90,100,90,0.5833333333333334,0.5726401310494103,0.6060368552960692,0.5833333333333334,0.375
sub-002,0.49180814412853496,75,100,75,0.6233333333333333,0.6243848703133115,0.6530597364203653,0.6233333333333334,0.43500000000000005
sub-003,0.5158079610276024,27,57,27,0.35,0.345054273933257,0.3580863580863581,0.35000000000000003,0.025000000000000022
sub-004,0.5111535466873669,64,94,64,0.5,0.49245832811129214,0.5161257606490873,0.5,0.25
sub-005,0.511741938844611,21,51,21,0.38,0.3786122877870787,0.3797350394446583,0.37999999999999995,0.06999999999999995
sub-006,0.5078077555289352,79,100,79,0.39,0.38445388885843396,0.38646189069235,0.38999999999999996,0.08499999999999996
sub-007,0.46840998271379614,33,63,33,0.4866666666666667,0.48468060201991436,0.48876992728047813,0.48666666666666664,0.22999999999999998
sub-008,0.4983199089530908,53,83,53,0.61,0.6095467375645048,0.611207091877195,0.61,0.41500000000000004
sub-009,0.5289044706425814,48,78,48,0.32,0.31526346747899386,0.32624075559119664,0.32,-0.020000000000000018
sub-010,0.5299742238594969,51,81,51,0.4280936454849498,0.42171637691833536,0.4497337355984368,0.4282828282828283,0.14237549692201878
sub-011,0.4935822891372787,54,84,54,0.6866666666666666,0.68363350687116,0.6850921615072559,0.6866666666666666,0.53
