subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8499953702274762,28,58,28,0.5972222222222222,0.5670744349989634,0.6347593582887701,0.5972222222222222,0.19444444444444442
VP002,0.8721590909090908,59,89,59,0.6527777777777778,0.6410767696909272,0.6756876663708962,0.6527777777777778,0.3055555555555556
VP003,0.8444396431988641,18,48,18,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP004,0.8333333333333334,60,90,60,0.8194444444444444,0.8194096083349411,0.8196911196911197,0.8194444444444444,0.6388888888888888
VP005,0.8638794360719495,45,75,45,0.6944444444444444,0.674074074074074,0.7592592592592593,0.6944444444444444,0.38888888888888884
VP006,0.8472116119174943,35,65,35,0.8333333333333334,0.8332046332046332,0.8343653250773994,0.8333333333333334,0.6666666666666667
VP007,0.8444252376836646,25,55,25,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7222222222222222
VP008,0.838868996172367,31,61,31,0.9027777777777778,0.9018500486854917,0.9186046511627908,0.9027777777777778,0.8055555555555556
VP009,0.8499814791949623,34,64,34,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP010,0.858332240217903,43,73,43,0.8611111111111112,0.8610038610038611,0.8622291021671826,0.8611111111111112,0.7222222222222222
VP011,0.8388092885375493,57,87,57,0.7083333333333334,0.7037037037037037,0.7222222222222222,0.7083333333333334,0.41666666666666663
VP012,0.8388092885375493,17,47,17,0.9166666666666666,0.916083916083916,0.9285714285714286,0.9166666666666667,0.8333333333333334
VP013,0.847192745514181,37,67,37,0.9027777777777778,0.9027590198726606,0.9030888030888031,0.9027777777777777,0.8055555555555556
VP014,0.8638626278217248,30,60,30,0.9583333333333334,0.9582608695652174,0.9615384615384616,0.9583333333333333,0.9166666666666666
VP015,0.8222222222222222,49,79,49,0.8472222222222222,0.8469565217391304,0.8496503496503496,0.8472222222222222,0.6944444444444444
VP016,0.838868996172367,30,60,30,0.9583333333333334,0.9583252942311402,0.9586872586872587,0.9583333333333333,0.9166666666666666
VP017,0.8610725201444845,56,86,56,0.8194444444444444,0.8185694902112812,0.8257277734067663,0.8194444444444444,0.6388888888888888
VP018,0.8194096083349411,61,91,61,0.8611111111111112,0.8610038610038611,0.8622291021671826,0.8611111111111112,0.7222222222222222
VP019,0.8666666666666667,47,77,47,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP020,0.8832756916996047,51,81,51,0.7777777777777778,0.7776061776061776,0.7786377708978328,0.7777777777777778,0.5555555555555556
VP021,0.8583060003858769,13,43,13,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP022,0.8554841897233202,41,71,41,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP023,0.838868996172367,23,53,23,0.8055555555555556,0.8054054054054054,0.8065015479876161,0.8055555555555556,0.6111111111111112
VP024,0.8416654449494209,54,84,54,0.8333333333333334,0.83125,0.8506493506493507,0.8333333333333333,0.6666666666666667
VP025,0.8411260539335238,64,94,64,0.9861111111111112,0.9861084314103801,0.9864864864864865,0.9861111111111112,0.9722222222222222
VP026,0.8693224383876923,21,51,21,0.8194444444444444,0.8133599202392822,0.8673469387755102,0.8194444444444444,0.6388888888888888
