subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8682795606570218,32,62,32,0.5462962962962963,0.5284683239775461,0.5545454545454546,0.5462962962962963,0.09259259259259256
VP002,0.8572972972972973,42,72,42,0.6944444444444444,0.6942084942084943,0.695046439628483,0.6944444444444444,0.38888888888888884
VP003,0.837037037037037,21,51,21,0.8703703703703703,0.8699690402476781,0.875,0.8703703703703703,0.7407407407407407
VP004,0.8388618114840971,48,78,48,0.5648148148148148,0.5537582417582417,0.571945184621241,0.5648148148148148,0.12962962962962965
VP005,0.8685180676202593,51,81,51,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP006,0.8481398156277435,46,76,46,0.8425925925925926,0.8414918414918415,0.8523809523809524,0.8425925925925926,0.6851851851851851
VP007,0.8610725201444845,33,63,33,0.8888888888888888,0.8887362637362637,0.8910344827586207,0.8888888888888888,0.7777777777777778
VP008,0.8295922287470501,27,57,27,0.9166666666666666,0.9166023166023166,0.9179566563467492,0.9166666666666666,0.8333333333333334
VP009,0.8481398156277435,32,62,32,0.8981481481481481,0.8981394152447912,0.8982847341337907,0.8981481481481481,0.7962962962962963
VP010,0.8499871388150562,43,73,43,0.8148148148148148,0.8125,0.8311688311688312,0.8148148148148149,0.6296296296296297
VP011,0.855547629499561,49,79,49,0.7407407407407407,0.7375,0.7532467532467533,0.7407407407407407,0.4814814814814815
VP012,0.827777187164565,21,51,21,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8148148148148149
VP013,0.8499994855949438,32,62,32,0.8425925925925926,0.8414918414918415,0.8523809523809524,0.8425925925925926,0.6851851851851851
VP014,0.8332967455134186,51,81,51,0.9074074074074074,0.9071207430340558,0.9125000000000001,0.9074074074074074,0.8148148148148149
VP015,0.8573677873483375,44,74,44,0.8333333333333334,0.8331043956043955,0.8351724137931034,0.8333333333333333,0.6666666666666667
VP016,0.8480147179965951,68,98,68,0.8888888888888888,0.8888507718696398,0.8894230769230769,0.8888888888888888,0.7777777777777778
VP017,0.8481293986911964,44,74,44,0.9074074074074074,0.9073756432246998,0.9079670329670331,0.9074074074074074,0.8148148148148149
VP018,0.8444423105941097,38,68,38,0.7777777777777778,0.7774725274725275,0.7793103448275862,0.7777777777777777,0.5555555555555556
VP019,0.8462957691898806,25,55,25,0.8981481481481481,0.8977184674989238,0.9049529124520405,0.8981481481481481,0.7962962962962963
VP020,0.8369274272144513,56,86,56,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.7037037037037037
VP021,0.8314809035696282,31,61,31,0.8240740740740741,0.823331898407232,0.8296128357167771,0.8240740740740741,0.6481481481481481
VP022,0.8239382239382239,23,53,23,0.8425925925925926,0.8425790962874047,0.8427101200686107,0.8425925925925926,0.6851851851851851
VP023,0.8555535741231017,32,62,32,0.8981481481481481,0.8980694980694981,0.8993808049535603,0.8981481481481481,0.7962962962962963
VP024,0.8332212323784163,82,100,82,0.7777777777777778,0.7698863636363636,0.8219395866454691,0.7777777777777777,0.5555555555555556
VP025,0.8351800981511774,53,83,53,0.9537037037037037,0.9536042615344962,0.9576271186440678,0.9537037037037037,0.9074074074074074
VP026,0.8554841897233202,31,61,31,0.8055555555555556,0.8051378984448836,0.8081978554133518,0.8055555555555556,0.6111111111111112
