subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7266545179785768,36,66,36,0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999,0.30000000000000004
VP002,0.7233302592251025,12,42,12,0.7166666666666667,0.7165879410947485,0.7169076751946608,0.7166666666666666,0.43333333333333335
VP003,0.7399537695590328,32,62,32,0.6166666666666667,0.6165601555987774,0.6167964404894327,0.6166666666666667,0.23333333333333328
VP004,0.6633295925510283,7,37,7,0.5666666666666667,0.5661846496106786,0.5669642857142857,0.5666666666666667,0.1333333333333333
VP005,0.6989160979526294,37,67,37,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP006,0.6861645299145299,24,54,24,0.8166666666666667,0.8162071846282373,0.8198653198653199,0.8166666666666667,0.6333333333333333
VP007,0.6966632962588473,14,44,14,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP008,0.72997299729973,52,82,52,0.6833333333333333,0.6832453459294248,0.6835372636262513,0.6833333333333333,0.3666666666666667
VP009,0.6566628518094646,67,97,67,0.6666666666666666,0.6632996632996633,0.6736111111111112,0.6666666666666667,0.33333333333333337
VP010,0.699786514855008,45,75,45,0.6333333333333333,0.6316964285714286,0.6357466063348416,0.6333333333333333,0.2666666666666667
VP011,0.6898311302820425,25,55,25,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
VP012,0.64793061438902,56,86,56,0.6166666666666667,0.6113770768797522,0.6233842538190364,0.6166666666666667,0.23333333333333328
VP013,0.6855345911949685,30,60,30,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
VP014,0.6966363302996966,35,65,35,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.5333333333333333
VP015,0.6762313777411854,47,77,47,0.5833333333333334,0.5775837792171219,0.5881316098707403,0.5833333333333333,0.16666666666666663
VP016,0.6895826611333014,15,45,15,0.85,0.849624060150376,0.8535353535353536,0.8500000000000001,0.7
VP017,0.6793015901296156,81,100,81,0.7166666666666667,0.7159565580618212,0.7188552188552189,0.7166666666666667,0.43333333333333335
VP018,0.7159565580618212,42,72,42,0.6166666666666667,0.5977849023608277,0.6436388508891929,0.6166666666666667,0.23333333333333328
VP019,0.7097387648883995,17,47,17,0.7,0.6986607142857143,0.7036199095022624,0.7,0.4
VP020,0.7233302592251025,13,43,13,0.6833333333333333,0.6811188811188811,0.6885714285714286,0.6833333333333333,0.3666666666666667
VP021,0.7094544199663814,58,88,58,0.8166666666666667,0.8166157265907197,0.8170189098998888,0.8166666666666667,0.6333333333333333
VP022,0.7033300370004111,52,82,52,0.75,0.7465502675302731,0.7643948296122209,0.75,0.5
VP023,0.72,12,42,12,0.6,0.5885714285714285,0.6125,0.6000000000000001,0.19999999999999996
VP024,0.6899965555172836,88,100,88,0.6166666666666667,0.613986013986014,0.62,0.6166666666666667,0.23333333333333328
VP025,0.7397107897664071,39,69,39,0.65,0.6475524475524476,0.6542857142857144,0.6499999999999999,0.30000000000000004
VP026,0.6750745318728436,59,89,59,0.7666666666666667,0.7624434389140271,0.7870813397129186,0.7666666666666666,0.5333333333333333
