subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.715625,69,99,69,0.875,0.8748239712095134,0.8771213073538655,0.875,0.75
B62,0.7542501180078802,67,97,67,0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999,0.30000000000000004
B63,0.732806629051908,64,94,64,0.65,0.65,0.65,0.65,0.30000000000000004
B64,0.734000938820216,36,66,36,0.68125,0.6766908356115535,0.6920847822487167,0.68125,0.36250000000000004
B65,0.762462884825754,63,93,63,0.81875,0.8184024108645453,0.8212092583845063,0.8187500000000001,0.6375
B66,0.7546869010910671,77,100,77,0.74375,0.7425330664468778,0.7484472049689441,0.74375,0.48750000000000004
B67,0.7296815603858483,77,100,77,0.875,0.8749218261413383,0.8759398496240601,0.875,0.75
B68,0.7390312805975324,79,100,79,0.68125,0.678423645320197,0.6878542510121457,0.68125,0.36250000000000004
B69,0.7062385249423806,33,63,33,0.725,0.7234443746071653,0.7301790281329923,0.7250000000000001,0.44999999999999996
B70,0.7078117866498698,71,100,71,0.725,0.7248280175109443,0.7255639097744361,0.725,0.44999999999999996
B71,0.7390618629440013,73,100,73,0.7625,0.762462884825754,0.7626641651031896,0.7625,0.525
B72,0.7324669800596962,44,74,44,0.825,0.8247535596933188,0.8268384663733501,0.825,0.65
B73,0.7311843711843712,69,99,69,0.71875,0.7105062120541996,0.746870040557221,0.71875,0.4375
B74,0.7296076233457638,73,100,73,0.60625,0.6017541780253645,0.6112747504500082,0.60625,0.21250000000000002
B75,0.7515327761377704,24,54,24,0.725,0.7243107769423559,0.7272727272727273,0.7250000000000001,0.44999999999999996
B76,0.7468651119184343,60,90,60,0.68125,0.6802382538500725,0.6835733502136414,0.68125,0.36250000000000004
B77,0.71875,52,82,52,0.78125,0.781241454744326,0.7812939521800282,0.78125,0.5625
B78,0.759375,68,98,68,0.5625,0.5622263914946841,0.56265664160401,0.5625,0.125
B79,0.7062241798595579,60,90,60,0.875,0.875,0.875,0.875,0.75
B80,0.7450878337597345,69,99,69,0.6875,0.6874511642444132,0.6876172607879925,0.6875,0.375
B81,0.7402597402597403,75,100,75,0.8125,0.8123827392120075,0.8132832080200502,0.8125,0.625
