subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.7080071778456762,69,99,69,0.7233333333333334,0.7236434587485482,0.7264415163722088,0.7233333333333333,0.585
sub-002,0.6926757223213871,38,68,38,0.91,0.9103657181970471,0.9116216317405303,0.91,0.865
sub-003,0.734469057274009,48,78,48,0.6866666666666666,0.6865659175697415,0.6893048261964191,0.6866666666666666,0.5299999999999999
sub-004,0.7260868956728252,74,100,74,0.6966666666666667,0.6952977594241171,0.6955512706337789,0.6966666666666667,0.5449999999999999
sub-005,0.7285069279422429,49,79,49,0.6333333333333333,0.6295580695818465,0.6304609563123496,0.6333333333333333,0.44999999999999996
sub-006,0.7461729804908585,32,62,32,0.5666666666666667,0.5659805371749594,0.6148336925222924,0.5666666666666668,0.35
sub-007,0.7057202483113723,66,96,66,0.7766666666666666,0.776916024935827,0.7772642390289448,0.7766666666666667,0.665
sub-008,0.7064268267617325,53,83,53,0.66,0.6460091156023016,0.6596312985481932,0.6599999999999999,0.49
sub-009,0.714435981848904,67,97,67,0.7666666666666667,0.7672695744964653,0.7682799145299146,0.7666666666666666,0.65
sub-010,0.7226260826902365,71,100,71,0.6254180602006689,0.6270843065999882,0.6287089925139678,0.6257575757575758,0.4380830928250218
sub-011,0.7998982944766078,36,66,36,0.37333333333333335,0.3723131854247314,0.37508753501400555,0.37333333333333335,0.06000000000000005
