subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8301768604372404,49,79,49,0.9305555555555556,0.9302190346966466,0.9390243902439024,0.9305555555555556,0.8611111111111112
VP002,0.8636521739130434,70,100,70,0.7222222222222222,0.6989966555183946,0.8214285714285714,0.7222222222222222,0.4444444444444444
VP003,0.8442088343482427,54,84,54,0.7222222222222222,0.7037037037037037,0.7962962962962963,0.7222222222222222,0.4444444444444444
VP004,0.8524487475930123,63,93,63,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
VP005,0.8663324979114453,53,83,53,0.7083333333333334,0.7013628283626308,0.7297872340425532,0.7083333333333334,0.41666666666666663
VP006,0.8468807758040693,53,83,53,0.75,0.7333333333333334,0.8333333333333333,0.75,0.5
VP007,0.8609566184649611,56,86,56,0.8194444444444444,0.8191304347826087,0.8216783216783217,0.8194444444444444,0.6388888888888888
VP008,0.852640196479738,53,83,53,0.9166666666666666,0.9164086687306501,0.921875,0.9166666666666667,0.8333333333333334
VP009,0.852685706344243,91,100,91,0.7777777777777778,0.7714285714285714,0.8125,0.7777777777777778,0.5555555555555556
VP010,0.8611111111111112,52,82,52,0.6388888888888888,0.59375,0.75,0.6388888888888888,0.2777777777777778
VP011,0.880443932992995,71,100,71,0.7222222222222222,0.7167584579071598,0.7408026755852843,0.7222222222222223,0.4444444444444444
VP012,0.8360491235112041,71,100,71,0.9444444444444444,0.9444015444015443,0.9458204334365325,0.9444444444444444,0.8888888888888888
VP013,0.8355515295101387,43,73,43,0.9027777777777778,0.9018500486854917,0.9186046511627908,0.9027777777777778,0.8055555555555556
VP014,0.8440545808966862,96,100,96,0.7083333333333334,0.6812144212523719,0.8157894736842105,0.7083333333333334,0.41666666666666663
VP015,0.8387644787644788,71,100,71,0.6666666666666666,0.6444444444444444,0.7222222222222223,0.6666666666666666,0.33333333333333337
VP016,0.8442714126807565,78,100,78,0.7222222222222222,0.7113071371291099,0.7618181818181818,0.7222222222222222,0.4444444444444444
VP017,0.8666296193387052,54,84,54,0.7638888888888888,0.7499489274770174,0.8396226415094339,0.7638888888888888,0.5277777777777778
VP018,0.8384851016429964,57,87,57,0.8333333333333334,0.8300550747442959,0.8612040133779264,0.8333333333333333,0.6666666666666667
VP019,0.8606811145510835,66,96,66,0.8194444444444444,0.8151293699387715,0.8523404255319149,0.8194444444444444,0.6388888888888888
VP020,0.8803995951510843,77,100,77,0.7361111111111112,0.7163591125855276,0.8272727272727273,0.7361111111111112,0.4722222222222222
VP021,0.8412243982079712,67,97,67,0.7916666666666666,0.7822141560798548,0.8529411764705883,0.7916666666666667,0.5833333333333333
VP022,0.8609007449537882,72,100,72,0.7083333333333334,0.7013628283626308,0.7297872340425532,0.7083333333333334,0.41666666666666663
VP023,0.8386448641463943,68,98,68,0.7083333333333334,0.6865021770682148,0.7887700534759359,0.7083333333333333,0.41666666666666663
VP024,0.8333127546610692,17,47,17,0.6666666666666666,0.6664092664092665,0.6671826625386997,0.6666666666666666,0.33333333333333337
VP025,0.8554440154440155,74,100,74,0.9444444444444444,0.9442724458204335,0.95,0.9444444444444444,0.8888888888888888
VP026,0.8436288045670317,70,100,70,0.7222222222222222,0.6989966555183946,0.8214285714285714,0.7222222222222222,0.4444444444444444
