subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8683880800930963,65,95,65,0.9074074074074074,0.906896551724138,0.9165497896213184,0.9074074074074074,0.8148148148148149
VP002,0.8794108653902313,81,100,81,0.7870370370370371,0.7769196228109565,0.8506493506493507,0.787037037037037,0.5740740740740741
VP003,0.8684819857367787,65,95,65,0.9259259259259259,0.9259005145797599,0.926510989010989,0.9259259259259259,0.8518518518518519
VP004,0.8703419131771033,79,100,79,0.5092592592592593,0.3684210526315789,0.5857142857142856,0.5092592592592593,0.01851851851851849
VP005,0.8886307076762316,67,97,67,0.8518518518518519,0.8513931888544892,0.85625,0.8518518518518519,0.7037037037037037
VP006,0.8610992026065335,67,97,67,0.8796296296296297,0.8796193089256623,0.8797598627787306,0.8796296296296295,0.7592592592592593
VP007,0.8924450549450549,86,100,86,0.7777777777777778,0.7681574239713774,0.8330592105263157,0.7777777777777778,0.5555555555555556
VP008,0.8795102141697362,71,100,71,0.75,0.7333333333333334,0.8333333333333333,0.75,0.5
VP009,0.8553571428571429,70,100,70,0.6851851851851852,0.6505519604111154,0.8068181818181819,0.6851851851851851,0.37037037037037035
VP010,0.8777710711150132,56,86,56,0.6759259259259259,0.6655755109263028,0.7007827788649706,0.6759259259259259,0.35185185185185186
VP011,0.855108359133127,43,73,43,0.6296296296296297,0.5772994129158513,0.7567934782608696,0.6296296296296297,0.2592592592592593
VP012,0.860651873974243,70,100,70,0.75,0.7450826121164438,0.7709030100334449,0.75,0.5
VP013,0.8480147179965951,68,98,68,0.8796296296296297,0.8778599391039583,0.9029850746268657,0.8796296296296297,0.7592592592592593
VP014,0.8663072183098591,56,86,56,0.7592592592592593,0.7585139318885449,0.7625,0.7592592592592593,0.5185185185185186
VP015,0.8589807026224641,70,100,70,0.6851851851851852,0.6740056818181819,0.7146263910969792,0.6851851851851851,0.37037037037037035
VP016,0.8604559816146449,92,100,92,0.75,0.746324488908221,0.7653804149981798,0.75,0.5
VP017,0.8685144603228494,60,90,60,0.8148148148148148,0.8137931034482759,0.8218793828892006,0.8148148148148148,0.6296296296296297
VP018,0.8810097643607717,63,93,63,0.6851851851851852,0.6588628762541806,0.7678571428571428,0.6851851851851851,0.37037037037037035
VP019,0.8628105302187616,68,98,68,0.7962962962962963,0.7904761904761904,0.8333333333333333,0.7962962962962963,0.5925925925925926
VP020,0.8368557656655543,86,100,86,0.7685185185185185,0.7575213291423439,0.8280268118977796,0.7685185185185186,0.537037037037037
VP021,0.8312262372105963,49,79,49,0.6944444444444444,0.6629787234042553,0.8103448275862069,0.6944444444444444,0.38888888888888884
VP022,0.8573677873483375,85,100,85,0.8611111111111112,0.8610992026065335,0.8612349914236707,0.8611111111111112,0.7222222222222222
VP023,0.8462831175512304,88,100,88,0.8148148148148148,0.8137931034482759,0.8218793828892006,0.8148148148148148,0.6296296296296297
VP024,0.857050032488629,61,91,61,0.8518518518518519,0.8493198465294733,0.8772058823529412,0.8518518518518519,0.7037037037037037
VP025,0.8270512268618166,68,98,68,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9259259259259259
VP026,0.864476004826882,78,100,78,0.75,0.7494630122862789,0.7521618817018332,0.75,0.5
