subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.6681376455614897,27,57,27,0.65,0.6109910466193269,0.7504638218923934,0.65,0.30000000000000004
VP002,0.6866149774827057,56,86,56,0.7166666666666667,0.7165879410947485,0.7169076751946608,0.7166666666666666,0.43333333333333335
VP003,0.7416020671834626,56,86,56,0.7333333333333333,0.7285067873303167,0.7511961722488039,0.7333333333333334,0.4666666666666667
VP004,0.6991389148251893,24,54,24,0.7,0.6770334928229665,0.7795031055900621,0.7,0.4
VP005,0.7260717299090373,40,70,40,0.43333333333333335,0.3023255813953488,0.23214285714285715,0.43333333333333335,-0.1333333333333333
VP006,0.7522321428571429,56,86,56,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
VP007,0.7015792826725978,15,45,15,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP008,0.7229789002262339,40,70,40,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP009,0.7257142857142858,33,63,33,0.5,0.3333333333333333,0.25,0.5,0.0
VP010,0.6975806451612903,14,44,14,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP011,0.7144714239286876,49,79,49,0.5,0.3333333333333333,0.25,0.5,0.0
VP012,0.7747030176141277,56,86,56,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP013,0.7154343014589638,33,63,33,0.6,0.55,0.68,0.6,0.19999999999999996
VP014,0.7210740330006384,21,51,21,0.65,0.6266666666666667,0.7,0.65,0.30000000000000004
VP015,0.726274288932695,37,67,37,0.6166666666666667,0.5911111111111111,0.6555555555555554,0.6166666666666667,0.23333333333333328
VP016,0.742559983523839,56,86,56,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP017,0.7482517482517483,26,56,26,0.5,0.36079545454545453,0.5,0.5,0.0
VP018,0.7773947191177981,67,97,67,0.5833333333333334,0.5251661918328585,0.6633986928104576,0.5833333333333334,0.16666666666666663
VP019,0.6707299985988511,22,52,22,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP020,0.7306133726284767,56,86,56,0.8,0.8,0.8,0.8,0.6
VP021,0.7692307692307693,67,97,67,0.55,0.52,0.5666666666666667,0.55,0.09999999999999998
VP022,0.7101449275362319,33,63,33,0.6333333333333333,0.576379974326059,0.7884615384615384,0.6333333333333333,0.2666666666666667
VP023,0.7132583860543444,56,86,56,0.7,0.6703296703296704,0.8125,0.7,0.4
VP024,0.8214265658868586,56,86,56,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.7064480210547626,33,63,33,0.7333333333333333,0.7306397306397306,0.7430555555555556,0.7333333333333334,0.4666666666666667
VP026,0.7499971460861425,56,86,56,0.7666666666666667,0.7624434389140271,0.7870813397129186,0.7666666666666666,0.5333333333333333
