subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7280936348075511,46,76,46,0.80625,0.8061818608104412,0.8066812705366923,0.8062499999999999,0.6125
B62,0.7435538151040706,78,100,78,0.76875,0.768668672580204,0.7691284618995462,0.76875,0.5375
B63,0.776972838197328,68,98,68,0.61875,0.616216428768039,0.621970791205264,0.6187499999999999,0.23750000000000004
B64,0.7770713136308331,80,100,80,0.58125,0.5707707707707708,0.59004329004329,0.58125,0.16249999999999998
B65,0.75888840463017,69,99,69,0.76875,0.7629629629629631,0.7978354978354978,0.76875,0.5375
B66,0.7364705882352941,44,74,44,0.75625,0.7479704349933357,0.7950170894045692,0.75625,0.5125
B67,0.7350519681258896,75,100,75,0.8375,0.8373983739837398,0.8383458646616542,0.8375,0.675
B68,0.7601358054630833,65,95,65,0.725,0.7249570245350836,0.7251407129455909,0.7250000000000001,0.44999999999999996
B69,0.7443632237875509,78,100,78,0.73125,0.7103279861900551,0.8252032520325203,0.73125,0.4625
B70,0.7794025975930828,50,80,50,0.60625,0.5724284199363733,0.6554285714285715,0.60625,0.21250000000000002
B71,0.7543693906471423,92,100,92,0.6875,0.685088962368131,0.6934235976789168,0.6875,0.375
B72,0.7526515596258463,73,100,73,0.7875,0.7873671044402752,0.7882205513784462,0.7875,0.575
B73,0.7734103933331868,86,100,86,0.6125,0.5667365478686233,0.6948051948051948,0.6125,0.22499999999999998
B74,0.7734103933331868,73,100,73,0.5875,0.5467032967032968,0.63671875,0.5874999999999999,0.17500000000000004
B75,0.7497797705654701,86,100,86,0.7,0.6983029541169076,0.7046035805626598,0.7,0.4
B76,0.771372644971862,51,81,51,0.63125,0.6287994966772836,0.6348098218584497,0.6312500000000001,0.26249999999999996
B77,0.7697002039112778,68,98,68,0.74375,0.7414778325123152,0.7526315789473684,0.74375,0.48750000000000004
B78,0.7545022671164836,68,98,68,0.55625,0.44744394182596425,0.7649006622516556,0.55625,0.11250000000000004
B79,0.729599606976173,68,98,68,0.89375,0.892807881773399,0.9080971659919028,0.89375,0.7875
B80,0.7512412270730509,46,76,46,0.58125,0.5100324512089218,0.6941022769690183,0.58125,0.16249999999999998
B81,0.7369965950452038,81,100,81,0.75625,0.7550924290592252,0.7611880872750438,0.75625,0.5125
