subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.5974533576380693,97,100,97,0.6333333333333333,0.6415865366094199,0.6900685733481269,0.6333333333333334,0.44999999999999996
sub-002,0.581303743385929,65,95,65,0.6033333333333334,0.5809883720930232,0.5829082125603865,0.6033333333333334,0.405
sub-003,0.602340812483517,46,76,46,0.4766666666666667,0.47730044196512783,0.48441971604012113,0.47666666666666674,0.21499999999999997
sub-004,0.584836527940768,90,100,90,0.5166666666666667,0.4505437799556217,0.5678004883192779,0.5166666666666667,0.275
sub-005,0.5601188475883098,8,38,8,0.49333333333333335,0.46695536293141876,0.5352107462055106,0.49333333333333335,0.23999999999999988
sub-006,0.5606500321932971,56,86,56,0.4766666666666667,0.4583288951574298,0.47180100544886344,0.4766666666666666,0.21499999999999997
sub-007,0.5299315525058725,23,53,23,0.6433333333333333,0.6117644483215652,0.6297975330483071,0.6433333333333333,0.46499999999999997
sub-008,0.6184733235568539,92,100,92,0.49666666666666665,0.42002023134098604,0.6620868180007965,0.49666666666666676,0.245
sub-009,0.5679071078369389,87,100,87,0.51,0.49106722426582,0.49559748575071244,0.51,0.265
sub-010,0.5960260954708646,73,100,73,0.5351170568561873,0.5315945886432702,0.5301443871455205,0.5353872053872054,0.3027847676564336
sub-011,0.5703824004685111,33,63,33,0.3333333333333333,0.3297092862503456,0.33563205371716015,0.3333333333333333,0.0
