subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8045360057087897,87,100,87,0.5833333333333334,0.5669607056936649,0.5981818181818181,0.5833333333333334,0.16666666666666663
VP002,0.8105263157894738,48,78,48,0.625,0.6123629112662015,0.6437444543034605,0.625,0.25
VP003,0.7997775305895439,81,100,81,0.7916666666666666,0.791304347826087,0.7937062937062938,0.7916666666666667,0.5833333333333333
VP004,0.7877819490552573,59,89,59,0.7222222222222222,0.7213622291021672,0.725,0.7222222222222222,0.4444444444444444
VP005,0.79925028656402,79,100,79,0.7222222222222222,0.7077922077922079,0.7769230769230769,0.7222222222222222,0.4444444444444444
VP006,0.8190409168593547,81,100,81,0.6388888888888888,0.6317859952793077,0.6505016722408027,0.6388888888888888,0.2777777777777778
VP007,0.8080830712889493,63,93,63,0.7361111111111112,0.7356521739130435,0.7377622377622377,0.7361111111111112,0.4722222222222222
VP008,0.763082712006132,60,90,60,0.9027777777777778,0.9023066485753053,0.9107002360346184,0.9027777777777778,0.8055555555555556
VP009,0.8164627363737487,92,100,92,0.8333333333333334,0.8321678321678322,0.8428571428571429,0.8333333333333333,0.6666666666666667
VP010,0.7800651143367541,53,83,53,0.7361111111111112,0.7298044637566661,0.7604255319148936,0.7361111111111112,0.4722222222222222
VP011,0.7941331025316065,84,100,84,0.625,0.6190476190476191,0.6333333333333333,0.625,0.25
VP012,0.7853808096996725,93,100,93,0.875,0.873807205452775,0.8897353648757017,0.875,0.75
VP013,0.8021043829698279,78,100,78,0.8888888888888888,0.8885448916408669,0.89375,0.8888888888888888,0.7777777777777778
VP014,0.8079049732814687,52,82,52,0.9444444444444444,0.9442724458204335,0.95,0.9444444444444444,0.8888888888888888
VP015,0.7747062141218101,96,100,96,0.7777777777777778,0.7776061776061776,0.7786377708978328,0.7777777777777778,0.5555555555555556
VP016,0.7549429128376497,97,100,97,0.8055555555555556,0.8,0.84375,0.8055555555555556,0.6111111111111112
VP017,0.7629211829148298,58,88,58,0.75,0.7428571428571429,0.78125,0.75,0.5
VP018,0.7970954068515044,71,100,71,0.8888888888888888,0.8881118881118881,0.9,0.8888888888888888,0.7777777777777778
VP019,0.8275169237426974,53,83,53,0.8611111111111112,0.8601398601398602,0.8714285714285714,0.8611111111111112,0.7222222222222222
VP020,0.8105263157894738,93,100,93,0.8333333333333334,0.8332046332046332,0.8343653250773994,0.8333333333333334,0.6666666666666667
VP021,0.791304347826087,85,100,85,0.8611111111111112,0.859375,0.8798701298701299,0.8611111111111112,0.7222222222222222
VP022,0.8291196862525387,97,100,97,0.6944444444444444,0.6884343036978757,0.7107023411371238,0.6944444444444444,0.38888888888888884
VP023,0.7940376051459673,94,100,94,0.7361111111111112,0.7241379310344828,0.7857142857142857,0.7361111111111112,0.4722222222222222
VP024,0.7596571854428021,78,100,78,0.75,0.7333333333333334,0.8333333333333333,0.75,0.5
VP025,0.7791222361155337,86,100,86,0.9166666666666666,0.9164086687306501,0.921875,0.9166666666666667,0.8333333333333334
VP026,0.8128360919058593,63,93,63,0.7916666666666666,0.7883597883597884,0.8111111111111111,0.7916666666666666,0.5833333333333333
