subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7777655838454784,72,100,72,0.5925925925925926,0.5675282125955589,0.6205357142857143,0.5925925925925926,0.18518518518518523
VP002,0.7645814953777921,75,100,75,0.6574074074074074,0.6573780330961159,0.6574614065180102,0.6574074074074074,0.31481481481481477
VP003,0.7555421422300264,84,100,84,0.8518518518518519,0.8513931888544892,0.85625,0.8518518518518519,0.7037037037037037
VP004,0.7660376320422535,79,100,79,0.46296296296296297,0.3560855263157895,0.38979591836734695,0.46296296296296297,-0.07407407407407418
VP005,0.7944098974107446,97,100,97,0.7037037037037037,0.7032967032967032,0.7048275862068966,0.7037037037037037,0.40740740740740744
VP006,0.7640371732630514,58,88,58,0.7129629629629629,0.6967116586647342,0.7710606721955477,0.7129629629629629,0.42592592592592593
VP007,0.7756481789870175,93,100,93,0.8333333333333334,0.8328173374613003,0.8375,0.8333333333333333,0.6666666666666667
VP008,0.7309934689474389,70,100,70,0.9166666666666666,0.9166023166023166,0.9179566563467492,0.9166666666666666,0.8333333333333334
VP009,0.7608150007382253,81,100,81,0.8055555555555556,0.8051378984448836,0.8081978554133518,0.8055555555555556,0.6111111111111112
VP010,0.7589914720059325,68,98,68,0.7129629629629629,0.7099540847266742,0.7221824686940966,0.712962962962963,0.42592592592592593
VP011,0.7647171837422251,82,100,82,0.6851851851851852,0.6761904761904762,0.7083333333333333,0.6851851851851851,0.37037037037037035
VP012,0.7740616769095698,87,100,87,0.8148148148148148,0.8106591865357644,0.8451127819548871,0.8148148148148148,0.6296296296296297
VP013,0.7407407407407407,100,100,100,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.7407407407407407
VP014,0.7438506276553327,42,72,42,0.7129629629629629,0.7073170731707317,0.7307692307692307,0.712962962962963,0.42592592592592593
VP015,0.7794110074799785,75,100,75,0.6851851851851852,0.6847527472527473,0.6862068965517241,0.6851851851851851,0.37037037037037035
VP016,0.7563839862247095,67,97,67,0.6481481481481481,0.6329159212880143,0.6776315789473684,0.6481481481481481,0.2962962962962963
VP017,0.7365998433614092,87,100,87,0.7222222222222222,0.7221269296740995,0.7225274725274725,0.7222222222222222,0.4444444444444444
VP018,0.7444304214223003,80,100,80,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.5185185185185186
VP019,0.7611037377696843,77,100,77,0.7592592592592593,0.7585139318885449,0.7625,0.7592592592592593,0.5185185185185186
VP020,0.7610906284832376,37,67,37,0.7222222222222222,0.7206896551724138,0.7272089761570828,0.7222222222222222,0.4444444444444444
VP021,0.7555018934196805,96,100,96,0.7592592592592593,0.75625,0.7727272727272727,0.7592592592592593,0.5185185185185186
VP022,0.7553407655554946,52,82,52,0.7037037037037037,0.7036020583190394,0.7039835164835164,0.7037037037037037,0.40740740740740744
VP023,0.7774083183335853,89,100,89,0.8240740740740741,0.8222299228969938,0.8381037567084079,0.8240740740740741,0.6481481481481481
VP024,0.7684986710108892,70,100,70,0.7129629629629629,0.7099540847266742,0.7221824686940966,0.712962962962963,0.42592592592592593
VP025,0.7537028590633027,92,100,92,0.8333333333333334,0.83125,0.8506493506493507,0.8333333333333333,0.6666666666666667
VP026,0.7684224249431348,71,100,71,0.6759259259259259,0.657577679137603,0.7239196857267569,0.6759259259259259,0.35185185185185186
