subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7258869673738635,80,100,80,0.5666666666666667,0.5647321428571428,0.5678733031674208,0.5666666666666667,0.1333333333333333
VP002,0.7316156736446592,68,98,68,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP003,0.7360066833751044,90,100,90,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
VP004,0.6965014285555469,59,89,59,0.65,0.6491228070175439,0.6515151515151515,0.6499999999999999,0.30000000000000004
VP005,0.7224420639609412,93,100,93,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337
VP006,0.7256791114679513,58,88,58,0.85,0.849624060150376,0.8535353535353536,0.8500000000000001,0.7
VP007,0.7128739316239316,82,100,82,0.7833333333333333,0.7818181818181819,0.7914285714285714,0.7833333333333333,0.5666666666666667
VP008,0.7065492863812192,41,71,41,0.7,0.696969696969697,0.7083333333333333,0.7,0.4
VP009,0.6432342317310364,76,100,76,0.7,0.699666295884316,0.7008928571428572,0.7,0.4
VP010,0.69517301443741,65,95,65,0.5333333333333333,0.52,0.5375000000000001,0.5333333333333333,0.06666666666666665
VP011,0.7120535714285714,11,41,11,0.5833333333333334,0.5737425404944586,0.5915750915750916,0.5833333333333333,0.16666666666666663
VP012,0.7286704853783539,77,100,77,0.5666666666666667,0.548611111111111,0.5793650793650794,0.5666666666666667,0.1333333333333333
VP013,0.6929513783446368,79,100,79,0.8666666666666667,0.8660714285714286,0.8733031674208145,0.8666666666666667,0.7333333333333334
VP014,0.7395833333333333,62,92,62,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
VP015,0.708285366208045,73,100,73,0.6666666666666666,0.660633484162896,0.6794258373205742,0.6666666666666667,0.33333333333333337
VP016,0.6945454545454546,34,64,34,0.8666666666666667,0.8665183537263625,0.8683035714285714,0.8666666666666667,0.7333333333333334
VP017,0.6624895572263994,10,40,10,0.5833333333333334,0.5804195804195804,0.5857142857142856,0.5833333333333333,0.16666666666666663
VP018,0.7383252818035426,63,93,63,0.6166666666666667,0.5832074901842343,0.6718494271685762,0.6166666666666667,0.23333333333333328
VP019,0.7330367074527253,65,95,65,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.5333333333333333
VP020,0.7358183500351128,74,100,74,0.7833333333333333,0.7827903091060986,0.7861952861952861,0.7833333333333333,0.5666666666666667
VP021,0.7027752112299763,17,47,17,0.7333333333333333,0.7321428571428572,0.7375565610859729,0.7333333333333334,0.4666666666666667
VP022,0.6995192307692308,65,95,65,0.6833333333333333,0.6622222222222223,0.7444444444444445,0.6833333333333333,0.3666666666666667
VP023,0.7398959583833533,84,100,84,0.55,0.5437904815544916,0.5528789659224442,0.55,0.09999999999999998
VP024,0.7431935164700781,86,100,86,0.6333333333333333,0.6228571428571429,0.6499999999999999,0.6333333333333333,0.2666666666666667
VP025,0.7184860807006568,73,100,73,0.65,0.6451703745423825,0.6586368977673325,0.65,0.30000000000000004
VP026,0.6654623310584772,18,48,18,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
