subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7234314230537292,83,100,83,0.88125,0.8804608548621761,0.8915904349221634,0.8812500000000001,0.7625
B62,0.7531033000947349,81,100,81,0.66875,0.6676985775304675,0.6709131191644248,0.66875,0.3375
B63,0.7718727721950409,63,93,63,0.625,0.6240601503759399,0.6262626262626263,0.625,0.25
B64,0.7514890873524649,95,100,95,0.7,0.6930946291560103,0.7197802197802198,0.7,0.4
B65,0.7483336630592212,84,100,84,0.86875,0.8687448728465956,0.8688076261915925,0.86875,0.7375
B66,0.7374769266830092,76,100,76,0.75625,0.7519774235859931,0.7752139620741735,0.75625,0.5125
B67,0.751387087080484,92,100,92,0.86875,0.8687448728465956,0.8688076261915925,0.86875,0.7375
B68,0.7619770002446782,64,94,64,0.7125,0.7102818453786806,0.7192134107027723,0.7125,0.42500000000000004
B69,0.7499975585699079,73,100,73,0.725,0.7222222222222222,0.734375,0.725,0.44999999999999996
B70,0.7234314230537292,51,81,51,0.7375,0.73547472838923,0.745003223726628,0.7375,0.475
B71,0.7171868095381093,68,98,68,0.7375,0.736842105263158,0.7398989898989898,0.7375,0.475
B72,0.7577977171458219,78,100,78,0.85625,0.8562443845462713,0.8563056727613689,0.85625,0.7125
B73,0.7608668576410512,78,100,78,0.55,0.4968553459119497,0.5865800865800865,0.55,0.09999999999999998
B74,0.7560117302052787,65,95,65,0.63125,0.6247863587582972,0.6409632488672596,0.63125,0.26249999999999996
B75,0.7609369163498934,96,100,96,0.75,0.7498436522826767,0.7506265664160401,0.75,0.5
B76,0.7468725280520317,91,100,91,0.7,0.699812382739212,0.7005012531328321,0.7,0.4
B77,0.7546821097143248,99,100,99,0.83125,0.8310850439882698,0.8325490196078431,0.83125,0.6625
B78,0.7499902339935154,80,100,80,0.51875,0.5185807510452893,0.518776404318573,0.51875,0.03749999999999998
B79,0.757598860323674,64,94,64,0.8375,0.8374746054070948,0.8377110694183865,0.8374999999999999,0.675
B80,0.7482992366412213,74,100,74,0.6125,0.6063492063492064,0.62,0.6125,0.22499999999999998
B81,0.7655425735610175,82,100,82,0.78125,0.7787523211252025,0.7945508100147275,0.78125,0.5625
