subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.7856396602689121,45,75,45,0.82,0.8152709359605912,0.85650623885918,0.8200000000000001,0.64
sub-002,0.7922381681514128,92,100,92,0.625,0.5943204868154158,0.6792114695340502,0.625,0.25
sub-003,0.7744103455716977,93,100,93,0.945,0.9449656035021888,0.9461152882205515,0.9450000000000001,0.89
sub-004,0.7780617848814781,95,100,95,0.58,0.5716034271725826,0.5868055555555556,0.58,0.16000000000000003
sub-005,0.7841801009546401,32,62,32,0.745,0.7314022383146808,0.8072100313479624,0.745,0.49
sub-006,0.7950178306922459,28,58,28,0.75,0.7372845733501472,0.8100198412698413,0.75,0.5
sub-007,0.8001026608445311,46,76,46,0.66,0.6541552232733191,0.6716001716001716,0.66,0.31999999999999995
sub-008,0.7845829525962262,75,100,75,0.89,0.89,0.89,0.89,0.78
sub-009,0.7937175993935699,43,73,43,0.635,0.5823679167024228,0.7722323049001816,0.635,0.27
sub-010,0.7995034821823166,89,100,89,0.825,0.8249606161386311,0.8252927634871384,0.825,0.65
sub-011,0.7948153338004204,77,100,77,0.905,0.9041348167209062,0.9201680672268908,0.905,0.81
sub-012,0.7816022544283414,38,68,38,0.53,0.49592449592449594,0.5411184210526316,0.53,0.06000000000000005
sub-013,0.7926165479972469,77,100,77,0.775,0.7670264813232897,0.8186189317576179,0.7749999999999999,0.55
sub-014,0.8011898063954285,68,98,68,0.535,0.5185213947347985,0.540551500405515,0.5349999999999999,0.06999999999999995
sub-015,0.7888957669088348,73,100,73,0.78,0.7782034479282185,0.7893757751136834,0.78,0.56
sub-016,0.7839918949348605,44,74,44,0.75,0.74997499749975,0.7501000400160064,0.75,0.5
sub-017,0.7944491727835628,57,87,57,0.72,0.7159090909090908,0.733446519524618,0.72,0.43999999999999995
sub-018,0.8000488602409186,87,100,87,0.695,0.685364281108962,0.7222222222222223,0.6950000000000001,0.39
sub-019,0.7739003271426641,80,100,80,0.71,0.7002893757751136,0.7412683823529411,0.71,0.42000000000000004
sub-020,0.77745576682187,57,87,57,0.9,0.8998397435897436,0.9025764895330113,0.8999999999999999,0.8
sub-021,0.7886206088881269,74,100,74,0.83,0.8260869565217391,0.8626373626373627,0.8300000000000001,0.6599999999999999
sub-022,0.7941281439600278,33,63,33,0.605,0.5797760578738796,0.6381760757994472,0.605,0.20999999999999996
sub-023,0.7949095551138052,84,100,84,0.8592964824120602,0.8592929292929292,0.8592929292929292,0.8592929292929292,0.7185858585858586
sub-024,0.778663346950712,75,100,75,0.8,0.7916666666666667,0.8571428571428572,0.8,0.6
sub-025,0.7890239853669843,75,100,75,0.7,0.6764103117247331,0.782326369282891,0.7,0.4
sub-026,0.7769311185851718,87,100,87,0.9396984924623115,0.9396847848050112,0.9403317152103561,0.9397979797979799,0.8794182993334679
sub-027,0.7943329469361489,99,100,99,0.71,0.7095352564102564,0.711352657004831,0.71,0.42000000000000004
sub-028,0.7936145548439191,54,84,54,0.875,0.8747463613817982,0.8780623046678093,0.875,0.75
sub-029,0.7862305971100079,38,68,38,0.435,0.4076171004691882,0.4202551834130781,0.435,-0.1299999999999999
sub-030,0.7903296952950034,93,100,93,0.61,0.5400400990682863,0.7808988764044944,0.61,0.21999999999999997
sub-031,0.7901385661455442,64,94,64,0.795,0.7892626763640102,0.831051509370441,0.7949999999999999,0.5900000000000001
sub-032,0.7885076249029508,81,100,81,0.615,0.6067315304272325,0.6255595589038105,0.615,0.22999999999999998
sub-033,0.787468671679198,82,100,82,0.81,0.8056265984654731,0.8406593406593407,0.81,0.62
sub-034,0.7871552190644668,98,100,98,0.67,0.66996699669967,0.6700680272108843,0.67,0.33999999999999997
sub-035,0.8070271683191741,73,100,73,0.88,0.879020062506301,0.8927242662257131,0.88,0.76
sub-036,0.8072289156626506,80,100,80,0.58,0.51338199513382,0.6768346595932804,0.58,0.16000000000000003
sub-037,0.7931527536790695,74,100,74,0.915,0.9148275257396228,0.9183889504990423,0.915,0.83
sub-038,0.8013546010989705,90,100,90,0.505,0.4078770298154849,0.5145391102064554,0.505,0.010000000000000009
sub-039,0.7919481945991256,86,100,86,0.495,0.4705250190034337,0.4938657833394675,0.495,-0.010000000000000009
sub-040,0.7923313211155761,77,100,77,0.56,0.46576007770762506,0.7038043478260869,0.56,0.12
sub-041,0.789362822538178,82,100,82,0.555,0.4451198603447738,0.7645502645502645,0.555,0.10999999999999999
sub-042,0.7870194626626326,58,88,58,0.78,0.7773053952829234,0.7942412778478352,0.78,0.56
sub-043,0.7850743935678628,52,82,52,0.9,0.8993558776167472,0.9105090311986863,0.8999999999999999,0.8
sub-044,0.7840012216489045,67,97,67,0.575,0.5175799540282073,0.6431570910479099,0.5750000000000001,0.15000000000000002
sub-045,0.7696568866192481,67,97,67,0.81,0.8090644156366193,0.8161974704202366,0.81,0.62
sub-046,0.7848842850448696,63,93,63,0.59,0.5071523019593701,0.7747252747252747,0.59,0.18000000000000005
sub-047,0.780731395960051,91,100,91,0.785,0.7803825429658571,0.8111693416311825,0.785,0.5700000000000001
sub-048,0.7830549875256618,65,95,65,0.885,0.8849280800500312,0.8859649122807018,0.885,0.77
sub-049,0.7858072265038535,59,89,59,0.82,0.8181818181818181,0.8333333333333334,0.8200000000000001,0.64
sub-050,0.7861484044532456,42,72,42,0.78,0.7796474358974359,0.7818035426731079,0.78,0.56
sub-051,0.7945461524507638,80,100,80,0.79,0.7882851093860268,0.7997106242248864,0.79,0.5800000000000001
