subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.8962906057945567,84,100,84,0.7129629629629629,0.6906587822230436,0.7992771084337349,0.712962962962963,0.42592592592592593
VP002,0.9111098917680627,73,100,73,0.8055555555555556,0.7979149959903769,0.86,0.8055555555555556,0.6111111111111112
VP003,0.8962265445910145,76,100,76,0.9259259259259259,0.9259005145797599,0.926510989010989,0.9259259259259259,0.8518518518518519
VP004,0.8759050732118909,59,89,59,0.8425925925925926,0.8414918414918415,0.8523809523809524,0.8425925925925926,0.6851851851851851
VP005,0.8888644970089457,81,100,81,0.5648148148148148,0.4631411951348493,0.7673267326732673,0.5648148148148148,0.12962962962962965
VP006,0.9055526405135961,88,100,88,0.7962962962962963,0.7945347630577655,0.8068181818181819,0.7962962962962963,0.5925925925925926
VP007,0.9074023266022827,73,100,73,0.5092592592592593,0.35358554488989274,0.7523364485981308,0.5092592592592593,0.01851851851851849
VP008,0.8757004304791615,87,100,87,0.8518518518518519,0.8510344827586207,0.8597475455820476,0.8518518518518519,0.7037037037037037
VP009,0.875891451329073,68,98,68,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP010,0.8944267040757878,89,100,89,0.6759259259259259,0.6378963502251174,0.803370786516854,0.6759259259259259,0.35185185185185186
VP011,0.886949806949807,68,98,68,0.6851851851851852,0.6588628762541806,0.7678571428571428,0.6851851851851851,0.37037037037037035
VP012,0.8961809417871709,73,100,73,0.6759259259259259,0.6676923076923077,0.6952797868290826,0.6759259259259259,0.35185185185185186
VP013,0.8828411536805855,95,100,95,0.7962962962962963,0.7945347630577655,0.8068181818181819,0.7962962962962963,0.5925925925925926
VP014,0.8962948737294064,80,100,80,0.75,0.7436483516483516,0.7775028549676437,0.75,0.5
VP015,0.9018488224945215,65,95,65,0.6111111111111112,0.5492845786963434,0.7462006079027356,0.6111111111111112,0.2222222222222222
VP016,0.8944353939809655,86,100,86,0.6203703703703703,0.5988767098469063,0.6532082060235704,0.6203703703703703,0.2407407407407407
VP017,0.8869901433722498,83,100,83,0.7962962962962963,0.7874776386404294,0.8552631578947368,0.7962962962962963,0.5925925925925926
VP018,0.9018488224945215,81,100,81,0.6203703703703703,0.556445958128819,0.7842105263157895,0.6203703703703703,0.2407407407407407
VP019,0.8906053104151572,74,100,74,0.6018518518518519,0.5268466632705043,0.7783505154639175,0.6018518518518519,0.20370370370370372
VP020,0.9111098917680627,70,100,70,0.5,0.3333333333333333,0.25,0.5,0.0
VP021,0.8851457975986279,85,100,85,0.8148148148148148,0.8145604395604396,0.816551724137931,0.8148148148148149,0.6296296296296297
VP022,0.9036918138041734,72,100,72,0.8148148148148148,0.8095238095238095,0.8541666666666667,0.8148148148148149,0.6296296296296297
VP023,0.9166663808860798,79,100,79,0.8055555555555556,0.8017309205350118,0.8311036789297659,0.8055555555555556,0.6111111111111112
VP024,0.8814554634762088,88,100,88,0.7962962962962963,0.7928147889780258,0.8176470588235294,0.7962962962962963,0.5925925925925926
VP025,0.8536991882465508,76,100,76,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.8148148148148149
VP026,0.8944267040757878,84,100,84,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
