subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,0.7931034482758621,75,100,75,0.75,0.7413049726933026,0.788831835686778,0.75,0.5
VP002,0.7999911107160318,74,100,74,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP003,0.806658073692164,85,100,85,0.5166666666666667,0.3693367162015223,0.7542372881355932,0.5166666666666667,0.033333333333333326
VP004,0.8266589626205609,75,100,75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
VP005,0.7966101694915255,49,79,49,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP006,0.8166646296069957,93,100,93,0.8333333333333334,0.8285714285714285,0.875,0.8333333333333333,0.6666666666666667
VP007,0.8398220244716352,87,100,87,0.8833333333333333,0.8817234581807942,0.9054054054054055,0.8833333333333333,0.7666666666666666
VP008,0.869998555539506,86,100,86,0.5666666666666667,0.4993581514762516,0.6442307692307692,0.5666666666666667,0.1333333333333333
VP009,0.7966644073823043,72,100,72,0.7833333333333333,0.7827903091060986,0.7861952861952861,0.7833333333333333,0.5666666666666667
VP010,0.8,60,90,60,0.6166666666666667,0.5631528964862298,0.7287581699346405,0.6166666666666667,0.23333333333333328
VP011,0.8266666666666667,75,100,75,0.5833333333333334,0.4957983193277311,0.7727272727272727,0.5833333333333334,0.16666666666666663
VP012,0.7865812991863412,66,96,66,0.7666666666666667,0.7664071190211346,0.7678571428571428,0.7666666666666666,0.5333333333333333
VP013,0.7560568086883876,50,80,50,0.7333333333333333,0.717978848413631,0.7982954545454546,0.7333333333333334,0.4666666666666667
VP014,0.8466598515489577,33,63,33,0.55,0.4357366771159875,0.763157894736842,0.55,0.09999999999999998
VP015,0.8199919996444287,53,83,53,0.7,0.6703296703296704,0.8125,0.7,0.4
VP016,0.8232842456237843,73,100,73,0.7333333333333333,0.7257142857142858,0.7625,0.7333333333333334,0.4666666666666667
VP017,0.8299981110901232,62,92,62,0.75,0.7442455242966752,0.7747252747252746,0.75,0.5
VP018,0.8533268145250901,72,100,72,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,0.8266358463726885,74,100,74,0.5,0.3333333333333333,0.25,0.5,0.0
VP020,0.8131256952169077,56,86,56,0.6666666666666666,0.625,0.8,0.6666666666666666,0.33333333333333337
VP021,0.7966463312997967,62,92,62,0.5333333333333333,0.4034090909090909,0.7586206896551724,0.5333333333333333,0.06666666666666665
VP022,0.7866666666666666,92,100,92,0.95,0.9499861072520144,0.9505005561735261,0.95,0.9
VP023,0.8332147304750044,97,100,97,0.5833333333333334,0.5737425404944586,0.5915750915750916,0.5833333333333333,0.16666666666666663
VP024,0.8365776922991406,58,88,58,0.5,0.3333333333333333,0.25,0.5,0.0
VP025,0.793296586059744,66,96,66,0.55,0.5343489508479448,0.5577663671373556,0.5499999999999999,0.09999999999999998
VP026,0.7966101694915255,39,69,39,0.6833333333333333,0.6811188811188811,0.6885714285714286,0.6833333333333333,0.3666666666666667
