subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,0.7388782612732128,66,96,66,0.8875,0.8868636077938403,0.8964194373401535,0.8875,0.775
B62,0.7492924366620639,46,76,46,0.9125,0.9118249094630766,0.925531914893617,0.9125,0.825
B63,0.7320110192837466,50,80,50,0.74375,0.7420471078604852,0.7503610977371209,0.7437499999999999,0.48750000000000004
B64,0.7499780254123898,69,99,69,0.40625,0.3645219281742548,0.37285441830896376,0.40625,-0.1875
B65,0.7326238483695772,62,92,62,0.85,0.8491514770584538,0.8580562659846547,0.8500000000000001,0.7
B66,0.7651755312903604,99,100,99,0.64375,0.6348348348348348,0.6593073593073593,0.64375,0.2875
B67,0.755961634353093,64,94,64,0.55,0.5454545454545454,0.5520833333333333,0.55,0.09999999999999998
B68,0.7578119087204803,97,100,97,0.5375,0.5356862745098039,0.5380952380952381,0.5375,0.07499999999999996
B69,0.792186992644025,82,100,82,0.91875,0.9187468260478925,0.9188154399124864,0.91875,0.8375
B70,0.779450042648457,47,77,47,0.625,0.6244719136285402,0.6257071024512885,0.625,0.25
B71,0.7765619544969592,59,89,59,0.48125,0.46362938729350944,0.47841338370210473,0.48124999999999996,-0.03750000000000009
B72,0.7376476161721786,49,79,49,0.5125,0.4726166328600406,0.5179211469534051,0.5125,0.025000000000000022
B73,0.7656158443689207,70,100,70,0.575,0.4813119755911518,0.7702702702702703,0.575,0.15000000000000002
B74,0.7461585921203396,55,85,55,0.74375,0.7383431055801524,0.7657128257537047,0.7437499999999999,0.48750000000000004
B75,0.7543702682419433,67,97,67,0.65,0.638942617666022,0.670940170940171,0.6499999999999999,0.30000000000000004
B76,0.7639651125586484,65,95,65,0.95625,0.95623461373139,0.9568925050852761,0.95625,0.9125
B77,0.7302991993257479,26,56,26,0.51875,0.5046439628482973,0.5211602891906189,0.51875,0.03749999999999998
B78,0.7515570410482653,76,100,76,0.775,0.7643593519882179,0.8356216628527842,0.775,0.55
B79,0.721603128054741,75,100,75,0.9375,0.93734335839599,0.9419191919191919,0.9375,0.875
B80,0.7888764267335224,60,90,60,0.50625,0.347073712485149,0.7515723270440251,0.50625,0.012499999999999956
B81,0.7546150107819938,61,91,61,0.64375,0.6160161677403057,0.7021533728850802,0.64375,0.2875
