subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.7944814519510386,78,100,78,0.825,0.823406241327985,0.8371719057993567,0.825,0.65
sub-002,0.7984233504790197,83,100,83,0.58,0.5772946859903382,0.5821018062397373,0.5800000000000001,0.16000000000000003
sub-003,0.7789732557639475,66,96,66,0.895,0.8945544927317919,0.9017902553148205,0.895,0.79
sub-004,0.8148843026891808,85,100,85,0.53,0.5083167695365624,0.5364254492472074,0.53,0.06000000000000005
sub-005,0.7798835584023949,99,100,99,0.855,0.8543847756772364,0.8611026345234463,0.855,0.71
sub-006,0.7934214485057943,80,100,80,0.89,0.8894583458948849,0.8977968176254589,0.8899999999999999,0.78
sub-007,0.7992023677095375,99,100,99,0.695,0.6737880691997112,0.7635491282605757,0.695,0.39
sub-008,0.8007417613226742,96,100,96,0.82,0.816905706438816,0.8432003432003432,0.82,0.64
sub-009,0.7923067933945553,84,100,84,0.685,0.678234888531372,0.7019871164974343,0.685,0.37
sub-010,0.7866413440994311,83,100,83,0.695,0.6816200840314204,0.7344031734583484,0.6950000000000001,0.39
sub-011,0.7934293011783283,90,100,90,0.88,0.8798076923076923,0.8824476650563606,0.88,0.76
sub-012,0.7979836366745707,71,100,71,0.515,0.489137590520079,0.5188087774294671,0.515,0.030000000000000027
sub-013,0.8024691358024691,80,100,80,0.76,0.7593984962406015,0.7626262626262625,0.76,0.52
sub-014,0.80980524056634,78,100,78,0.56,0.5584102769971899,0.5608766233766234,0.56,0.12
sub-015,0.7990075181713995,74,100,74,0.68,0.6604414261460102,0.7338877338877339,0.68,0.36
sub-016,0.8038462154328994,92,100,92,0.675,0.666999666999667,0.6936054873326696,0.675,0.35
sub-017,0.8003378243978672,76,100,76,0.555,0.4676874308442238,0.659930212271009,0.5549999999999999,0.10999999999999999
sub-018,0.8107812631401901,98,100,98,0.52,0.4978554242075531,0.5242836328314715,0.52,0.040000000000000036
sub-019,0.7969104375029388,94,100,94,0.57,0.483110950835437,0.7136752136752136,0.57,0.14
sub-020,0.7914206877165042,79,100,79,0.815,0.813953488372093,0.8222506393861893,0.815,0.63
sub-021,0.7968830046106558,82,100,82,0.82,0.81998199819982,0.8201280512204883,0.8200000000000001,0.64
sub-022,0.8004780026997977,73,100,73,0.695,0.6755232851937552,0.7566127121989735,0.695,0.39
sub-023,0.8054645459134928,74,100,74,0.7437185929648241,0.7385423912203416,0.7631233595800525,0.743030303030303,0.48672432104384766
sub-024,0.792375373317834,89,100,89,0.64,0.5863970588235294,0.7906976744186047,0.64,0.28
sub-025,0.7954884962279128,76,100,76,0.79,0.7803117480908045,0.852112676056338,0.79,0.5800000000000001
sub-026,0.7824877649367776,76,100,76,0.7939698492462312,0.7885009202374471,0.8258307139649753,0.7931818181818182,0.5872831200364207
sub-027,0.7984914862652948,51,81,51,0.5,0.3333333333333333,0.25,0.5,0.0
sub-028,0.784,84,100,84,0.86,0.859775641025641,0.8623188405797102,0.86,0.72
sub-029,0.7914882712152558,67,97,67,0.695,0.6755232851937552,0.7566127121989735,0.695,0.39
sub-030,0.7964999491249873,97,100,97,0.895,0.8949973749343734,0.8950395039503951,0.895,0.79
sub-031,0.7904810909184554,96,100,96,0.7,0.6910719802286067,0.7261420171867933,0.7,0.4
sub-032,0.795999183996736,81,100,81,0.72,0.72,0.72,0.72,0.43999999999999995
sub-033,0.7924974580938617,75,100,75,0.82,0.8158567774936061,0.8516483516483517,0.8200000000000001,0.64
sub-034,0.7798934684387244,56,86,56,0.585,0.564886896804802,0.6042816832290516,0.585,0.17000000000000004
sub-035,0.788952514315721,94,100,94,0.775,0.7719844949456562,0.7903600464576075,0.775,0.55
sub-036,0.7993133112077511,81,100,81,0.82,0.8198378540686617,0.8211561621838619,0.8200000000000001,0.64
sub-037,0.7809822595630246,89,100,89,0.75,0.7450020399836801,0.7712673611111112,0.75,0.5
sub-038,0.7994734803677787,69,99,69,0.515,0.49582889368226823,0.5176907654204506,0.515,0.030000000000000027
sub-039,0.7973974324501779,85,100,85,0.645,0.6294266551841123,0.6742997956485155,0.645,0.29000000000000004
sub-040,0.8094347790531309,73,100,73,0.83,0.8293857888398234,0.8348214285714286,0.8300000000000001,0.6599999999999999
sub-041,0.7782205023881347,99,100,99,0.865,0.8648344221671547,0.8667973068033363,0.865,0.73
sub-042,0.7954958587911405,63,93,63,0.785,0.7837837837837838,0.7915601023017903,0.7849999999999999,0.5700000000000001
sub-043,0.7944625407980604,96,100,96,0.945,0.9448331201885705,0.9504504504504505,0.9450000000000001,0.89
sub-044,0.8074891712658837,78,100,78,0.685,0.684044233807267,0.6872659176029963,0.685,0.37
sub-045,0.7838341551564205,76,100,76,0.82,0.8177953234133009,0.8362757461118117,0.8200000000000001,0.64
sub-046,0.7754994948738634,96,100,96,0.9,0.898989898989899,0.9166666666666667,0.9,0.8
sub-047,0.786999147996592,68,98,68,0.84,0.8395989974937343,0.8434343434343434,0.8400000000000001,0.6799999999999999
sub-048,0.7924364336578078,92,100,92,0.77,0.7631551848419318,0.805291723202171,0.77,0.54
sub-049,0.7934987093669336,77,100,77,0.895,0.8947869435607105,0.8982256275834257,0.895,0.79
sub-050,0.7954774513890157,82,100,82,0.825,0.8244690187818149,0.8289806660593178,0.825,0.65
sub-051,0.806869443743971,89,100,89,0.785,0.7837837837837838,0.7915601023017903,0.7849999999999999,0.5700000000000001
