subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 100.0, ""gamma"": ""scale""}",0.6730092491669522,0.5833333333333334,0.5727472527472528,0.5925009516558812,0.5833333333333333,0.16666666666666663
VP002,"{""C"": 100.0, ""gamma"": ""scale""}",0.7274403496784428,0.6666666666666666,0.6591865357643759,0.6827067669172933,0.6666666666666666,0.33333333333333337
VP003,"{""C"": 100.0, ""gamma"": ""auto""}",0.7080327163151097,0.6203703703703703,0.6023349797934441,0.6470465018852116,0.6203703703703703,0.2407407407407407
VP004,"{""C"": 100.0, ""gamma"": ""scale""}",0.6974997852049145,0.6481481481481481,0.642134635507499,0.6588235294117647,0.6481481481481481,0.2962962962962963
VP005,"{""C"": 100.0, ""gamma"": ""auto""}",0.676909110915493,0.5,0.3333333333333333,0.25,0.5,0.0
VP006,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.732967032967033,0.5462962962962963,0.46989882800761296,0.6093117408906883,0.5462962962962963,0.09259259259259256
VP007,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7171176884158866,0.3888888888888889,0.3377926421404682,0.3392857142857143,0.38888888888888884,-0.22222222222222232
VP008,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6737876874073261,0.5370370370370371,0.4230769230769231,0.6764705882352942,0.5370370370370371,0.07407407407407407
VP009,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.7117520447696943,0.5462962962962963,0.5284683239775461,0.5545454545454546,0.5462962962962963,0.09259259259259256
VP010,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7304749217757676,0.5277777777777778,0.48537793142109686,0.5414322250639386,0.5277777777777778,0.05555555555555558
VP011,"{""C"": 100.0, ""gamma"": ""auto""}",0.6658921230286947,0.5462962962962963,0.5206087507926442,0.5589262330859885,0.5462962962962963,0.09259259259259256
VP012,"{""C"": 100.0, ""gamma"": ""auto""}",0.6975995547478107,0.6759259259259259,0.6745587602238485,0.6789326822462505,0.6759259259259259,0.35185185185185186
VP013,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6622562553776724,0.6574074074074074,0.634567901234568,0.7098765432098766,0.6574074074074074,0.31481481481481477
VP014,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7269903941064593,0.6018518518518519,0.6001721911321567,0.603592605510987,0.6018518518518519,0.20370370370370372
VP015,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.7087308594810201,0.5277777777777778,0.472363253185171,0.5479006505026611,0.5277777777777778,0.05555555555555558
VP016,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.7386872586872587,0.6481481481481481,0.6298701298701299,0.6846153846153846,0.6481481481481481,0.2962962962962963
VP017,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.733329675304188,0.7870370370370371,0.7868725868725869,0.7879256965944272,0.787037037037037,0.5740740740740741
VP018,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6998517786561265,0.5185185185185185,0.39999999999999997,0.588235294117647,0.5185185185185185,0.03703703703703709
VP019,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.7128832082986014,0.7037037037037037,0.6854750637058609,0.7651785714285715,0.7037037037037037,0.40740740740740744
VP020,"{""C"": 100.0, ""gamma"": ""auto""}",0.70967341705841,0.5185185185185185,0.45048923679060665,0.5366847826086957,0.5185185185185185,0.03703703703703709
VP021,"{""C"": 100.0, ""gamma"": ""scale""}",0.6827578151035314,0.48148148148148145,0.325,0.24528301886792453,0.48148148148148145,-0.03703703703703698
VP022,"{""C"": 100.0, ""gamma"": ""auto""}",0.7100930565497494,0.5185185185185185,0.4976744186046511,0.522203947368421,0.5185185185185185,0.03703703703703709
VP023,"{""C"": 100.0, ""gamma"": ""scale""}",0.6925925925925925,0.6388888888888888,0.6317859952793077,0.6505016722408027,0.6388888888888888,0.2777777777777778
VP024,"{""C"": 100.0, ""gamma"": ""auto""}",0.7200237605540467,0.5370370370370371,0.4983277591973244,0.5535714285714286,0.537037037037037,0.07407407407407407
VP025,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6844387428725549,0.5925925925925926,0.5350293542074365,0.6834239130434783,0.5925925925925926,0.18518518518518523
VP026,"{""C"": 100.0, ""gamma"": ""scale""}",0.6981471129873559,0.6574074074074074,0.622127659574468,0.7512315270935961,0.6574074074074074,0.31481481481481477
