subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6458955057681173,0.5166666666666667,0.44919278252611583,0.5326797385620915,0.5166666666666667,0.033333333333333326
VP002,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.6171241771528369,0.6333333333333333,0.6296296296296295,0.6388888888888888,0.6333333333333333,0.2666666666666667
VP003,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6523444464253878,0.6,0.5982142857142857,0.6018099547511313,0.6,0.19999999999999996
VP004,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.5430492716995182,0.7,0.6945701357466063,0.715311004784689,0.7,0.4
VP005,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6313508199651459,0.5,0.3333333333333333,0.25,0.5,0.0
VP006,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.5798319327731092,0.48333333333333334,0.39433409312927387,0.4595687331536388,0.48333333333333334,-0.03333333333333344
VP007,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6475524475524476,0.48333333333333334,0.37478991596638656,0.44545454545454544,0.48333333333333334,-0.03333333333333344
VP008,"{""C"": 100.0, ""gamma"": ""auto""}",0.6242849567307149,0.6166666666666667,0.613986013986014,0.62,0.6166666666666667,0.23333333333333328
VP009,"{""C"": 100.0, ""gamma"": ""scale""}",0.6613427814599144,0.4666666666666667,0.4444444444444444,0.4603174603174603,0.4666666666666667,-0.06666666666666665
VP010,"{""C"": 100.0, ""gamma"": ""auto""}",0.62,0.6,0.5982142857142857,0.6018099547511313,0.6,0.19999999999999996
VP011,"{""C"": 100.0, ""gamma"": ""auto""}",0.6566628518094646,0.5166666666666667,0.3939393939393939,0.5877192982456141,0.5166666666666667,0.033333333333333326
VP012,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.64996499649965,0.7166666666666667,0.7027105800058292,0.7667578659370725,0.7166666666666667,0.43333333333333335
VP013,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6931151040740082,0.4666666666666667,0.43595769682726204,0.45738636363636365,0.4666666666666667,-0.06666666666666665
VP014,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6965823839955543,0.5333333333333333,0.475,0.56,0.5333333333333333,0.06666666666666665
VP015,"{""C"": 100.0, ""gamma"": ""scale""}",0.6659391563850162,0.5,0.45054945054945056,0.5,0.5,0.0
VP016,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6558061821219716,0.4166666666666667,0.4125874125874126,0.41428571428571426,0.41666666666666663,-0.16666666666666674
VP017,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.6163213558869649,0.4666666666666667,0.4660734149054505,0.46651785714285715,0.4666666666666667,-0.06666666666666665
VP018,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6633295925510283,0.4666666666666667,0.3838254172015404,0.4278846153846154,0.4666666666666667,-0.06666666666666665
VP019,"{""C"": 100.0, ""gamma"": ""scale""}",0.5985547972701726,0.43333333333333335,0.3772893772893773,0.3958333333333333,0.4333333333333333,-0.1333333333333333
VP020,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.659758050169009,0.5166666666666667,0.5165323701028064,0.5166852057842046,0.5166666666666666,0.033333333333333326
VP021,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.6366303296996366,0.5333333333333333,0.42544459644322846,0.6339285714285714,0.5333333333333333,0.06666666666666665
VP022,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6666518511933863,0.8333333333333334,0.8316498316498316,0.8472222222222222,0.8333333333333333,0.6666666666666667
VP023,"{""C"": 100.0, ""gamma"": ""auto""}",0.6029760117439029,0.5166666666666667,0.3939393939393939,0.5877192982456141,0.5166666666666667,0.033333333333333326
VP024,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6298971936649069,0.4166666666666667,0.29411764705882354,0.22727272727272727,0.4166666666666667,-0.16666666666666674
VP025,"{""C"": 100.0, ""gamma"": ""scale""}",0.671875,0.55,0.5468531468531468,0.5514285714285714,0.55,0.09999999999999998
VP026,"{""C"": 100.0, ""gamma"": ""auto""}",0.5866518802298619,0.43333333333333335,0.3625,0.38,0.43333333333333335,-0.1333333333333333
