subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
B61,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.6994246800516614,0.70625,0.6896537493293715,0.7623732856290997,0.70625,0.4125
B62,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6815763546798029,0.73125,0.7207678883071553,0.7721088435374149,0.73125,0.4625
B63,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6733729082167128,0.5625,0.5465587044534412,0.5727272727272728,0.5625,0.125
B64,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6917170976221041,0.4625,0.36753079610222467,0.4061032863849765,0.46249999999999997,-0.07499999999999996
B65,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6603329656542039,0.825,0.8209718670076727,0.8571428571428572,0.825,0.65
B66,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7126418450591916,0.5375,0.42006269592476486,0.6973684210526316,0.5375,0.07499999999999996
B67,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6748194271481943,0.5,0.3333333333333333,0.25,0.5,0.0
B68,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6952944804193648,0.48125,0.4484820798205905,0.4754047960647674,0.48124999999999996,-0.03750000000000009
B69,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6248061325200175,0.675,0.6737254901960784,0.6777777777777778,0.675,0.35
B70,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.7105894380873736,0.55,0.5465281058101086,0.551579626047711,0.55,0.09999999999999998
B71,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7101669232897033,0.4875,0.4846008799497172,0.48721227621483376,0.4875,-0.02499999999999991
B72,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.6858446953323614,0.50625,0.38518410428522787,0.5294334069168507,0.50625,0.012499999999999956
B73,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6730151978507399,0.95625,0.9562482909488652,0.9563213002031568,0.95625,0.9125
B74,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6928763556629614,0.66875,0.6429624015830913,0.7373104812129203,0.66875,0.3375
B75,"{""C"": 100.0, ""gamma"": ""scale""}",0.6885873219634452,0.7125,0.7123202001250781,0.713032581453634,0.7125,0.42500000000000004
B76,"{""C"": 0.1, ""gamma"": ""scale""}",0.6776490612570991,0.75625,0.7408530254578678,0.8361344537815126,0.75625,0.5125
B77,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6961152882205515,0.4875,0.34804213873981316,0.4134199134199134,0.4875,-0.02499999999999991
B78,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.7044269974269315,0.66875,0.6374674019922193,0.7576950608446671,0.66875,0.3375
B79,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.6713325703553716,0.83125,0.8312434079456229,0.8313017659009221,0.83125,0.6625
B80,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7123988902348481,0.44375,0.432013082844721,0.4386816555952989,0.44375,-0.11250000000000004
B81,"{""C"": 100.0, ""gamma"": ""auto""}",0.675477854450054,0.5875,0.5628415300546448,0.6129943502824858,0.5874999999999999,0.17500000000000004
