subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.5100077657255944,0.46,0.42983845422869815,0.44926433282597666,0.45999999999999996,-0.08000000000000007
sub-002,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.5047490305563759,0.48,0.4736309343050916,0.47898276586801175,0.48,-0.040000000000000036
sub-003,"{""C"": 100.0, ""gamma"": ""scale""}",0.5074722953166115,0.505,0.478604344963792,0.5062695924764891,0.505,0.010000000000000009
sub-004,"{""C"": 100.0, ""gamma"": ""scale""}",0.530210283486541,0.49,0.46875,0.48809523809523814,0.49,-0.020000000000000018
sub-005,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5135384654774213,0.485,0.4394710348017741,0.4777810694711895,0.485,-0.030000000000000027
sub-006,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5192777861566509,0.475,0.4171685493047653,0.4585475045597745,0.47500000000000003,-0.050000000000000044
sub-007,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5194566309609443,0.5,0.4987468671679198,0.5,0.5,0.0
sub-008,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5086147539671102,0.485,0.43217839521486257,0.4761108456760631,0.485,-0.030000000000000027
sub-009,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5093641359201525,0.5,0.4987468671679198,0.5,0.5,0.0
sub-010,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5208773446002176,0.475,0.4748818484158936,0.4749774797317586,0.475,-0.050000000000000044
sub-011,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5092289716996211,0.575,0.5731967562953478,0.5762892889838267,0.575,0.15000000000000002
sub-012,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5098583490628792,0.51,0.4221016629319495,0.5255362614913177,0.51,0.020000000000000018
sub-013,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.548157916050148,0.505,0.38277377723744505,0.5240500240500241,0.505,0.010000000000000009
sub-014,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.5229461881295783,0.515,0.489137590520079,0.5188087774294671,0.515,0.030000000000000027
sub-015,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5432297376033228,0.48,0.46803069053708435,0.478021978021978,0.48,-0.040000000000000036
