subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8164394191711961,0.7592592592592593,0.7507102272727273,0.800476947535771,0.7592592592592593,0.5185185185185186
VP002,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8111007462686567,0.6759259259259259,0.6605298607992816,0.7149141181399246,0.6759259259259259,0.35185185185185186
VP003,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8129623215443125,0.6944444444444444,0.674074074074074,0.7592592592592593,0.6944444444444444,0.38888888888888884
VP004,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8294799275083751,0.5925925925925926,0.547773125237914,0.6534090909090908,0.5925925925925926,0.18518518518518523
VP005,"{""C"": 23.357214690901213, ""gamma"": ""scale""}",0.8222222222222222,0.7685185185185185,0.761125364947359,0.8064579256360078,0.7685185185185185,0.537037037037037
VP006,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8185185185185185,0.5648148148148148,0.5629789065863109,0.5659225671433554,0.5648148148148149,0.12962962962962965
VP007,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8407385560844456,0.5092592592592593,0.3684210526315789,0.5857142857142856,0.5092592592592593,0.01851851851851849
VP008,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.8185185185185185,0.6018518518518519,0.5348091755985175,0.7404858299595142,0.6018518518518519,0.20370370370370372
VP009,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8462535889598963,0.7407407407407407,0.739938080495356,0.74375,0.7407407407407407,0.4814814814814815
VP010,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.8314670324959272,0.7129629629629629,0.7073170731707317,0.7307692307692307,0.712962962962963,0.42592592592592593
VP011,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8276447876447877,0.49074074074074076,0.4382978723404255,0.4852216748768473,0.4907407407407407,-0.0185185185185186
VP012,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8255214420260961,0.7314814814814815,0.72753371030883,0.7457226064797962,0.7314814814814815,0.4629629629629629
VP013,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8258877119806817,0.7222222222222222,0.7174747122427625,0.7382352941176471,0.7222222222222222,0.4444444444444444
VP014,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8128545007222979,0.6296296296296297,0.5939849624060151,0.6997885835095138,0.6296296296296297,0.2592592592592593
VP015,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8277724621130282,0.5648148148148148,0.48283239938869077,0.6771321462043112,0.5648148148148148,0.12962962962962965
VP016,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8369565217391304,0.5370370370370371,0.41073766914011345,0.7596153846153846,0.537037037037037,0.07407407407407407
VP017,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8296202809482002,0.7777777777777778,0.7727910238429172,0.8045112781954887,0.7777777777777778,0.5555555555555556
VP018,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.8276779066056803,0.5833333333333334,0.5048395313295976,0.7277413308341143,0.5833333333333334,0.16666666666666663
VP019,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.827777187164565,0.6203703703703703,0.5698882952889752,0.726890756302521,0.6203703703703703,0.2407407407407407
VP020,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8295922287470501,0.7129629629629629,0.7037954525347253,0.7430528375733856,0.712962962962963,0.42592592592592593
VP021,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8147741616815762,0.6111111111111112,0.5785953177257526,0.6607142857142857,0.611111111111111,0.2222222222222222
VP022,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.8536991882465508,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.5185185185185186
VP023,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8481398156277435,0.6944444444444444,0.6799281544678941,0.7375366568914956,0.6944444444444444,0.38888888888888884
VP024,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8259235380457894,0.6388888888888888,0.6246992782678429,0.6636363636363636,0.6388888888888888,0.2777777777777778
VP025,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.8037010109878051,0.6203703703703703,0.5634427684117125,0.7516129032258065,0.6203703703703703,0.2407407407407407
VP026,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8109840633622051,0.5277777777777778,0.39225422045680236,0.7571428571428571,0.5277777777777778,0.05555555555555558
