subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
VP001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8599439775910365,0.5166666666666667,0.5132867132867133,0.5171428571428571,0.5166666666666666,0.033333333333333326
VP002,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.78997899789979,0.5666666666666667,0.466484268125855,0.7678571428571428,0.5666666666666667,0.1333333333333333
VP003,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.7666666666666667,0.6666666666666666,0.6336996336996337,0.7604166666666666,0.6666666666666666,0.33333333333333337
VP004,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7865148550080057,0.7,0.6770334928229665,0.7795031055900621,0.7,0.4
VP005,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7799119647859143,0.5,0.38440492476060195,0.5,0.5,0.0
VP006,"{""C"": 100.0, ""gamma"": ""auto""}",0.8266666666666667,0.75,0.7413049726933026,0.788831835686778,0.75,0.5
VP007,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.7899976666407404,0.5,0.40476190476190477,0.5,0.5,0.0
VP008,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8232370957521318,0.5833333333333334,0.5832175604334537,0.5834260289210234,0.5833333333333333,0.16666666666666663
VP009,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.82,0.75,0.7376858058874963,0.8077975376196991,0.75,0.5
VP010,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8099809980998101,0.5666666666666667,0.466484268125855,0.7678571428571428,0.5666666666666667,0.1333333333333333
VP011,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8033311481238681,0.48333333333333334,0.3258426966292135,0.2457627118644068,0.48333333333333334,-0.03333333333333344
VP012,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7497747973175859,0.6166666666666667,0.6033342914630642,0.634788189987163,0.6166666666666667,0.23333333333333328
VP013,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.8165667974786273,0.5,0.3333333333333333,0.25,0.5,0.0
VP014,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.7999199679871949,0.7,0.6945701357466063,0.715311004784689,0.7,0.4
VP015,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.8064516129032258,0.65,0.6451703745423825,0.6586368977673325,0.65,0.30000000000000004
VP016,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8299981110901232,0.7,0.6914285714285715,0.7250000000000001,0.7,0.4
VP017,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.8433176650998433,0.6333333333333333,0.6228571428571429,0.6499999999999999,0.6333333333333333,0.2666666666666667
VP018,"{""C"": 69.51927961775606, ""gamma"": ""auto""}",0.8433315925732507,0.5,0.3333333333333333,0.25,0.5,0.0
VP019,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7899416504584607,0.5666666666666667,0.5417156286721504,0.5852272727272727,0.5666666666666667,0.1333333333333333
VP020,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.7633096642997633,0.7333333333333333,0.7330367074527253,0.734375,0.7333333333333334,0.4666666666666667
VP021,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.8165015180328963,0.5666666666666667,0.4993581514762516,0.6442307692307692,0.5666666666666667,0.1333333333333333
VP022,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.8232370957521318,0.65,0.6419437340153453,0.6648351648351649,0.65,0.30000000000000004
VP023,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.8066666666666666,0.6666666666666666,0.6336996336996337,0.7604166666666666,0.6666666666666666,0.33333333333333337
VP024,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.8033311481238681,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
VP025,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.7999911107160318,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337
VP026,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.8099809980998101,0.6333333333333333,0.5875,0.74,0.6333333333333333,0.2666666666666667
